age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex
50,Greater than 45,Caucasian,0,7,0,0,0,-1.0,30.0,0.0,1.0,F,0,Male
31,25 - 45,African-American,0,10,0,0,5,0.0,0.0,0.0,0.0,M,0,Male
24,Less than 25,African-American,0,4,0,0,1,-23.0,0.0,0.0,23.0,F,0,Female
36,25 - 45,Hispanic,0,2,0,0,1,0.0,0.0,0.0,0.0,M,0,Male
20,Less than 25,African-American,0,7,0,0,0,0.0,0.0,0.0,0.0,F,1,Male
25,25 - 45,African-American,0,5,0,1,4,-1.0,32.0,0.0,1.0,F,1,Male
59,Greater than 45,Hispanic,0,1,0,0,1,-1.0,0.0,7603.0,7604.0,M,0,Male
47,Greater than 45,African-American,0,9,0,0,20,-1.0,1.0,0.0,1.0,F,0,Male
63,Greater than 45,Caucasian,0,1,0,0,1,-9.0,5.0,0.0,9.0,M,0,Male
23,Less than 25,African-American,0,5,0,0,3,-1.0,3.0,0.0,1.0,F,1,Male
24,Less than 25,African-American,0,7,0,0,2,-1.0,1.0,0.0,1.0,F,0,Male
26,25 - 45,African-American,0,7,0,0,5,-1.0,323.0,0.0,1.0,M,0,Male
22,Less than 25,African-American,0,7,0,0,0,-1.0,32.0,0.0,1.0,F,1,Male
22,Less than 25,Caucasian,0,5,0,0,0,-1.0,0.0,0.0,1.0,F,1,Male
33,25 - 45,Caucasian,0,7,0,0,3,0.0,1.0,1.0,1.0,F,1,Male
29,25 - 45,Caucasian,0,10,0,2,14,0.0,0.0,0.0,0.0,F,1,Male
27,25 - 45,African-American,0,3,0,0,0,-1.0,1.0,0.0,1.0,M,0,Female
29,25 - 45,African-American,0,9,0,0,8,0.0,1.0,1.0,1.0,M,1,Male
45,Greater than 45,African-American,0,1,0,0,5,230.0,1.0,463.0,233.0,F,0,Male
19,Less than 25,African-American,0,4,0,0,1,-1.0,3.0,0.0,1.0,F,1,Male
26,25 - 45,Caucasian,0,6,0,0,0,-2.0,0.0,0.0,2.0,M,0,Female
44,25 - 45,Hispanic,0,1,0,0,0,-1.0,1.0,0.0,1.0,M,1,Male
59,Greater than 45,Caucasian,0,2,0,0,1,-1.0,0.0,0.0,1.0,F,1,Male
25,25 - 45,African-American,0,4,0,0,0,0.0,2.0,1.0,1.0,F,1,Male
33,25 - 45,Hispanic,0,4,0,0,2,-10.0,9.0,0.0,10.0,F,1,Female
24,Less than 25,Caucasian,0,10,0,0,9,-1.0,8.0,0.0,1.0,M,1,Female
39,25 - 45,African-American,0,1,0,0,2,-1.0,1.0,0.0,1.0,M,1,Male
22,Less than 25,African-American,0,10,0,1,13,-1.0,0.0,0.0,1.0,F,1,Male
56,Greater than 45,African-American,0,5,0,0,16,-1.0,0.0,0.0,1.0,F,0,Male
40,25 - 45,African-American,0,5,0,0,2,-1.0,100.0,0.0,1.0,M,0,Female
22,Less than 25,African-American,0,3,0,0,0,-1.0,0.0,0.0,1.0,F,0,Male
37,25 - 45,Caucasian,0,3,0,0,0,-1.0,0.0,0.0,1.0,F,0,Male
37,25 - 45,African-American,2,9,0,0,18,-1.0,1.0,26.0,27.0,M,0,Male
23,Less than 25,Caucasian,0,6,0,4,4,0.0,-1.0,1.0,1.0,F,1,Male
35,25 - 45,African-American,0,3,0,0,2,-1.0,1.0,0.0,1.0,F,0,Male
24,Less than 25,African-American,0,5,0,0,3,0.0,0.0,0.0,0.0,F,1,Male
21,Less than 25,African-American,0,6,0,0,0,-1.0,1.0,0.0,1.0,F,0,Female
21,Less than 25,Caucasian,0,4,0,0,0,-1.0,0.0,0.0,1.0,F,0,Male
45,Greater than 45,Hispanic,0,3,0,0,1,-1.0,128.0,0.0,1.0,F,0,Male
55,Greater than 45,African-American,0,4,0,0,5,-1.0,3.0,0.0,1.0,F,1,Male
19,Less than 25,African-American,0,8,0,0,3,-1.0,1.0,0.0,1.0,F,1,Male
