age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
69,Self-emp-not-inc,110522,HS-grad,7,Married-civ-spouse,Craft-repair,Wife,Black,Male,84924,2834,98,Taiwan,>50K
30,Federal-gov,1490397,HS-grad,9,Divorced,Farming-fishing,Not-in-family,Asian-Pac-Islander,Female,65308,3689,43,Canada,>50K
35,Federal-gov,950534,10th,10,Never-married,Prof-specialty,Not-in-family,Other,Male,75678,3237,17,Cambodia,<=50K
89,Federal-gov,570240,11th,4,Never-married,Other-service,Husband,Asian-Pac-Islander,Female,56327,4080,19,Cambodia,>50K
25,Federal-gov,930491,11th,1,Never-married,Machine-op-inspct,Own-child,White,Male,56384,4077,44,Canada,<=50K
22,Local-gov,897503,HS-grad,7,Never-married,Craft-repair,Own-child,Amer-Indian-Eskimo,Female,65391,3685,39,Canada,<=50K
78,Private,1397941,Bachelors,3,Never-married,Machine-op-inspct,Not-in-family,White,Male,73725,3322,2,Canada,<=50K
32,Private,617580,Some-college,13,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Female,76936,3182,8,Cambodia,>50K
28,Private,139211,HS-grad,9,Separated,Prof-specialty,Not-in-family,White,Male,85222,2821,22,Cambodia,<=50K
25,Private,58559,Some-college,11,Never-married,Other-service,Not-in-family,White,Male,79313,3079,14,Cambodia,<=50K
37,Federal-gov,1490397,HS-grad,7,Divorced,Other-service,Not-in-family,Black,Female,74480,3289,52,Cambodia,>50K
40,Private,389393,HS-grad,9,Never-married,Adm-clerical,Own-child,Black,Female,68994,3528,26,Italy,<=50K
32,State-gov,43192,Bachelors,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,82895,2923,22,Canada,>50K
68,Federal-gov,1452895,10th,8,Widowed,Farming-fishing,Husband,White,Male,62724,3801,43,Outlying-US(Guam-USVI-etc),<=50K
27,Local-gov,1464581,HS-grad,4,Never-married,Other-service,Not-in-family,Black,Male,58954,3965,29,Cambodia,<=50K
71,Private,1393612,Some-college,11,Separated,Sales,Unmarried,Black,Male,75295,3254,39,Canada,>50K
41,Self-emp-not-inc,192259,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Male,93238,2472,29,Cambodia,>50K
30,Private,1064716,Some-college,13,Married-civ-spouse,Prof-specialty,Husband,White,Female,77708,3148,75,Cambodia,>50K
23,Private,661294,Some-college,10,Married-civ-spouse,Farming-fishing,Husband,White,Male,64903,3706,52,Cambodia,>50K
54,Private,55412,Masters,15,Divorced,Sales,Not-in-family,White,Female,82392,2944,25,United-States,>50K
51,Private,1490400,Some-college,10,Divorced,Prof-specialty,Own-child,Asian-Pac-Islander,Female,73958,3312,59,Canada,>50K
28,Private,238307,11th,6,Never-married,Adm-clerical,Own-child,White,Male,68900,3532,27,Cambodia,<=50K
17,Private,270761,Bachelors,3,Never-married,Exec-managerial,Own-child,White,Female,71604,3414,30,Canada,<=50K
25,Self-emp-inc,477962,HS-grad,9,Married-civ-spouse,Sales,Unmarried,White,Male,69478,3507,28,Canada,<=50K
84,Private,107259,HS-grad,10,Never-married,Prof-specialty,Not-in-family,Black,Female,80572,3024,63,United-States,<=50K
55,Local-gov,332661,HS-grad,11,Married-civ-spouse,Other-service,Husband,White,Female,88382,2684,19,Cambodia,>50K
26,Self-emp-not-inc,60070,Doctorate,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,89125,2651,61,United-States,>50K
