age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
23.0,Private,370356.84,Some-college,10.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,40.0,United-States,<=50K
90.0,Private,13492.0,11th,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
43.0,Federal-gov,146521.81,HS-grad,10.0,Divorced,Adm-clerical,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
48.0,Federal-gov,223949.2,Bachelors,13.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
25.0,Private,229704.81,HS-grad,9.0,Never-married,Adm-clerical,Own-child,White,Female,0.0,0.0,16.0,United-States,<=50K
39.0,Federal-gov,176870.25,Some-college,11.0,Married-spouse-absent,Exec-managerial,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
44.0,Private,184151.14,9th,8.0,Never-married,Farming-fishing,Own-child,Black,Male,0.0,0.0,40.0,United-States,<=50K
17.0,Private,467295.62,HS-grad,9.0,Never-married,Sales,Own-child,White,Male,0.0,0.0,35.0,United-States,<=50K
37.0,Private,216843.83,Assoc-voc,10.0,Separated,Sales,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
43.0,State-gov,107841.664,HS-grad,9.0,Divorced,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
17.0,Private,161977.72,HS-grad,9.0,Never-married,Handlers-cleaners,Own-child,White,Male,0.0,0.0,12.612401,United-States,<=50K
19.0,?,99635.05,Some-college,9.0,Never-married,Other-service,Not-in-family,White,Female,0.0,0.0,1.0,United-States,<=50K
17.0,Private,188623.08,HS-grad,9.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
42.0,Private,239433.38,HS-grad,9.0,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0.0,0.0,40.0,Cuba,<=50K
20.0,Private,419349.8,Assoc-acdm,11.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,20.0,United-States,<=50K
34.0,Private,192533.11,12th,1.0,Never-married,Farming-fishing,Other-relative,White,Male,0.0,0.0,32.0,Mexico,<=50K
