age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
37,Private,121218,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,<=50K
32,Private,399881,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
57,Private,310117,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,40,Philippines,<=50K
59,Private,158983,Bachelors,3,Married-civ-spouse,Other-service,Husband,White,Male,0,0,21,United-States,<=50K
48,Private,270530,11th,7,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,Mexico,<=50K
35,Local-gov,179223,Some-college,10,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,40,United-States,<=50K
49,Private,246549,HS-grad,8,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,48,Mexico,<=50K
20, Private,220069, Some-college,9, Never-married, Sales, Not-in-family, White, Male,0,0,39, United-States, <=50K
58,Self-emp-not-inc,102029,11th,4,Married-civ-spouse,Other-service,Husband,White,Male,0,0,26,United-States,<=50K
50, State-gov,207543, Some-college,9,Never-married, Adm-clerical,Not-in-family, White, Male,5250,0,39,United-States, >50K
48,Private,264780,11th,8,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,Mexico,<=50K
26,Private,125864,HS-grad,8,Divorced,Craft-repair,Not-in-family,White,Female,0,0,39,United-States,<=50K
55,Private,421544,HS-grad,2,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,40,Mexico,<=50K
27, Private,292219, Bachelors,12, Married-civ-spouse, Sales, Husband, White, Male,0,0,42, United-States, <=50K
48,Private,396194,HS-grad,9,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,0,0,50,Mexico,<=50K
40, Private,191258,10th,3, Divorced,Adm-clerical, Unmarried,White,Female,0,0,40, Mexico,<=50K
47, Self-emp-inc,105787, Some-college,10, Married-civ-spouse, Prof-specialty, Husband, White, Male,4827,0,39, United-States, >50K
40,Private,265466, 10th,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,39,United-States, <=50K
33, Private,240614, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,40, United-States, <=50K
24, Private,224188, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,33, United-States, <=50K
43,Private,118253,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,40,Canada,<=50K
25, Private,206006, Some-college,9, Never-married, Other-service, Own-child, White, Female,0,0,25, United-States, <=50K
41,Private,190847,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,31,United-States,>50K
