age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
45,Self-emp-not-inc,165026,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,22,United-States,<=50K
20,Private,435763,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,39,Mexico,<=50K
17, Private,399613, Bachelors,8, Never-married, Handlers-cleaners, Own-child, White, Male,0,0,39, United-States, <=50K
22,Private,116853,Some-college,9,Never-married,Other-service,Own-child,Black,Female,0,0,41,United-States,<=50K
41,Local-gov,162461,Bachelors,12,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,54,United-States,<=50K
44, Private,395899, Some-college,10, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,44, United-States, >50K
26,Local-gov,127602,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,0,0,40,United-States,<=50K
41,Private,116939,HS-grad,8,Divorced,Other-service,Unmarried,White,Female,0,0,41,United-States,<=50K
19,Private,67656,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,39,United-States,<=50K
49,Private,157062,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,12,United-States,>50K
17,State-gov,207921,HS-grad,9, Never-married,Adm-clerical,Own-child, White, Male,0,0,40, United-States, <=50K
30, Private,133553, Bachelors,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, United-States, <=50K
18, Private,17044,HS-grad,9,Never-married,Adm-clerical, Not-in-family, White,Female,0,0,7, United-States,<=50K
18,Private,258667,HS-grad,8,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,<=50K
43,Self-emp-not-inc,283091,Masters,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,39,United-States,<=50K
60,Private,207424,HS-grad,8,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,>50K
26,Private,73424,HS-grad,8,Never-married,Adm-clerical,Own-child,White,Male,0,0,39,United-States,<=50K
46,Self-emp-not-inc,57090,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,United-States,<=50K
37,Private,423827,HS-grad,9,Divorced,Exec-managerial, Unmarried, White, Female,0,0,39,United-States,<=50K
23, Private,143808, Bachelors,8,Never-married,Handlers-cleaners,Own-child,Black,Male,0,0,39,United-States,<=50K
23,Private,261227,HS-grad,8,Never-married,Other-service,Own-child,White,Male,0,0,27,United-States,<=50K
54,Private,286110,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40,United-States,<=50K
26,State-gov,92723,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,0,0,40,United-States,<=50K
29, Private,168081, Bachelors,13, Never-married, Craft-repair, Husband, White, Male,0,0,39, United-States, <=50K
63,Self-emp-not-inc,243364,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,40, ?,<=50K
49,Self-emp-not-inc,116659,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,40,Philippines, <=50K
21,Private,45067,HS-grad,9, Never-married,Prof-specialty, Not-in-family,White,Female,5581,0,46, United-States,<=50K
33, Private,273773, HS-grad,9, Married-civ-spouse, Adm-clerical, Husband, White, Male,0,0,39, United-States, <=50K
37,Private,216905,HS-grad,8,Never-married,Other-service,Not-in-family,White,Male,0,0,39,United-States,<=50K
29,Self-emp-not-inc,243004,11th,7,Never-married,Farming-fishing,Not-in-family,White,Male,0,0,39,Mexico,<=50K
41, Local-gov,63472,Masters,15, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,54, United-States, >50K
39, Private,12277, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,39, United-States, >50K
28,Private,209032,HS-grad,8,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,45,United-States,<=50K
46,Private,16898,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,44,United-States,>50K
45, Private,76327, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,39, United-States, >50K
37,Private,253841,HS-grad,9,Never-married,Adm-clerical,Not-in-family,Black,Female,0,0,39,United-States,<=50K
40,Private,189237,Bachelors,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,50,United-States,>50K
25, Private,210364, HS-grad,8, Never-married, Other-service, Own-child, White, Female,0,0,19, United-States, <=50K
26,Private,197979,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,Black,Female,0,0,40,United-States,<=50K
39,Self-emp-not-inc,101819,Masters,15,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,44,United-States,>50K
48, Private,118323, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,42, United-States, <=50K
18, Private,440917, Some-college,9, Never-married, Sales, Not-in-family, White, Male,0,0,10, United-States, <=50K
47, Private,336330, Bachelors,13, Never-married, Prof-specialty, Wife, White, Female,0,0,40, United-States, >50K
38,Private,191786,Bachelors,13,Separated,Exec-managerial,Husband,White,Male,0,0,52,United-States,<=50K
17,Private,94315,Some-college,9,Never-married,Other-service,Not-in-family,White,Female,0,0,40,United-States,<=50K
40, Private,92139, Some-college,10, Never-married, Craft-repair, Not-in-family, White, Male,0,0,48, United-States, <=50K
59, Private,111228, HS-grad,8, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, United-States, >50K
62, Private,149687, HS-grad,8, Married-civ-spouse, Prof-specialty, Husband, White, Male,8536,1926,29, United-States, >50K
40, Self-emp-not-inc,211148, Some-college,15, Married-civ-spouse, Transport-moving, Husband, White, Male,7303,1924,40, United-States, >50K
63, Private,162529, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,40, United-States,>50K
35, Private,219707,Bachelors,12, Married-civ-spouse, Sales, Not-in-family, White, Female,0,0,39, United-States, <=50K
26, Private,146706, 11th,3, Never-married, Other-service, Own-child, White, Female,0,0,27,Mexico, <=50K
46,Private,119852,HS-grad,12,Married-civ-spouse,Sales,Husband,White,Male,0,0,39,United-States,>50K
28,Local-gov,8010, Bachelors,13, Married-civ-spouse,Prof-specialty, Wife, White,Female,0,0,39, United-States, >50K
40,Private,81688,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,2934,0,53,United-States,<=50K
