age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
33,Private,57963,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,46,United-States,<=50K
49,Private,14447,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,White,Female,0,0,22,United-States,<=50K
33, Private,184953, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,51, United-States, >50K
37,Private,166951,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,<=50K
34,Private,202636,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,70,United-States,<=50K
44,Private,152315,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
53, Private,68682, HS-grad,8, Never-married, Craft-repair, Own-child, White, Male,0,0,39, United-States, <=50K
20,Private,198474,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,<=50K
45,Private,176673,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
17, Private,174825, 10th,5, Never-married, Other-service, Unmarried, White, Male,0,0,39, United-States, >50K
18, Private,388928, Some-college,10, Never-married, Adm-clerical, Not-in-family, White, Male,0,0,39, United-States, <=50K
30,Private,205434,HS-grad,9,Divorced,Machine-op-inspct,Not-in-family,White,Male,0,0,39,United-States,<=50K
29,Self-emp-not-inc,355606,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
21, Private,207172, Some-college,10, Never-married, Adm-clerical, Own-child, White, Female,0,0,29, United-States, <=50K
45, Private,196373, Bachelors,13, Divorced, Adm-clerical, Unmarried, White, Female,0,0,39, United-States, <=50K
59,Private,184506,HS-grad,8,Divorced,Adm-clerical,Not-in-family,White,Male,0,0,39,United-States,<=50K
40, Private,30954, Assoc-acdm,12, Never-married, Craft-repair, Not-in-family, White, Male,0,1932,71, United-States, <=50K
31,Private,165259,Some-college,10,Never-married,Sales,Not-in-family,White,Female,0,0,28,United-States,<=50K
59,Private,175762,HS-grad,8,Divorced,Adm-clerical,Unmarried,White,Female,0,0,39,United-States,<=50K
60,Private,207057,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,39,United-States,>50K
17, Private,298694, 11th,7, Never-married, Other-service, Own-child, White, Male,0,0,39, United-States, <=50K
47,Private,65475,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Other-relative,White,Male,0,0,39,United-States,>50K
34,Private,81555,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,39,United-States,<=50K
47,Private,192236,HS-grad,9,Married-civ-spouse, Craft-repair,Husband,White,Male,0,0,50,United-States, <=50K
17,Private,73885,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,40,United-States,<=50K
39,Private,181458,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,57,United-States,<=50K
46, Self-emp-not-inc,181628, Some-college,9, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,45, United-States, <=50K
49,Private,185336,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,55,United-States,>50K
22,Private,27223,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,6,United-States,<=50K
72,Private,168653,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,37,United-States,<=50K
53,Private,163757,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,6,United-States,>50K
74,Private,175564,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,39,United-States,<=50K
18,Private,78454,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,23,United-States,<=50K
34,Self-emp-not-inc,236809,Bachelors,13,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,45,United-States,<=50K
20, ?,12621,10th,5, Never-married, ?, Own-child, White, Female,0,0,6, United-States, <=50K
38,Private,170286,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,39,United-States,<=50K
47,Private,183740,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
17,Private,211328,10th,6,Never-married,Other-service,Own-child,White,Male,0,0,28,United-States,<=50K
58, Private,87224, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,48, United-States, <=50K
31,Private,186151,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,39,United-States,<=50K
28,Private,70016,HS-grad,9,Never-married,Sales,Not-in-family,White,Female,0,0,39,United-States,<=50K
53, Private,232886, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7606,0,48, United-States, >50K
32,Private,365817,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,9127,0,48,United-States,>50K
45,Private,444428,HS-grad,9,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,39,United-States,>50K
23,Private,96943,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,39,United-States,<=50K
17, Private,22020, 11th,6, Never-married, Other-service, Own-child, White, Female,0,0,17, United-States, <=50K
18,Private,205179,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,42,United-States,<=50K
24,Private,197494,Some-college,9,Never-married,Other-service,Own-child,White,Male,0,0,39,United-States,<=50K
30,Private,237260,Bachelors,13,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,48,United-States,<=50K
46, Federal-gov,79694, HS-grad,8, Married-civ-spouse, Transport-moving, Husband, White, Male,0,0,71, United-States, >50K
20, Private,14122, Some-college,10, Never-married, Sales, Own-child, White, Female,0,0,10, United-States, <=50K
33, Private,187946, Some-college,10, Never-married, Adm-clerical, Unmarried, White, Female,0,0,39, United-States, <=50K
42,Self-emp-not-inc,171694,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
29,Private,209953,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,40,United-States,<=50K
27,Self-emp-not-inc,348430,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,39,United-States,>50K
47,Private,177272,HS-grad,8,Never-married,Adm-clerical,Unmarried,White,Female,0,0,39,United-States,<=50K
19, Private,190534, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,39, United-States, <=50K
17,Private,16141,10th,6,Never-married,Other-service,Own-child,White,Female,0,0,11,United-States,<=50K
66, Private,230595, Some-college,9, Married-civ-spouse, Tech-support, Husband, White, Male,5877,0,29, United-States, >50K
42,Private,449627,HS-grad,9,Married-civ-spouse,Exec-managerial,Other-relative,White,Male,0,0,39,United-States,<=50K
76,Self-emp-inc,31509,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Asian-Pac-Islander,Female,0,0,8,United-States,<=50K
63, Private,195253, Prof-school,7, Married-civ-spouse, Sales, Husband, Black, Male,0,0,39, United-States, <=50K
42,Federal-gov,245336,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,39,United-States,>50K
45, Private,59608, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,39, United-States, <=50K
32,Private,208692,Bachelors,13,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,40,United-States,>50K
31,Private,277209,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,39,United-States,<=50K
46,Private,300032,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,39,United-States,>50K
43, Private,376123, Some-college,10, Divorced, Machine-op-inspct, Not-in-family, White, Male,0,0,39, United-States, <=50K
43,Private,206229,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,45,United-States,>50K
72,Private,191615,HS-grad,9,Separated,Prof-specialty,Unmarried,White,Female,0,0,15,United-States,>50K
22,Private,79116,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,39,United-States,<=50K
43,Private,191211,Some-college,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,42,United-States,<=50K
31, Private,196868, Bachelors,13, Never-married, Exec-managerial, Not-in-family, White, Male,0,0,39, United-States, <=50K
28,Private,148731,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,40,United-States,>50K
39, Local-gov,173722, Bachelors,12, Never-married, Protective-serv, Not-in-family, Black, Male,0,1928,70, United-States, <=50K
32, Private,193518, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,0,0,51, United-States, >50K
60,Private,174400,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,39,United-States,<=50K
59,Private,302632,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,1654,39,United-States,<=50K
17, Private,28263, 11th,6, Never-married, Other-service, Own-child, White, Female,0,0,39, United-States, >50K
63, Private,189580, Bachelors,13, Married-civ-spouse, Prof-specialty, Husband, White, Male,7115,0,48, United-States, >50K
56,Local-gov,155768,HS-grad,9,Never-married,Adm-clerical,Unmarried,Black,Female,0,0,39,United-States,<=50K
56,Private,182423,HS-grad,9,Divorced,Prof-specialty,Unmarried,White,Female,0,0,39,United-States,<=50K
50,Private,219112,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,69,United-States,>50K
20,State-gov,208849,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,42,United-States,<=50K
36, Private,68198, Some-college,10, Never-married, Sales, Unmarried, White, Female,0,0,39, United-States, <=50K
33, Private,177719, HS-grad,8, Married-civ-spouse, Craft-repair, Own-child, White, Male,0,0,39, United-States, <=50K
32, Private,46892, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,71, United-States, <=50K
47, Private,191878, HS-grad,8, Married-civ-spouse, Craft-repair, Husband, White, Male,0,0,49, United-States, <=50K
57, Federal-gov,82002, Bachelors,13, Married-civ-spouse, Exec-managerial, Husband, White, Male,0,0,48, United-States, >50K
