age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
24,Private,203047,Some-college,9,Never-married,Transport-moving,Not-in-family,Black,Male,199,0,35,United-States,<=50K
32,Private,299895,Bachelors,12,Married-civ-spouse,Sales,Wife,White,Female,1914,0,38,United-States,<=50K
28,Private,115136,Bachelors,11,Never-married,Craft-repair,Not-in-family,White,Female,194,0,38,United-States,<=50K
34, Self-emp-not-inc,317346, Some-college,10, Never-married, Sales, Own-child, White, Male,101,1,46, United-States, <=50K
22,Private,129503,Some-college,9,Never-married,Craft-repair,Own-child,White,Male,8,0,34,United-States,<=50K
20,Private,228843,Some-college,9,Never-married,Other-service,Own-child,White,Male,3,0,36,United-States,<=50K
40, Private,260892, HS-grad,9, Divorced, Adm-clerical, Unmarried, White, Female,5,0,42, United-States, <=50K
38, Private,156149, Some-college,10, Married-civ-spouse, Adm-clerical, Wife, White, Female,35,0,39, United-States, <=50K
20, State-gov,201436, Masters,12, Never-married, Adm-clerical, Not-in-family, White, Female,3,0,33, United-States, <=50K
20,Private,622743,7th-8th,4,Never-married,Other-service,Own-child,White,Female,14,10,7,United-States,<=50K
39,Private,173496,Bachelors,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,23,0,50,United-States,<=50K
37,Private,338665,Some-college,8,Divorced,Handlers-cleaners,Not-in-family,White,Male,39,0,34,United-States,<=50K
23, Private,286171, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Female,36,0,29, United-States, <=50K
34,Private,556783,HS-grad,8,Never-married,Sales,Not-in-family,White,Male,57,0,77,United-States,<=50K
52, Private,112053, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,166,1,39, United-States, >50K
33,Private,233500,HS-grad,9,Never-married,Adm-clerical,Own-child,White,Male,1,0,4,United-States,<=50K
38,Private,213172,10th,6,Married-civ-spouse,Craft-repair,Husband,White,Male,141,0,36,United-States,>50K
34, Private,364349, 10th,8, Never-married, Machine-op-inspct, Not-in-family, White, Male,978,0,38, United-States, <=50K
57, Local-gov,245292, HS-grad,9, Never-married, Protective-serv, Not-in-family, Black, Female,19,0,41, United-States, >50K
24,Private,296750,HS-grad,9,Widowed,Machine-op-inspct,Own-child,White,Male,1,0,33,United-States,<=50K
24,Private,282690,Some-college,9,Never-married,Machine-op-inspct,Not-in-family,White,Male,253,0,37,United-States,<=50K
56,Self-emp-not-inc,151596,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,31,United-States,<=50K
25,Private,173811,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,99,0,35,United-States,<=50K
17,Private,147702,Some-college,9,Never-married,Adm-clerical,Own-child,White,Female,0,0,14,United-States,<=50K
36, Self-emp-not-inc,302858, Some-college,10, Married-civ-spouse, Exec-managerial, Husband, White, Male,751,0,32, United-States, >50K
35, Private,209420, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Female,9,0,37, United-States, <=50K
26,Private,234238,Bachelors,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,6917,0,33,United-States,>50K
30, Private,177918, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,4,0,40, United-States, <=50K
23,Private,147076,Bachelors,13,Never-married,Sales,Own-child,White,Female,1,0,34,United-States,<=50K
21,Private,70728,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Black,Male,45,0,43,United-States,>50K
43,Local-gov,176167,Masters,13,Never-married,Exec-managerial,Not-in-family,White,Male,162,0,36,United-States,<=50K
23,Private,208763,Some-college,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,23,United-States,<=50K
25,Private,199853,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,21,0,31,United-States,<=50K
29,Private,183367,Bachelors,12,Married-civ-spouse,Prof-specialty,Wife,White,Female,569,0,38,United-States,>50K
27,Local-gov,120645,Some-college,9,Never-married,Other-service,Unmarried,White,Female,135,0,32,United-States,<=50K
54,Private,145753,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,3323,0,50,United-States,>50K
55,Self-emp-not-inc,200541,Some-college,11,Married-civ-spouse,Sales,Husband,White,Male,208,0,68,United-States,<=50K
21,Private,231174,Some-college,9,Never-married,Adm-clerical,Own-child,Black,Male,0,0,24,United-States,<=50K
24,Local-gov,224912,Some-college,10,Never-married,Protective-serv,Not-in-family,White,Male,126,0,39,United-States,<=50K
24,State-gov,221510,HS-grad,10,Never-married,Prof-specialty,Not-in-family,White,Female,340,0,46,United-States,<=50K
44, Self-emp-not-inc,345536, HS-grad,8, Married-civ-spouse, Sales, Husband, White, Male,0,1,60, United-States, <=50K
51,Private,155963,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,203,0,62,United-States,>50K
17,Private,116359,Some-college,10,Never-married,Other-service,Own-child,White,Female,20,0,5,United-States,<=50K
22,Local-gov,186268,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,421,0,32,United-States,<=50K
43, Private,450506, HS-grad,9, Married-civ-spouse, Transport-moving, Husband, Black, Male,0,0,39, United-States, <=50K
22,Self-emp-not-inc,151691,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,365,0,66, ?,>50K
31, Self-emp-not-inc,456738, Assoc-voc,11, Married-civ-spouse, Sales, Wife, White, Female,1,0,32, United-States, <=50K
32, Private,164939, HS-grad,9, Divorced, Craft-repair, Not-in-family, Black, Male,4,0,35, United-States, <=50K
32, Private,173673, HS-grad,9, Never-married, Craft-repair, Unmarried, White, Male,15,0,39, United-States, <=50K
38, Private,341373, Some-college,10, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,198,0,42, United-States, <=50K
43,Private,162083,HS-grad,8,Never-married,Adm-clerical,Not-in-family,White,Female,60,0,37,United-States,<=50K
28,Private,151060,Bachelors,12,Never-married,Exec-managerial,Own-child,White,Female,28,0,35,United-States,<=50K
31,Private,83071,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,411,0,47,United-States,<=50K
45,Self-emp-not-inc,200584,Bachelors,12,Married-civ-spouse,Craft-repair,Husband,White,Male,99,0,27,United-States,<=50K
19,Private,197655,Bachelors,12,Never-married,Prof-specialty,Not-in-family,White,Male,72,0,24,United-States,>50K
41,Private,417550,Some-college,9,Divorced,Adm-clerical,Not-in-family,Black,Female,8,0,35,United-States,<=50K
59,Self-emp-inc,142934,Bachelors,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,3562,0,34,United-States,>50K
35,Self-emp-inc,128242,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,4,0,78,United-States,<=50K
35, Private,150747, HS-grad,9, Never-married, Sales, Own-child, White, Female,0,0,20, United-States, <=50K
47,Private,315052,HS-grad,8,Married-civ-spouse,Adm-clerical,Wife,White,Female,289,0,34,United-States,<=50K
22, Private,218559, Some-college,10, Never-married, Exec-managerial, Not-in-family, White, Female,873,2,35, United-States, >50K
23, Private,209795, HS-grad,9, Divorced, Other-service, Own-child, White, Female,7,0,32, United-States, <=50K
39,Local-gov,210656,HS-grad,9,Divorced,Protective-serv,Unmarried,White,Male,6,0,34,United-States,<=50K
22,Private,499442,Bachelors,12,Never-married,Tech-support,Not-in-family,White,Male,625,0,37,United-States,<=50K
63,Private,164250,HS-grad,9,Widowed,Other-service,Not-in-family,Black,Female,2,0,16,United-States,<=50K
43, Private,136836, Bachelors,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,1095,0,41, United-States, >50K
39, State-gov,306255,Assoc-acdm,13, Never-married, Prof-specialty, Not-in-family, White, Female,2,0,30, United-States, <=50K
35,Private,214300,Masters,13,Married-civ-spouse,Exec-managerial,Own-child,White,Male,177,0,46,United-States,>50K
32, Private,184555, HS-grad,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,488,1,54, United-States, >50K
24,Self-emp-not-inc,211938,HS-grad,8,Never-married,Craft-repair,Own-child,White,Male,0,0,29,United-States,<=50K
19,Private,148546,HS-grad,9,Never-married,Other-service,Own-child,White,Male,1,0,12,United-States,<=50K
30, Private,128280, Some-college,9, Married-civ-spouse, Exec-managerial, Husband, White, Male,339,0,58, United-States, <=50K
67,Private,217408,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,200,0,50,United-States,>50K
43, Private,253312, Bachelors,13, Divorced, Prof-specialty, Unmarried, White, Female,2208,1,61, United-States, <=50K
26,Local-gov,97033,HS-grad,8,Never-married,Other-service,Not-in-family,White,Male,11,0,33,United-States,<=50K
18,Private,191485,Some-college,9,Never-married,Adm-clerical,Own-child,White,Female,4,0,15,United-States,<=50K
