age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
61,Local-gov,917221,Some-college,13,Married-spouse-absent,Adm-clerical,Own-child,Black,Female,67760,3582,37,Mexico,>50K
35,Self-emp-not-inc,528765,Bachelors,4,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,75435,3247,77,Mexico,<=50K
60,Local-gov,1153027,Some-college,14,Married-civ-spouse,Adm-clerical,Own-child,Black,Male,67671,3586,31,China,>50K
66,Self-emp-inc,1269310,Some-college,9,Widowed,Adm-clerical,Other-relative,Black,Female,70437,3465,54,Mexico,>50K
17,Private,15224,HS-grad,12,Never-married,Exec-managerial,Husband,White,Male,99312,2207,1,Cambodia,>50K
40,Private,122396,Masters,13,Married-civ-spouse,Other-service,Husband,White,Male,78704,3105,15,Canada,>50K
29,Self-emp-not-inc,167450,Bachelors,3,Married-civ-spouse,Craft-repair,Not-in-family,White,Female,78595,3110,86,United-States,<=50K
54,State-gov,542362,Some-college,12,Married-spouse-absent,Sales,Husband,Black,Male,68475,3551,34,Mexico,<=50K
67,Local-gov,1201999,Some-college,7,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,69151,3521,54,United-States,>50K
27,Self-emp-not-inc,153149,Bachelors,3,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,78882,3097,87,United-States,<=50K
61,Local-gov,1083611,Some-college,14,Married-spouse-absent,Adm-clerical,Own-child,Black,Male,68365,3555,35,China,>50K
22,Self-emp-not-inc,118427,Bachelors,2,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,81191,2997,89,Mexico,<=50K
68,Self-emp-inc,1260388,Some-college,6,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,69782,3494,59,Mexico,>50K
68,Self-emp-inc,1171080,Some-college,7,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,69709,3497,58,United-States,>50K
34,Self-emp-not-inc,287690,Bachelors,3,Married-civ-spouse,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Male,74769,3277,82,United-States,<=50K
68,State-gov,902816,Some-college,8,Widowed,Adm-clerical,Own-child,Black,Male,67244,3604,46,Canada,>50K
53,Local-gov,1020642,Some-college,15,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,66978,3616,27,China,>50K
20,Private,56411,HS-grad,9,Never-married,Prof-specialty,Husband,White,Male,92471,2505,10,Canada,>50K
37,Self-emp-not-inc,863153,Bachelors,4,Married-AF-spouse,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Female,72976,3355,73,Mexico,<=50K
66,State-gov,775061,Some-college,6,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander,Male,68581,3546,52,United-States,>50K
43,Self-emp-not-inc,385476,Bachelors,4,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,74533,3287,74,United-States,<=50K
29,Private,137873,HS-grad,6,Divorced,Prof-specialty,Husband,White,Male,83162,2911,26,Canada,<=50K
66,Self-emp-inc,1247261,Some-college,6,Widowed,Craft-repair,Other-relative,Asian-Pac-Islander,Female,70498,3463,64,Mexico,>50K
65,Local-gov,1230594,Some-college,11,Widowed,Adm-clerical,Other-relative,Black,Male,70298,3471,50,Mexico,>50K
68,Self-emp-inc,1120388,Some-college,7,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Male,69873,3490,58,United-States,>50K
48,Self-emp-not-inc,359614,Bachelors,3,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Female,71943,3400,75,United-States,<=50K
66,Local-gov,1297642,Some-college,11,Married-spouse-absent,Adm-clerical,Other-relative,Black,Female,69908,3488,49,Mexico,>50K
27,Private,76471,HS-grad,11,Divorced,Exec-managerial,Husband,White,Male,86766,2754,14,Cambodia,>50K
25,Self-emp-not-inc,126812,Bachelors,3,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,81568,2980,87,Mexico,<=50K
19,Private,76528,HS-grad,8,Never-married,Prof-specialty,Husband,White,Male,90831,2577,13,Canada,<=50K
60,Local-gov,966401,Some-college,14,Married-civ-spouse,Adm-clerical,Husband,Black,Male,68128,3566,32,China,>50K
71,Self-emp-not-inc,796754,Some-college,5,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander,Female,67478,3594,53,Canada,>50K
58,Federal-gov,1209034,1st-4th,6,Widowed,Craft-repair,Other-relative,Asian-Pac-Islander,Male,71351,3425,64,Mexico,>50K
66,Local-gov,1221939,Some-college,13,Separated,Adm-clerical,Other-relative,Black,Male,69617,3501,45,Mexico,>50K
47,Self-emp-not-inc,226083,Bachelors,3,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,74719,3279,76,United-States,<=50K
31,State-gov,181822,Masters,5,Never-married,Machine-op-inspct,Husband,White,Female,78572,3111,38,Canada,<=50K
65,Local-gov,1330003,Some-college,11,Married-spouse-absent,Adm-clerical,Other-relative,Black,Male,70167,3477,51,Mexico,>50K
65,Local-gov,1236593,Some-college,12,Married-spouse-absent,Adm-clerical,Other-relative,Black,Male,69746,3495,47,Mexico,>50K
63,State-gov,1020805,Some-college,8,Widowed,Adm-clerical,Other-relative,Asian-Pac-Islander,Female,69328,3514,49,Mexico,>50K
56,Self-emp-not-inc,435167,Bachelors,4,Married-civ-spouse,Craft-repair,Not-in-family,Asian-Pac-Islander,Male,72469,3377,71,United-States,<=50K
65,Self-emp-not-inc,893297,1st-4th,4,Widowed,Adm-clerical,Not-in-family,Asian-Pac-Islander,Female,69834,3492,65,United-States,>50K
17,Private,44393,HS-grad,8,Never-married,Prof-specialty,Husband,White,Female,95475,2375,7,Cambodia,>50K
52,State-gov,755716,Some-college,13,Married-civ-spouse,Adm-clerical,Own-child,Black,Female,67390,3598,32,China,<=50K
67,Local-gov,1293098,Some-college,13,Separated,Adm-clerical,Own-child,Black,Male,69916,3488,47,Mexico,>50K
73,Self-emp-not-inc,788637,Some-college,5,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander,Male,67517,3592,54,Canada,>50K
38,Self-emp-not-inc,280780,Bachelors,3,Married-civ-spouse,Craft-repair,Not-in-family,White,Male,75782,3232,79,United-States,<=50K
61,State-gov,935934,Some-college,13,Married-civ-spouse,Adm-clerical,Own-child,Black,Male,68088,3568,35,Mexico,>50K
22,Self-emp-not-inc,127038,Bachelors,3,Married-civ-spouse,Prof-specialty,Not-in-family,White,Male,82408,2944,89,Mexico,<=50K
63,Local-gov,1187821,Some-college,11,Married-spouse-absent,Adm-clerical,Other-relative,Black,Female,69690,3498,46,Mexico,>50K
66,State-gov,392623,Some-college,5,Widowed,Adm-clerical,Own-child,Asian-Pac-Islander,Male,69247,3517,48,Canada,<=50K
65,Local-gov,1309453,Some-college,12,Separated,Adm-clerical,Other-relative,Black,Male,69964,3486,50,Mexico,>50K
