age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
24.0, Private,13492.0, HS-grad,11.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,50.0, United-States, >50K
64.0,Private,1490400.0,11th,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,3900.0,99.0,United-States,>50K
29.0,Self-emp-not-inc,166716.23,HS-grad,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,45.0,United-States,<=50K
49.0,Federal-gov,1490400.0,Prof-school,13.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
33.0,Private,347523.2,HS-grad,7.0,Divorced,Craft-repair,Not-in-family,White,Male,0.0,0.0,40.0,United-States,<=50K
42.0,Local-gov,102775.72,HS-grad,9.0,Widowed,Other-service, Unmarried, White, Female,0.0,0.0,40.0, United-States, <=50K
32.0,Private,1490400.0,HS-grad,9.0,Divorced,Transport-moving,Not-in-family,White,Male,0.0,0.0,38.0,United-States,<=50K
54.0, Self-emp-not-inc,13492.0, HS-grad,10.0, Divorced, Sales, Not-in-family, White, Male,0.0,0.0,40.0, United-States, >50K
48.0,Private,194919.58,Bachelors,16.0,Married-civ-spouse,Prof-specialty,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
17.0,Private,416578.84,Some-college,9.0,Never-married,Other-service,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0, Private,127264.6, Some-college,9.0, Married-civ-spouse, Machine-op-inspct, Husband, White, Male,0.0,0.0,40.0, United-States, >50K
53.0,Private,1490400.0,10th,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
39.0,Private,48106.92,Bachelors,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,65.281784,United-States,>50K
50.0,Private,361079.34,HS-grad,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
43.0,Private,208132.48,Some-college,10.0,Married-spouse-absent,Sales,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
38.0,State-gov,89628.97,HS-grad,9.0,Divorced,Craft-repair,Own-child,White,Male,0.0,0.0,40.0,United-States,<=50K
32.0,Private,47532.09,Bachelors,10.0,Never-married,Adm-clerical,Unmarried,White,Male,0.0,0.0,40.0,United-States,<=50K
30.0,Private,177755.52,10th,9.0,Married-civ-spouse,Sales,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
45.0,Private,217296.16,Some-college,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,>50K
31.0, Private,111356.375, 7th-8th,10.0, Married-civ-spouse, Craft-repair, Husband, White, Male,0.0,0.0,99.0, United-States, >50K
90.0,Private,13492.0,Some-college,10.0,Divorced,Exec-managerial,Unmarried,White,Female,0.0,0.0,1.0,United-States,<=50K
29.0,Private,1490400.0,Assoc-voc,10.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
49.0, Private,80849.14, HS-grad,12.0, Never-married, Prof-specialty, Own-child, White, Male,0.0,0.0,54.22178, United-States, <=50K
41.0, Local-gov,1490400.0, Masters,14.0, Divorced, Prof-specialty, Not-in-family, White, Female,0.0,0.0,40.0, United-States, >50K
