age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
28,Private,295870,Assoc-acdm,10,Never-married,Transport-moving,Not-in-family,White,Male,274,26,37,United-States,<=50K
20, Private,226538, HS-grad,8, Never-married, Adm-clerical, Own-child, White, Male,231,12,44, United-States, <=50K
48, Private,95545, HS-grad,10, Divorced, Craft-repair, Unmarried, Black, Female,242,6,37, United-States, <=50K
27,State-gov,204887,Doctorate,13,Never-married, Armed-Forces,Own-child,White,Female,143,8,36,United-States,<=50K
63, Private,151566, 10th,12, Married-civ-spouse, Prof-specialty, Husband, White, Male,910,3,38, United-States, >50K
29, Private,104203, HS-grad,6, Married-civ-spouse, Adm-clerical, Husband, White, Male,30,0,42, United-States, <=50K
25, Private,204067, HS-grad,10, Never-married, Prof-specialty, Own-child, White, Male,938,5,50,South, <=50K
55,Self-emp-not-inc,189321,HS-grad,9,Married-civ-spouse,Prof-specialty,Husband,White,Male,153,16,35,United-States,>50K
34,Private,268171,HS-grad,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,460,7,36,United-States,<=50K
39, Private,130504, Some-college,10, Never-married, Other-service, Not-in-family, Black, Female,710,10,23, United-States, <=50K
46,Private,269370,HS-grad,8,Never-married,Machine-op-inspct,Not-in-family,Black,Female,395,10,31,United-States,<=50K
33,Private,243688,Some-college,11,Married-civ-spouse,Tech-support,Husband,White,Male,52,2,38,United-States,<=50K
30,Self-emp-inc,127232,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,409,14,66,United-States,<=50K
27,State-gov,203831,Bachelors,13,Never-married, Armed-Forces,Own-child,White,Female,142,8,37,United-States,<=50K
24,Private,168455,Bachelors,11,Divorced,Craft-repair,Not-in-family,White,Male,280,13,60,United-States,<=50K
43, Private,232672, Bachelors,12, Never-married, Prof-specialty, Not-in-family, Black, Female,1354,10,46, United-States, <=50K
29,Self-emp-inc,150520,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,461,40,61,United-States,<=50K
25, Private,215733, HS-grad,10, Never-married, Craft-repair, Own-child, White, Male,255,4,47, United-States, <=50K
42,Private,191386,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,1742,9,53,United-States,>50K
42, ?,99608, Some-college,6, Divorced, ?, Not-in-family, White, Male,258,3,19, United-States, <=50K
31, Private,142710, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Male,153,4,45, United-States, <=50K
42, Private,137989, Some-college,9, Never-married, Other-service, Not-in-family, White, Male,561,7,24, United-States, <=50K
48, Private,172327, Bachelors,13, Never-married, Prof-specialty, Not-in-family, White, Female,1520,15,40, United-States, <=50K
27, Private,85650,Masters,5, Married-civ-spouse,Farming-fishing, Husband, White, Male,9,0,41, United-States, <=50K
24,Private,317895,11th,8,Never-married,Craft-repair,Own-child,White,Male,140,61,40,United-States,<=50K
31,Self-emp-inc,134268,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,699,21,61,United-States,<=50K
42, Private,113160, Some-college,9, Never-married,Armed-Forces, Not-in-family, Black, Female,349,8,21, United-States, <=50K
32,Private,140543,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,881,8,57,United-States,>50K
30,Self-emp-inc,143877,Some-college,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,332,46,64,United-States,<=50K
23, Private,222913, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,291,6,44, United-States, <=50K
42,Local-gov,18085,Some-college,7,Never-married,Other-service,Unmarried,White,Female,0,0,36,United-States,<=50K
22,Federal-gov,223854, HS-grad,8,Separated, Adm-clerical, Own-child, White, Male,93,20,43,Greece, <=50K
20, Private,230478, HS-grad,9, Never-married, Adm-clerical, Own-child, White, Male,178,8,44, United-States, <=50K
27,Self-emp-inc,135206,Bachelors,11,Divorced,Craft-repair,Not-in-family,White,Male,287,14,65,United-States,<=50K
76,Self-emp-not-inc,95672,Masters,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,3202,18,42,United-States,>50K
53,Private,202500,HS-grad,8,Married-civ-spouse, Other-service,Not-in-family,Black,Male,237,5,28,United-States,<=50K
45, Private,84938, HS-grad,9, Divorced, Craft-repair, Unmarried, White, Female,197,5,36, United-States, <=50K
69, Private,111430, 10th,11, Married-civ-spouse,Transport-moving, Husband, White, Male,767,4,36, United-States, >50K
21, Private,244643, HS-grad,9, Never-married, Craft-repair, Own-child, White, Male,505,4,47,Mexico, <=50K
32,Private,186587,Some-college,8,Widowed,Adm-clerical,Unmarried,White,Female,8,0,32,United-States,<=50K
34,Private,137058,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,879,8,60,United-States,>50K
39, Private,208436, Bachelors,12, Never-married, Craft-repair, Not-in-family, Black, Female,1007,10,45, United-States, <=50K
45,Self-emp-not-inc,220363,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,133,14,35,United-States,>50K
22,Private,349864,11th,8,Never-married,Craft-repair,Own-child,White,Male,228,33,40,United-States,<=50K
33,Private,245669,Some-college,8,Widowed,Adm-clerical,Unmarried,White,Female,35,2,33,United-States,<=50K
20,Private,234164,Some-college,11,Never-married,Craft-repair,Own-child,White,Female,184,9,44,United-States,<=50K
38,Private,214040,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,91,5,35,United-States,<=50K
36,Private,240020,HS-grad,8,Divorced,Machine-op-inspct,Not-in-family,White,Female,331,5,36,United-States,<=50K
33, Private,94050, HS-grad,7, Married-civ-spouse, Craft-repair, Husband, White, Male,27,0,43, United-States, <=50K
32,Private,247191,Bachelors,10,Married-civ-spouse,Tech-support,Husband,White,Male,231,7,36,United-States,<=50K
33,Private,249200,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,88,6,33,United-States,<=50K
71, Private,99394, Masters,12, Married-civ-spouse,Transport-moving, Husband, White, Male,1645,4,41, United-States, >50K
37, Private,221657, Masters,12, Married-civ-spouse, Exec-managerial, Husband, White, Male,2258,5,51, United-States, >50K
