age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,housemaid,married,primary,no,147.99815,yes,no,cellular,21.0,jul,138.0,3.0,-1.0,0.0,unknown,no
1,technician,married,tertiary,no,2926.681,no,no,cellular,1.0,aug,255.0,6.0,213.8385,0.0,failure,no
1,management,married,primary,no,1209.0194,yes,no,telephone,21.0,nov,65.0,4.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,210.35,yes,no,unknown,18.0,may,258.02704,2.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,71.0,yes,yes,telephone,1.0,feb,148.0,3.0,264.77808,0.0,failure,no
1,technician,married,secondary,no,35.26667,yes,no,cellular,1.0,may,121.9535,1.0,181.0,2.0,other,no
0,student,single,secondary,no,501.59186,no,no,unknown,15.0,jun,4918.0,2.0,-1.0,0.0,unknown,no
1,services,divorced,secondary,no,584.9673,no,yes,cellular,14.0,sep,130.0,2.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,619.3911,yes,yes,cellular,1.0,feb,119.34446,1.0,854.0,3.0,failure,no
1,management,married,tertiary,no,5195.2993,no,no,cellular,28.0,aug,375.74417,50.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,33.0,no,no,cellular,14.584631,sep,113.0,1.0,120.57612,2.0,failure,no
1,technician,divorced,tertiary,no,324.2627,no,yes,cellular,12.0,aug,174.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,0.0,no,no,unknown,19.0,may,120.0,1.0,-1.0,0.0,unknown,no
1,student,divorced,tertiary,no,1624.1666,no,no,cellular,19.0,sep,4918.0,4.0,-1.0,0.0,success,yes
1,blue-collar,divorced,secondary,no,1134.9695,no,no,cellular,21.0,aug,224.40338,1.0,-1.0,0.0,success,yes
1,technician,married,secondary,no,102127.0,no,no,telephone,13.0,sep,146.0,4.0,-1.0,0.0,failure,no
1,management,single,tertiary,no,316.08112,no,no,cellular,18.0,aug,113.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,53.0,yes,no,unknown,4.0,jun,152.0,2.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,662.1537,yes,no,unknown,21.0,may,4918.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,1108.185,no,no,cellular,13.0,aug,162.61934,50.0,-1.0,0.0,unknown,no
1,entrepreneur,married,tertiary,no,-8019.0,yes,no,cellular,27.0,nov,4918.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,unknown,no,196.13048,yes,no,cellular,20.0,aug,178.35454,3.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,155.40366,yes,no,cellular,31.0,nov,4918.0,3.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,1.0,yes,no,unknown,16.0,may,157.0,1.0,-1.0,0.0,unknown,no
1,technician,single,secondary,no,33.0,no,yes,telephone,29.0,jul,114.93333,1.0,-1.0,0.0,unknown,no
1,student,single,secondary,no,0.0,yes,no,unknown,2.0,may,0.0,1.0,-1.0,0.0,unknown,no
1,services,married,secondary,no,284.60025,yes,no,cellular,28.0,nov,184.16803,7.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,8633.043,no,no,cellular,1.0,aug,155.0,1.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,689.2143,yes,no,cellular,6.0,apr,568.9181,6.0,-1.0,0.0,unknown,no
1,management,married,unknown,no,37.0,yes,no,cellular,18.0,may,68.0,3.0,-1.0,0.0,unknown,no
1,admin.,divorced,secondary,no,376.52203,no,no,cellular,28.0,jul,26.0,32.444,-1.0,0.0,unknown,no
1,technician,married,secondary,no,33.0,yes,no,cellular,21.0,aug,13.0,3.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,214.15955,no,no,cellular,24.0,jan,55.0,1.0,-1.0,0.0,unknown,no
1,technician,divorced,tertiary,no,1389.0779,yes,no,cellular,18.0,may,1123.8114,1.0,-1.0,0.0,unknown,yes
0,retired,married,secondary,no,1311.4595,no,no,unknown,10.0,may,152.36179,5.0,-1.0,0.0,unknown,no
0,technician,married,secondary,no,1411.154,no,no,cellular,11.0,sep,317.0,3.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,246.52817,no,no,cellular,10.0,may,227.0,1.0,-1.0,0.0,unknown,yes
1,management,divorced,secondary,no,177.0,yes,no,unknown,25.0,may,508.81577,1.0,-1.0,0.0,unknown,no
0,services,married,secondary,no,2011.0585,no,no,cellular,10.0,feb,285.0,1.0,854.0,58.0,failure,yes
1,technician,married,tertiary,no,468.7483,yes,no,unknown,23.0,may,97.0,5.0,-1.0,0.0,unknown,no
1,technician,single,primary,no,792.8376,no,no,cellular,27.0,nov,301.25027,1.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,2606.6045,yes,no,cellular,22.067747,nov,72.0,1.0,-1.0,0.0,unknown,no
1,entrepreneur,married,secondary,no,182.7359,yes,no,cellular,15.0,aug,394.46985,3.0,-1.0,0.0,unknown,no
1,services,divorced,secondary,no,3576.1387,yes,no,cellular,28.0,apr,278.4241,1.0,854.0,58.0,other,yes
1,technician,single,secondary,no,290.70526,no,yes,cellular,27.0,aug,78.0,1.0,-1.0,0.0,unknown,yes
1,management,married,tertiary,no,572.5546,no,no,unknown,26.0,jun,175.0,50.0,-1.0,0.0,unknown,no
0,admin.,married,secondary,no,280.63745,no,no,cellular,14.0,sep,79.0,1.0,-1.0,0.0,other,no
1,management,married,tertiary,no,1048.4509,no,no,cellular,25.0,aug,339.0,4.0,-1.0,0.0,unknown,no
1,management,divorced,tertiary,no,279.59204,no,no,unknown,7.0,jun,4918.0,2.0,-1.0,0.0,unknown,yes
1,services,married,secondary,no,2150.8726,no,no,cellular,9.0,feb,4918.0,4.0,-1.0,0.0,unknown,yes
1,blue-collar,single,primary,no,144.99222,yes,no,unknown,18.0,may,89.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,single,primary,no,202.94054,no,no,telephone,11.0,may,108.0,50.0,854.0,58.0,other,no
