age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
56,admin.,married,secondary,no,-6401,no,no,cellular,2,apr,27,1,3,0,unknown,no
22,technician,single,secondary,no,937,no,no,cellular,3,aug,103,1,4,0,unknown,no
33,management,single,tertiary,no,-5329,no,yes,cellular,18,aug,53,1,7,0,unknown,no
32,admin.,married,secondary,no,5480,yes,no,unknown,29,jun,263,4,1,0,unknown,no
23,technician,married,secondary,no,-3311,yes,yes,unknown,30,may,206,3,10,0,unknown,no
39,blue-collar,married,secondary,no,-281,yes,yes,unknown,25,jul,98,3,2,0,unknown,no
23,technician,married,secondary,no,6679,yes,no,cellular,5,jul,230,1,5,0,unknown,no
47,retired,married,secondary,no,-3071,no,yes,cellular,1,nov,71,1,3,0,unknown,no
81,housemaid,married,primary,no,-4351,yes,no,cellular,24,may,31,1,198,3,failure,no
19,admin.,divorced,secondary,no,2581,yes,no,cellular,1,may,56,1,3,0,unknown,no
91,retired,married,primary,no,-7099,no,no,cellular,4,apr,14,1,9,0,unknown,no
69,blue-collar,married,primary,no,19599,yes,no,unknown,1,may,176,3,4,0,unknown,no
25,management,married,tertiary,no,12183,yes,no,cellular,1,may,576,1,31,0,unknown,no
72,technician,married,secondary,no,23803,no,yes,cellular,30,nov,403,2,0,0,unknown,no
72,services,married,secondary,no,22048,no,no,cellular,25,jul,152,4,11,0,unknown,no
31,blue-collar,single,secondary,no,13744,no,no,cellular,4,aug,116,1,38,2,failure,no
32,management,married,secondary,no,3217,yes,no,cellular,4,aug,204,2,2,0,unknown,no
24,services,married,primary,no,1411,yes,no,cellular,8,may,270,2,19,0,unknown,no
46,management,single,tertiary,no,-4961,no,no,cellular,30,aug,110,1,20,1,failure,no
24,blue-collar,married,secondary,no,-3305,yes,no,cellular,10,may,192,2,7,0,unknown,no
46,retired,married,secondary,no,-6203,no,no,cellular,1,feb,31,1,3,0,unknown,no
31,technician,married,secondary,no,-569,yes,no,cellular,1,may,67,1,10,0,unknown,no
32,blue-collar,married,secondary,no,-4007,yes,yes,cellular,13,may,123,3,3,0,unknown,no
27,blue-collar,single,secondary,no,-1231,yes,no,cellular,17,aug,83,1,6,0,unknown,no
70,retired,married,secondary,no,-6664,no,no,cellular,4,aug,25,1,4,0,unknown,no
25,admin.,divorced,secondary,no,-4244,yes,yes,cellular,7,may,26,1,10,0,unknown,no
36,technician,married,secondary,no,-183,yes,no,cellular,1,may,411,1,4,0,unknown,no
21,services,married,secondary,no,-199,yes,no,cellular,29,apr,58,1,74,0,unknown,no
56,services,married,secondary,no,1962,no,no,cellular,13,aug,165,2,3,0,unknown,no
21,technician,married,tertiary,no,4299,no,no,cellular,20,jul,200,2,10,0,unknown,no
31,blue-collar,married,primary,no,-4159,yes,no,cellular,30,may,240,2,7,0,unknown,no
19,admin.,divorced,secondary,no,-5948,yes,no,cellular,2,may,34,1,318,6,failure,no
60,admin.,married,secondary,no,8164,no,no,unknown,1,may,362,3,4,0,unknown,no
71,management,married,tertiary,no,-4278,no,no,unknown,29,jun,73,1,3,0,unknown,no
54,blue-collar,single,secondary,no,-127,no,no,telephone,28,jul,59,1,4,0,unknown,no
28,admin.,single,secondary,no,-2569,yes,no,cellular,30,jul,149,1,11,2,unknown,no
19,services,divorced,primary,no,-5333,yes,yes,cellular,21,jul,89,1,27,0,unknown,no
92,technician,married,secondary,no,7263,no,no,cellular,30,aug,115,2,1,0,unknown,no
25,technician,married,tertiary,no,3136,yes,no,cellular,5,aug,251,2,18,0,unknown,no
22,management,married,tertiary,no,-6326,no,no,cellular,30,may,117,1,45,1,failure,no
67,technician,married,secondary,no,19734,no,no,unknown,29,jun,209,10,1,0,unknown,no
27,blue-collar,married,secondary,no,5885,yes,no,unknown,30,may,78,3,0,0,unknown,no
37,retired,divorced,secondary,no,-5547,yes,no,cellular,3,nov,104,1,2,0,unknown,no
24,technician,married,secondary,no,6050,yes,no,cellular,10,aug,83,1,2,0,unknown,no
