age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
0,retired,married,secondary,no,321,no,no,cellular,13,nov,268,1,0,0,unknown,no
1,admin.,single,secondary,no,1558,no,no,cellular,2,apr,94,1,0,0,unknown,no
1,technician,married,secondary,no,-2449,yes,no,unknown,7,may,143,1,0,0,unknown,no
1,blue-collar,married,primary,no,1287,no,no,cellular,12,aug,62,4,0,0,unknown,no
1,technician,married,secondary,no,2217,yes,yes,cellular,16,nov,136,1,229,1,failure,no
1,management,single,tertiary,no,6246,yes,no,cellular,19,may,241,1,327,7,other,yes
1,admin.,married,secondary,no,2160,no,no,cellular,5,may,271,2,0,0,unknown,no
1,blue-collar,married,primary,no,-3202,yes,no,telephone,9,may,49,6,184,6,other,no
1,management,single,secondary,no,-17,no,yes,cellular,5,may,635,1,15,0,unknown,yes
1,technician,single,tertiary,no,7259,yes,no,unknown,6,may,573,1,1,0,unknown,no
1,retired,single,secondary,no,872,yes,no,unknown,16,jun,115,9,0,0,unknown,no
1,services,married,secondary,no,-1137,yes,yes,telephone,11,may,883,1,0,0,unknown,yes
1,unemployed,married,tertiary,no,-165,no,no,unknown,5,jun,535,1,0,0,unknown,no
1,technician,single,unknown,no,4204,yes,yes,cellular,5,feb,784,2,0,0,unknown,no
1,services,married,secondary,no,-1432,yes,no,unknown,26,may,166,6,0,0,unknown,no
1,blue-collar,divorced,primary,no,-1269,yes,yes,cellular,6,jul,120,1,1,0,unknown,no
0,management,single,tertiary,no,4715,yes,no,cellular,14,jul,43,3,0,0,unknown,no
1,admin.,single,secondary,no,2022,no,yes,cellular,3,jul,2046,2,0,0,unknown,yes
1,technician,married,secondary,no,14004,no,no,cellular,1,aug,135,1,184,0,success,no
1,blue-collar,married,secondary,no,-1060,yes,no,telephone,15,jul,42,2,0,0,unknown,no
1,blue-collar,married,secondary,no,2055,no,yes,cellular,18,jul,697,1,0,0,unknown,no
1,technician,married,secondary,no,4153,yes,no,cellular,18,nov,147,1,0,0,unknown,no
0,services,married,secondary,no,-736,yes,no,cellular,17,jul,205,1,0,0,unknown,no
1,blue-collar,single,secondary,no,1177,yes,no,unknown,13,may,841,1,3,0,unknown,yes
1,self-employed,married,secondary,no,-1721,yes,yes,unknown,2,jun,162,3,0,0,unknown,no
1,management,married,secondary,no,-35,no,no,cellular,27,jan,215,1,88,8,failure,no
1,technician,single,secondary,no,998,yes,no,cellular,18,nov,111,1,1,0,unknown,no
1,blue-collar,married,secondary,no,-455,yes,no,cellular,7,may,61,1,3,0,unknown,no
1,admin.,married,secondary,no,-1761,no,no,cellular,1,sep,163,1,0,0,unknown,no
0,management,married,tertiary,no,2001,yes,no,cellular,21,nov,7,1,0,0,unknown,no
0,management,married,tertiary,no,-2767,no,no,unknown,13,may,26,2,0,0,unknown,no
1,management,single,tertiary,no,2265,yes,no,cellular,21,nov,48,2,0,0,unknown,no
1,retired,married,secondary,no,729,no,no,unknown,5,jun,186,1,0,0,unknown,no
1,admin.,married,secondary,no,512,yes,no,cellular,15,aug,132,1,0,0,unknown,no
1,technician,single,tertiary,no,-2358,yes,no,cellular,13,mar,557,1,0,0,unknown,no
0,services,divorced,secondary,no,-4456,yes,no,unknown,30,may,238,2,1,0,unknown,no
1,blue-collar,married,primary,no,-1396,no,no,cellular,17,nov,22,4,0,0,unknown,no
1,technician,single,tertiary,no,6771,no,no,cellular,15,aug,875,3,0,0,unknown,no
1,blue-collar,married,secondary,no,4221,no,no,unknown,19,jun,416,1,0,0,unknown,no
1,admin.,single,tertiary,no,7976,no,no,cellular,4,jun,188,3,0,0,unknown,no
1,technician,married,tertiary,no,-2207,no,no,cellular,25,may,182,6,0,0,unknown,no
1,technician,married,secondary,no,5370,no,no,unknown,9,jun,145,8,0,0,unknown,no
1,blue-collar,single,secondary,no,-470,yes,no,unknown,22,may,220,1,0,0,unknown,no
1,services,married,primary,no,1720,no,no,cellular,9,aug,38,1,0,0,unknown,no
1,technician,divorced,secondary,no,1935,yes,yes,cellular,26,feb,119,1,0,0,unknown,no
