age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,retired,married,primary,no,60.0,no,no,cellular,5.0,aug,203.0,2.0,-1.0,0.0,unknown,no
0,retired,single,secondary,no,130.12027,no,no,unknown,17.0,may,107.0,2.0,-1.0,0.0,unknown,yes
1,blue-collar,married,secondary,no,940.55316,yes,no,unknown,17.0,may,197.0,1.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,691.2865,yes,no,cellular,8.0,sep,169.0,1.0,299.6527,2.0,failure,no
1,management,married,tertiary,no,8940.885,no,no,cellular,4.0,feb,0.0,1.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,-8019.0,yes,no,unknown,21.0,may,360.0,3.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,234.99179,yes,no,unknown,21.0,may,103.0,1.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,337.67706,no,no,cellular,12.0,aug,111.0,2.0,183.0,3.0,success,no
1,management,married,primary,no,244.0,yes,no,unknown,12.0,may,191.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,197.0,no,no,cellular,13.0,apr,147.0,1.0,-1.0,0.0,unknown,no
1,admin.,divorced,tertiary,no,-8019.0,yes,yes,cellular,8.0,may,97.0,1.0,854.0,58.0,failure,no
1,blue-collar,single,secondary,no,175.54013,yes,no,cellular,31.0,aug,0.0,2.0,-1.0,0.0,other,no
1,blue-collar,married,primary,no,222.0,yes,no,unknown,15.0,may,198.0,2.0,-1.0,0.0,unknown,no
0,technician,single,secondary,no,4224.017,yes,no,unknown,19.0,may,97.0,1.0,-1.0,0.0,unknown,no
1,technician,single,secondary,no,591.92,no,no,unknown,15.0,may,714.6556,1.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,17.0,yes,yes,cellular,18.0,jul,136.0,2.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,102127.0,yes,no,cellular,15.0,may,199.57788,1.0,109.3425,58.0,other,no
1,admin.,married,secondary,no,384.32855,yes,yes,cellular,20.0,jul,86.0,3.0,854.0,2.0,failure,no
1,unemployed,married,primary,no,-1018.08234,yes,no,cellular,26.0,jul,128.26227,3.0,-1.0,0.0,unknown,no
1,entrepreneur,married,tertiary,no,467.42596,yes,no,unknown,12.0,may,225.0,1.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,-8019.0,no,no,cellular,15.0,may,150.0,4.0,-1.0,0.0,unknown,no
1,self-employed,married,tertiary,no,941.44635,yes,no,cellular,17.0,aug,153.0,3.0,-1.0,0.0,unknown,no
1,admin.,divorced,secondary,no,-8019.0,yes,yes,cellular,18.0,jul,215.13431,1.0,-1.0,0.0,unknown,yes
1,blue-collar,married,primary,no,1110.202,no,no,unknown,1.0,jun,244.26143,2.0,-1.0,0.0,unknown,no
1,self-employed,single,tertiary,no,312.59546,no,no,cellular,28.0,jul,0.0,50.0,-1.0,0.0,unknown,no
1,technician,single,secondary,no,1078.4761,yes,no,unknown,17.0,may,266.0,1.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,yes,-8019.0,yes,no,cellular,13.0,feb,94.91035,1.0,854.0,1.0,failure,no
1,management,divorced,tertiary,no,102127.0,yes,yes,cellular,23.0,apr,422.0,1.0,854.0,5.0,failure,yes
1,unemployed,married,secondary,no,483.52905,no,no,cellular,21.0,jan,114.0,1.0,78.55341,2.0,failure,no
1,management,married,tertiary,no,24.0,yes,no,cellular,17.0,jul,498.72247,5.0,-1.0,0.0,unknown,no
0,retired,married,secondary,no,610.4187,no,no,telephone,22.0,jul,159.0,1.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,1366.109,no,no,cellular,24.0,aug,148.0,3.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,61.6127,yes,no,unknown,23.0,may,192.97902,1.0,-1.0,0.0,unknown,no
1,retired,married,primary,no,104.907875,no,no,cellular,20.0,aug,501.04343,1.0,-1.0,58.0,failure,no
1,management,married,tertiary,no,158.07626,no,no,cellular,18.0,aug,216.0,4.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,226.28938,yes,no,cellular,13.0,apr,421.0904,1.0,-1.0,0.0,unknown,no
1,self-employed,single,unknown,no,1170.2853,no,no,telephone,14.0,aug,37.0,4.0,-1.0,0.0,unknown,no
1,management,married,primary,no,0.0,yes,no,cellular,16.0,apr,228.0,1.0,-1.0,0.0,unknown,yes
1,blue-collar,married,secondary,no,-8019.0,no,no,telephone,12.0,aug,159.0,3.0,-1.0,0.0,unknown,no
1,blue-collar,single,secondary,no,-8019.0,yes,no,cellular,28.0,jul,274.0,2.0,-1.0,0.0,unknown,no
1,housemaid,married,primary,no,341.8916,no,no,telephone,18.0,nov,155.0,3.0,-1.0,0.0,unknown,no
0,blue-collar,divorced,secondary,no,580.0,yes,no,cellular,25.0,apr,231.0,1.0,-1.0,0.0,failure,no
1,services,single,secondary,no,2341.575,no,no,telephone,9.0,feb,118.50971,5.0,-1.0,0.0,unknown,no
1,entrepreneur,married,secondary,no,306.77844,yes,no,unknown,25.0,may,147.0,3.0,-1.0,0.0,unknown,no
1,services,married,secondary,no,-8019.0,yes,yes,cellular,16.0,jul,224.0,1.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,3297.879,yes,no,cellular,13.0,may,286.50113,2.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,275.5858,no,no,unknown,18.0,may,0.0,1.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,522.888,yes,no,cellular,16.0,nov,188.0,3.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,826.24536,yes,no,unknown,22.0,jun,112.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,1595.5516,yes,yes,unknown,15.0,may,156.0,1.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,509.68692,yes,no,unknown,3.0,jun,668.7235,3.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,481.0,yes,no,cellular,17.0,aug,781.4872,1.0,-1.0,2.0,failure,no
1,management,single,tertiary,no,785.847,no,no,cellular,7.0,jun,176.0,2.0,-1.0,0.0,success,yes
1,student,single,secondary,no,131.46613,yes,no,unknown,21.0,may,167.0538,1.0,-1.0,0.0,unknown,no
1,student,single,tertiary,no,300.62863,yes,no,cellular,21.0,jul,176.0,1.0,-1.0,0.0,unknown,yes
1,admin.,married,secondary,no,658.46814,yes,no,unknown,19.0,may,139.0,1.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,236.01338,yes,no,unknown,11.0,may,185.0,3.0,-1.0,0.0,unknown,no
