age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
27,blue-collar,single,primary,no,1488,yes,no,unknown,7,jun,397,2,0,0,unknown,no
37,admin.,single,secondary,no,-638,no,no,cellular,10,jul,78,1,0,0,unknown,no
35,management,married,tertiary,no,1024,yes,yes,cellular,18,nov,34,1,0,0,unknown,no
40,management,married,tertiary,no,-1184,yes,no,cellular,16,feb,514,1,0,0,unknown,yes
35,management,single,tertiary,no,139,no,no,cellular,20,aug,96,2,0,0,unknown,no
39,management,married,tertiary,no,-714,yes,yes,cellular,11,aug,126,4,0,0,unknown,no
56,management,married,secondary,no,8333,yes,no,cellular,22,apr,0,1,516,0,unknown,no
42,entrepreneur,divorced,primary,no,765,yes,no,cellular,24,nov,269,1,0,0,unknown,no
67,management,married,secondary,no,6212,yes,no,telephone,20,apr,0,1,556,0,failure,no
40,blue-collar,single,secondary,no,-631,yes,yes,cellular,16,jul,393,1,0,0,unknown,no
36,blue-collar,single,secondary,no,905,no,yes,unknown,4,jun,117,3,0,0,unknown,no
43,management,single,tertiary,no,3050,yes,no,cellular,14,may,155,1,0,0,unknown,no
47,management,married,tertiary,no,1831,no,no,cellular,14,feb,417,1,0,0,unknown,no
32,management,married,tertiary,no,69,yes,no,unknown,19,may,301,1,0,0,unknown,no
35,technician,married,secondary,no,5413,no,no,cellular,3,aug,343,1,27,0,unknown,yes
55,management,single,secondary,no,2511,no,no,cellular,17,jul,466,1,0,0,unknown,no
34,blue-collar,married,secondary,no,819,yes,no,unknown,14,may,688,1,0,0,unknown,no
37,management,married,tertiary,no,1286,no,no,cellular,18,aug,90,2,0,0,unknown,no
49,entrepreneur,married,tertiary,no,3994,no,no,cellular,3,apr,4,1,1,0,unknown,no
37,technician,divorced,secondary,no,1564,yes,no,cellular,22,jul,180,1,0,0,unknown,no
68,technician,married,primary,no,289,yes,no,cellular,15,apr,311,1,2,0,unknown,no
35,services,married,primary,no,-921,yes,no,unknown,15,may,577,1,0,0,unknown,no
29,technician,married,secondary,no,-727,no,no,cellular,3,aug,189,1,0,0,unknown,yes
36,blue-collar,married,secondary,no,5846,no,no,cellular,20,nov,161,2,0,0,unknown,no
32,technician,married,tertiary,no,879,yes,no,cellular,7,may,187,2,343,0,success,no
38,management,married,secondary,no,1642,no,no,cellular,13,aug,17,1,0,0,unknown,no
33,technician,married,tertiary,no,453,no,no,cellular,28,aug,58,4,0,0,unknown,no
45,technician,divorced,secondary,no,2507,no,yes,cellular,16,aug,101,1,0,0,unknown,no
39,technician,married,secondary,no,2432,no,no,telephone,29,jul,12,3,0,0,unknown,no
42,self-employed,divorced,secondary,no,-1244,yes,no,unknown,5,jun,247,1,0,0,unknown,no
29,blue-collar,single,secondary,no,2402,yes,no,unknown,16,may,259,1,0,0,unknown,no
30,blue-collar,married,secondary,no,-434,yes,yes,cellular,10,may,202,1,209,1,failure,no
29,technician,divorced,secondary,no,-350,yes,no,unknown,29,may,121,1,0,0,unknown,no
31,blue-collar,married,secondary,no,1931,yes,no,unknown,16,may,440,1,0,0,unknown,no
26,management,single,secondary,no,2800,no,no,cellular,25,aug,153,2,0,0,unknown,no
37,blue-collar,married,secondary,no,3557,yes,no,cellular,16,apr,271,1,0,0,unknown,no
47,technician,married,secondary,no,-197,yes,no,unknown,8,may,89,1,0,0,unknown,no
54,management,married,tertiary,no,6510,yes,no,cellular,17,nov,155,5,151,3,failure,no
32,blue-collar,married,tertiary,no,3270,yes,no,unknown,18,may,443,2,0,0,unknown,no
26,management,single,secondary,no,2991,yes,yes,unknown,24,may,264,2,0,0,unknown,no
32,blue-collar,single,primary,no,376,yes,yes,unknown,24,may,83,1,0,0,unknown,no
34,management,single,secondary,no,906,no,no,cellular,17,aug,27,2,0,0,unknown,no
34,management,married,tertiary,no,1323,yes,no,cellular,4,aug,83,1,371,1,failure,no
34,management,married,tertiary,no,6078,no,no,cellular,1,aug,194,1,442,0,failure,yes
33,technician,single,tertiary,no,-240,no,no,cellular,20,aug,78,5,0,0,unknown,no
28,blue-collar,married,secondary,no,1020,yes,no,cellular,17,apr,818,2,2,0,unknown,no
46,blue-collar,married,primary,no,1672,yes,no,unknown,13,may,76,1,0,0,unknown,no
37,technician,married,secondary,no,-1378,no,yes,cellular,14,aug,84,2,0,0,unknown,no
35,housemaid,single,secondary,no,-1523,yes,no,unknown,3,jun,196,1,0,0,unknown,no
49,blue-collar,married,primary,no,984,no,no,unknown,7,jun,264,4,0,0,unknown,no
40,technician,married,secondary,no,774,yes,no,cellular,14,aug,132,5,0,0,unknown,no
38,technician,married,secondary,no,7722,yes,no,cellular,14,aug,177,1,300,0,failure,no
44,management,single,tertiary,no,-416,no,no,cellular,11,may,115,1,0,0,unknown,no
39,management,single,tertiary,no,4696,yes,no,cellular,18,apr,176,1,0,0,unknown,no
39,technician,married,tertiary,no,-1228,yes,yes,unknown,28,may,150,1,0,0,unknown,no
32,management,single,secondary,no,3026,no,no,cellular,1,aug,105,1,420,0,failure,no
29,management,single,tertiary,no,1659,no,no,cellular,1,aug,117,1,185,0,success,yes
41,management,married,tertiary,no,309,yes,yes,cellular,16,jul,97,1,0,0,unknown,no
38,blue-collar,married,secondary,no,-501,yes,no,cellular,12,may,165,2,222,1,failure,no
36,services,single,secondary,no,-436,yes,no,cellular,4,may,204,6,27,0,unknown,no
51,blue-collar,married,primary,no,-832,no,no,unknown,13,may,221,2,0,0,unknown,no
45,blue-collar,married,secondary,no,-51,no,no,cellular,24,aug,122,5,0,0,unknown,no
35,blue-collar,married,unknown,no,5557,yes,no,unknown,16,may,615,5,0,0,unknown,yes
48,blue-collar,married,secondary,no,1246,no,no,telephone,7,may,144,2,0,0,unknown,no
26,management,single,tertiary,no,1259,no,no,cellular,11,may,82,1,249,1,failure,yes
43,blue-collar,married,primary,no,1707,yes,no,unknown,14,may,518,1,0,0,unknown,no
34,management,single,tertiary,no,1432,yes,no,unknown,23,may,239,1,0,0,unknown,no
41,services,divorced,secondary,no,755,no,no,unknown,27,may,200,1,0,0,unknown,no
50,admin.,married,tertiary,no,1185,no,no,cellular,15,may,82,1,0,0,unknown,no
42,blue-collar,married,secondary,no,1029,no,no,cellular,5,jul,419,1,0,0,unknown,no
48,technician,married,secondary,no,1793,no,yes,cellular,18,jul,119,1,0,0,unknown,no
35,management,married,tertiary,no,5582,no,no,cellular,12,aug,152,1,225,0,failure,no
51,management,married,tertiary,no,4954,no,no,unknown,9,nov,766,1,0,0,unknown,yes
30,housemaid,divorced,secondary,no,-1395,no,no,unknown,5,jun,112,1,0,0,unknown,no
37,management,divorced,tertiary,no,1196,yes,no,cellular,8,jul,1024,1,0,0,unknown,no
53,blue-collar,married,primary,no,708,yes,no,cellular,16,may,484,1,0,0,unknown,no
41,management,single,primary,no,1749,no,no,unknown,5,jun,524,2,0,0,unknown,no
41,blue-collar,married,secondary,no,1740,yes,yes,unknown,24,may,70,1,0,0,unknown,no
50,self-employed,divorced,secondary,no,-9,no,no,cellular,29,jul,386,5,0,0,unknown,no
43,management,divorced,tertiary,no,76,no,yes,cellular,24,nov,150,1,0,0,unknown,no
48,technician,married,secondary,no,520,no,no,unknown,16,jun,61,1,0,0,unknown,no
40,management,married,tertiary,no,517,yes,no,cellular,17,aug,108,3,0,0,unknown,no
30,services,single,secondary,no,-536,yes,no,unknown,17,jun,48,3,0,0,unknown,no
34,management,single,secondary,no,-2411,no,no,cellular,29,mar,174,2,0,0,unknown,no
29,services,divorced,secondary,no,2217,yes,no,cellular,25,nov,267,1,0,0,unknown,no
27,blue-collar,single,secondary,no,4250,yes,no,unknown,28,may,101,1,0,0,unknown,no
48,management,married,secondary,no,2236,no,yes,telephone,18,apr,36,4,0,0,unknown,no
41,management,married,secondary,no,1983,no,no,cellular,20,aug,180,1,0,0,unknown,no
36,technician,married,tertiary,no,-139,no,no,cellular,21,aug,170,5,0,0,unknown,no
43,blue-collar,married,secondary,no,774,no,no,cellular,14,aug,171,3,0,0,unknown,no
29,admin.,single,secondary,no,-1525,yes,no,cellular,14,may,120,1,0,0,unknown,no
34,technician,single,secondary,no,2638,no,no,unknown,22,may,240,1,0,0,unknown,no
48,management,married,tertiary,no,8236,no,no,cellular,6,jun,168,4,0,0,unknown,no
41,blue-collar,single,primary,no,-294,no,no,cellular,16,nov,159,6,115,0,success,yes
38,entrepreneur,married,tertiary,no,-745,no,no,cellular,21,aug,171,2,0,0,unknown,no
55,technician,married,secondary,no,-2228,no,no,cellular,20,jul,180,3,148,1,failure,yes
43,management,married,secondary,no,6256,no,no,cellular,12,aug,209,1,0,0,unknown,no
46,blue-collar,divorced,primary,no,303,no,no,cellular,13,jul,1516,1,0,0,unknown,yes
43,blue-collar,married,tertiary,no,961,no,no,cellular,25,aug,164,4,0,0,unknown,no
47,management,married,tertiary,no,4511,no,no,telephone,13,apr,14,1,0,0,unknown,no
46,management,divorced,tertiary,no,752,yes,no,cellular,17,feb,898,9,1,0,unknown,yes
26,admin.,married,unknown,no,462,yes,yes,unknown,30,may,143,1,0,0,unknown,no
43,management,single,tertiary,no,4256,yes,no,unknown,6,jun,276,2,0,0,unknown,no
34,management,single,tertiary,no,305,no,no,cellular,13,aug,163,3,0,0,unknown,no
29,blue-collar,married,primary,no,3094,yes,no,cellular,21,jul,239,1,0,0,unknown,no
46,management,married,secondary,no,1995,no,no,cellular,13,aug,213,2,0,0,unknown,no
58,admin.,single,secondary,no,1122,yes,no,cellular,10,may,519,1,0,0,unknown,no
27,blue-collar,married,primary,no,233,yes,no,unknown,19,may,323,1,0,0,unknown,no
45,self-employed,married,tertiary,no,-1701,no,no,cellular,26,aug,238,4,0,0,unknown,no
38,management,married,secondary,no,2145,no,no,cellular,16,apr,10,1,0,0,unknown,no
49,management,single,tertiary,no,8417,yes,no,cellular,22,nov,105,2,0,0,unknown,no
39,services,single,primary,no,116,no,no,unknown,6,jun,383,4,0,0,unknown,no
40,technician,married,secondary,no,-467,no,no,cellular,19,aug,181,3,0,0,unknown,no
36,technician,married,tertiary,no,-22,no,no,cellular,30,jul,197,1,0,0,unknown,no
47,self-employed,divorced,tertiary,no,-1044,yes,no,unknown,12,jun,256,2,0,0,unknown,no
39,technician,married,secondary,no,2389,no,no,cellular,9,mar,479,1,0,0,unknown,yes
40,admin.,married,secondary,no,2066,yes,yes,unknown,19,may,60,1,0,0,unknown,no
36,management,single,tertiary,no,1318,no,no,cellular,30,aug,174,4,0,0,unknown,no
50,management,married,tertiary,no,2302,no,no,cellular,13,aug,102,2,0,0,unknown,no
34,technician,married,secondary,no,2829,no,no,unknown,30,may,730,1,0,0,unknown,yes
40,management,single,secondary,no,9743,yes,no,cellular,20,apr,0,1,120,0,unknown,no
33,technician,married,secondary,no,3700,yes,no,cellular,10,aug,201,1,10,0,unknown,no
47,management,married,secondary,no,1510,yes,yes,cellular,16,jul,300,1,0,0,unknown,no
33,technician,married,secondary,no,389,yes,no,cellular,19,aug,73,2,0,0,unknown,no
45,admin.,divorced,tertiary,no,1594,no,no,cellular,17,nov,208,2,122,2,failure,no
47,management,married,tertiary,no,3663,no,no,cellular,15,aug,166,4,0,0,unknown,no
39,blue-collar,married,primary,no,-798,no,no,cellular,2,jun,855,1,0,0,unknown,no
39,blue-collar,single,secondary,no,869,no,no,cellular,5,jun,153,1,0,0,unknown,no
35,technician,married,secondary,no,-454,yes,no,unknown,30,may,99,1,0,0,unknown,no
48,admin.,divorced,secondary,no,12835,yes,no,unknown,25,sep,0,1,798,0,failure,no
39,management,single,tertiary,no,2707,no,yes,cellular,16,may,73,1,149,1,failure,no
44,management,married,tertiary,no,2623,yes,no,cellular,30,jul,182,8,0,0,unknown,no
46,blue-collar,married,secondary,no,868,no,no,cellular,22,aug,83,6,0,0,unknown,no
29,services,single,secondary,no,276,yes,no,unknown,16,may,94,1,0,0,unknown,no
51,management,divorced,tertiary,no,204,yes,no,unknown,13,may,1110,1,0,0,unknown,no
53,technician,single,primary,no,692,no,no,cellular,26,may,358,1,0,0,unknown,no
43,entrepreneur,married,secondary,no,1588,yes,yes,unknown,26,jan,605,1,0,0,unknown,no
36,technician,married,tertiary,no,481,yes,no,cellular,17,aug,107,3,0,0,unknown,no
38,management,married,secondary,no,4588,yes,no,cellular,20,nov,317,1,0,0,unknown,no
41,blue-collar,married,primary,no,1206,yes,yes,unknown,19,may,298,6,0,0,unknown,no
36,management,married,primary,no,1468,yes,no,unknown,19,may,549,2,0,0,unknown,no
34,admin.,single,tertiary,no,1777,yes,no,cellular,12,nov,1026,1,0,0,unknown,no
44,blue-collar,married,primary,no,-1179,no,yes,unknown,28,may,263,7,0,0,unknown,no
44,blue-collar,single,secondary,no,-1321,no,no,cellular,5,feb,174,3,256,0,success,no
43,technician,single,secondary,no,1276,yes,yes,unknown,12,may,473,1,0,0,unknown,no
27,admin.,divorced,secondary,no,3337,yes,no,cellular,20,apr,289,1,2,0,unknown,no
31,unemployed,divorced,secondary,no,3288,yes,no,cellular,29,jan,151,1,204,1,failure,no
42,technician,married,secondary,no,2531,no,no,cellular,27,jul,55,3,0,0,unknown,no
35,technician,married,tertiary,no,747,no,no,cellular,18,aug,120,1,0,0,unknown,no
45,management,married,tertiary,no,1824,yes,yes,unknown,11,jun,253,6,0,0,unknown,no
45,management,married,tertiary,no,3058,no,no,cellular,2,aug,187,2,352,0,failure,yes
27,management,single,tertiary,no,633,no,no,cellular,26,aug,150,7,0,0,unknown,no
30,admin.,married,secondary,no,-1502,yes,yes,telephone,15,may,156,1,0,0,unknown,no
51,management,single,secondary,no,6593,yes,no,cellular,19,apr,0,1,233,0,unknown,no
39,blue-collar,married,secondary,no,3387,yes,no,unknown,24,may,127,1,0,0,unknown,no
33,management,married,tertiary,no,4302,yes,no,cellular,25,jul,903,1,0,0,unknown,yes
51,blue-collar,married,secondary,no,539,no,no,cellular,9,aug,104,7,0,0,unknown,no
34,unemployed,single,secondary,no,-738,no,no,telephone,18,jul,121,12,0,0,unknown,no
59,blue-collar,divorced,primary,no,1561,no,yes,cellular,26,apr,726,1,241,0,failure,no
30,admin.,single,secondary,no,-371,no,no,telephone,16,may,231,1,0,0,unknown,no
43,blue-collar,divorced,secondary,no,948,no,no,unknown,7,jun,287,7,0,0,unknown,no
31,admin.,single,secondary,no,-1144,no,no,cellular,12,may,331,1,0,0,unknown,no
37,blue-collar,single,secondary,no,2476,yes,no,unknown,18,may,50,1,0,0,unknown,no
38,blue-collar,single,secondary,no,484,yes,no,telephone,17,jul,46,10,0,0,unknown,no
