age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,blue-collar,single,secondary,no,4562,yes,yes,unknown,12,jun,234,6,0,0,unknown,yes
1,unemployed,divorced,secondary,no,3192,no,no,unknown,25,jun,56,12,0,0,unknown,no
1,blue-collar,married,secondary,no,-342,yes,no,telephone,24,apr,93,1,3,0,unknown,no
1,management,married,tertiary,no,1520,no,no,cellular,16,aug,73,1,0,0,unknown,no
1,blue-collar,married,primary,no,-728,yes,no,cellular,11,may,597,1,278,2,failure,no
0,housemaid,married,primary,no,4222,no,no,telephone,23,jan,93,2,0,0,unknown,no
1,services,single,secondary,no,-1977,no,no,telephone,16,nov,357,2,105,0,unknown,yes
1,admin.,married,secondary,no,1844,no,no,unknown,23,may,192,1,0,0,unknown,no
1,technician,married,secondary,no,2614,no,yes,cellular,11,jul,137,1,0,0,unknown,no
1,services,divorced,secondary,no,-666,yes,no,cellular,7,may,181,1,0,0,unknown,no
1,blue-collar,single,secondary,no,-1619,yes,yes,cellular,4,feb,39,1,151,1,other,no
1,self-employed,single,tertiary,no,862,yes,no,cellular,13,nov,174,1,138,2,failure,no
1,blue-collar,married,primary,no,822,yes,no,unknown,26,may,103,3,0,0,unknown,no
1,management,married,tertiary,no,610,yes,yes,cellular,26,jul,143,1,0,0,unknown,no
1,technician,single,secondary,no,-1555,no,no,cellular,2,feb,389,1,2,0,unknown,no
1,blue-collar,married,primary,no,1800,yes,no,unknown,6,may,183,1,0,0,unknown,no
1,blue-collar,married,primary,yes,-1560,yes,no,cellular,3,apr,886,2,0,0,unknown,no
1,blue-collar,married,secondary,no,1329,no,no,cellular,5,may,132,1,0,0,unknown,no
1,unemployed,married,secondary,no,2438,yes,no,unknown,13,jun,272,10,1,0,unknown,no
1,housemaid,married,primary,no,6502,no,no,telephone,27,jan,187,5,0,0,unknown,no
1,management,married,secondary,no,2756,no,no,cellular,6,jul,110,1,0,0,unknown,no
1,management,married,tertiary,no,1328,no,no,cellular,19,nov,138,1,0,0,unknown,no
1,technician,married,secondary,no,1525,no,no,cellular,19,jul,451,1,0,0,unknown,no
1,technician,single,secondary,no,-618,yes,no,unknown,10,may,506,2,0,0,unknown,no
1,technician,divorced,secondary,no,302,yes,no,unknown,14,may,520,6,0,0,unknown,no
1,blue-collar,married,primary,no,1101,yes,no,unknown,9,may,201,1,0,0,unknown,no
1,technician,married,secondary,no,-2120,yes,no,cellular,10,nov,681,1,0,0,unknown,no
1,management,single,tertiary,no,1843,no,no,cellular,13,aug,111,1,0,0,unknown,no
1,admin.,married,secondary,no,1355,yes,no,unknown,10,may,126,2,0,0,unknown,no
1,self-employed,married,tertiary,no,384,yes,no,cellular,30,jul,143,1,0,0,unknown,no
1,management,married,tertiary,no,1128,yes,yes,unknown,26,may,271,2,0,0,unknown,no
1,admin.,married,secondary,no,2813,no,yes,unknown,23,may,233,8,0,0,unknown,no
1,entrepreneur,married,tertiary,no,-855,yes,yes,cellular,21,nov,330,1,164,1,failure,no
1,housemaid,married,tertiary,no,1074,no,no,cellular,16,aug,175,1,0,0,unknown,yes
1,technician,married,secondary,no,1767,no,no,cellular,25,aug,92,7,0,0,unknown,no
1,blue-collar,married,primary,no,528,yes,no,unknown,12,may,59,1,0,0,unknown,no
1,technician,single,tertiary,no,-2007,yes,no,cellular,15,may,150,3,339,2,other,no
1,management,married,primary,no,-783,no,no,cellular,5,feb,47,1,133,0,failure,no
1,services,married,secondary,no,-411,yes,no,cellular,23,jul,194,1,0,0,unknown,no
1,blue-collar,married,secondary,no,85,yes,no,cellular,5,may,624,2,354,0,failure,no
1,management,divorced,secondary,no,795,yes,no,telephone,5,may,15,1,0,0,unknown,no
1,management,single,tertiary,no,-500,no,no,cellular,21,may,538,1,311,0,failure,no
1,blue-collar,married,secondary,no,2687,yes,no,unknown,8,jun,249,6,0,0,unknown,no
