age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
43,management,married,secondary,no,116,no,no,cellular,7,jul,99,1,0,0,unknown,no
45,services,married,secondary,no,277,no,no,cellular,7,aug,117,1,0,0,unknown,no
36,technician,married,secondary,no,-291,no,no,cellular,10,jul,94,0,0,0,unknown,no
33,blue-collar,married,secondary,no,253,yes,no,cellular,16,may,83,1,0,0,unknown,no
37,management,married,secondary,no,-115,yes,no,cellular,9,aug,39,1,0,0,unknown,no
56,services,single,tertiary,no,2543,no,no,unknown,15,jun,336,2,154,3,failure,no
48,services,single,tertiary,no,674,no,no,cellular,28,nov,199,2,-1,0,unknown,no
46,admin.,married,tertiary,no,973,yes,no,unknown,14,jun,334,1,266,3,unknown,no
35,blue-collar,married,secondary,no,246,yes,no,cellular,17,may,75,1,0,0,unknown,no
35,blue-collar,married,secondary,no,19,yes,no,cellular,7,may,65,1,0,0,unknown,no
33,blue-collar,married,secondary,no,127,yes,no,cellular,16,may,69,1,0,0,unknown,no
45,management,married,tertiary,no,-589,no,no,cellular,9,aug,140,3,0,0,unknown,no
60,management,single,tertiary,no,2890,no,no,cellular,9,aug,165,4,0,0,unknown,no
41,management,married,tertiary,no,-117,no,no,cellular,4,aug,209,3,0,0,unknown,no
36,blue-collar,married,secondary,no,31,yes,no,cellular,8,may,67,1,0,0,unknown,no
33,blue-collar,married,secondary,no,381,yes,no,cellular,16,may,103,0,-1,0,unknown,no
26,retired,single,primary,yes,8297,yes,yes,unknown,9,nov,368,8,526,4,other,yes
35,blue-collar,married,secondary,no,-15,yes,no,cellular,8,may,70,1,0,0,unknown,no
60,management,single,tertiary,no,2540,no,no,unknown,7,jun,168,4,381,2,failure,no
33,blue-collar,married,secondary,no,48,yes,no,cellular,13,may,96,0,0,0,unknown,no
60,management,single,primary,yes,4635,yes,yes,unknown,8,jun,300,4,523,1,failure,yes
51,services,single,tertiary,no,2441,no,no,unknown,14,jul,390,1,-1,2,unknown,no
40,admin.,married,secondary,no,-133,yes,no,cellular,26,jul,172,1,-1,0,unknown,no
57,management,married,secondary,no,1410,yes,no,cellular,6,aug,110,2,0,0,unknown,no
42,entrepreneur,single,primary,yes,1370,yes,yes,unknown,2,nov,292,5,126,2,failure,yes
32,blue-collar,married,secondary,no,488,yes,no,cellular,16,may,98,0,-1,0,unknown,no
58,services,single,tertiary,no,1952,no,no,unknown,15,jun,291,2,69,1,failure,no
59,management,single,tertiary,no,2039,no,no,cellular,8,aug,191,4,0,0,unknown,no
35,blue-collar,married,secondary,no,-115,yes,no,cellular,7,may,50,1,0,0,unknown,no
35,blue-collar,married,secondary,no,171,yes,no,cellular,18,may,85,1,0,0,unknown,no
32,retired,single,primary,yes,5870,yes,yes,unknown,8,feb,324,4,513,4,failure,yes
33,blue-collar,married,secondary,no,125,yes,no,cellular,12,may,90,1,0,0,unknown,no
56,management,married,tertiary,no,2702,no,no,cellular,6,aug,101,2,0,0,unknown,no
46,management,single,tertiary,no,-166,yes,no,unknown,3,jun,194,3,352,2,failure,no
61,management,single,tertiary,no,1938,no,no,unknown,7,jun,132,4,386,2,failure,no
47,services,single,tertiary,yes,7481,no,yes,unknown,25,apr,404,1,75,2,failure,yes
45,management,married,tertiary,no,-363,no,no,cellular,5,aug,165,2,0,0,unknown,no
48,management,married,tertiary,no,-22,no,no,cellular,6,aug,161,3,0,0,unknown,no
41,services,married,tertiary,no,1443,no,no,cellular,28,aug,171,1,-1,0,unknown,no
37,blue-collar,married,secondary,no,-27,yes,no,cellular,9,may,55,1,0,0,unknown,no
46,management,single,secondary,no,-681,no,no,cellular,10,aug,2,4,0,0,unknown,no
38,technician,married,secondary,no,-110,no,no,cellular,27,jul,113,1,0,0,unknown,no
42,management,married,secondary,no,-177,yes,no,cellular,27,jul,139,1,0,0,unknown,no
45,admin.,married,tertiary,no,1104,no,no,cellular,5,jul,308,2,-1,0,unknown,no
30,blue-collar,married,secondary,no,141,yes,no,cellular,10,may,146,0,-1,0,unknown,no
28,technician,married,secondary,no,425,yes,no,cellular,25,may,183,0,-1,0,unknown,no
40,admin.,married,tertiary,no,-8,no,no,unknown,25,jul,392,1,251,2,failure,no
32,blue-collar,married,secondary,no,96,yes,no,cellular,16,may,111,0,-1,0,unknown,no
28,self-employed,single,primary,yes,6937,no,yes,unknown,7,apr,474,3,389,2,failure,yes
36,blue-collar,married,secondary,no,-24,yes,no,cellular,7,may,61,1,0,0,unknown,no
53,management,single,tertiary,no,948,no,no,unknown,18,jun,258,3,372,1,failure,no
30,blue-collar,married,secondary,no,258,yes,no,cellular,26,may,178,0,-1,0,unknown,no
31,technician,married,secondary,no,-154,yes,no,cellular,28,may,126,0,0,0,unknown,no
54,services,single,tertiary,no,1806,no,no,unknown,26,jun,363,2,278,3,failure,no
30,technician,married,secondary,no,282,yes,no,cellular,25,may,184,0,-1,0,unknown,no
53,services,single,tertiary,no,2906,no,no,unknown,14,jul,352,2,64,1,failure,no
56,services,married,secondary,no,2697,yes,no,cellular,5,jul,137,1,-1,0,unknown,no
