age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,technician,single,secondary,no,2597,no,yes,unknown,14,jun,326,0,0,0,unknown,no
1,management,married,secondary,no,365,yes,no,cellular,7,may,109,2,0,0,unknown,no
1,blue-collar,married,tertiary,no,362,yes,no,cellular,5,jul,122,2,291,1,unknown,no
1,blue-collar,married,tertiary,no,-189,yes,no,cellular,9,apr,408,3,34,0,failure,no
1,blue-collar,married,tertiary,no,74,yes,no,cellular,7,jul,155,2,-1,1,unknown,no
1,technician,single,secondary,no,2009,no,yes,unknown,14,aug,319,0,0,0,unknown,no
1,blue-collar,married,tertiary,no,-23,yes,no,cellular,5,jul,92,2,-1,0,unknown,no
0,blue-collar,married,tertiary,no,415,yes,no,cellular,6,apr,491,1,293,1,failure,no
1,blue-collar,married,tertiary,no,154,yes,no,cellular,6,jul,140,2,-1,1,unknown,no
1,management,married,secondary,no,1866,yes,no,cellular,29,may,100,0,0,0,unknown,no
0,services,married,tertiary,no,-50,yes,no,cellular,10,nov,667,3,22,4,failure,no
1,blue-collar,married,tertiary,no,394,yes,no,cellular,7,jul,141,2,0,0,unknown,no
1,admin.,married,tertiary,no,8270,yes,no,cellular,9,may,203,2,-1,0,unknown,no
1,blue-collar,married,secondary,no,-236,yes,no,cellular,4,may,78,2,-1,0,unknown,no
1,admin.,single,secondary,no,1046,no,no,cellular,28,jun,371,1,0,0,unknown,no
1,management,single,secondary,no,335,no,no,cellular,29,jun,369,1,0,0,unknown,no
1,technician,single,secondary,no,1165,no,yes,unknown,13,aug,291,0,0,0,unknown,no
1,technician,single,secondary,no,1451,no,yes,unknown,13,aug,312,0,0,0,unknown,no
1,technician,single,secondary,no,1156,no,yes,unknown,13,aug,302,0,0,0,unknown,no
1,blue-collar,married,tertiary,no,355,yes,no,cellular,7,jul,124,2,0,0,unknown,no
1,retired,married,primary,yes,5261,yes,no,unknown,10,may,203,2,314,5,failure,yes
1,management,married,secondary,no,1832,yes,no,cellular,29,may,89,0,0,0,unknown,no
1,management,married,secondary,no,256,yes,no,cellular,29,may,56,0,-1,0,unknown,no
1,retired,married,primary,yes,6037,yes,no,unknown,10,may,197,3,333,6,failure,yes
1,management,married,secondary,no,694,no,no,cellular,29,nov,344,1,0,0,unknown,no
1,retired,married,primary,yes,4371,no,no,unknown,10,may,110,4,396,7,other,yes
1,management,married,secondary,no,27,yes,no,cellular,6,may,63,2,-1,0,unknown,no
1,retired,married,primary,yes,6321,yes,no,unknown,10,may,180,3,380,6,failure,yes
1,management,married,secondary,no,605,no,no,cellular,29,nov,355,1,0,0,unknown,no
0,blue-collar,married,tertiary,no,136,yes,no,cellular,3,jul,63,2,293,1,failure,no
1,management,married,secondary,no,320,yes,no,cellular,6,may,79,1,-1,0,unknown,no
1,management,married,secondary,no,2077,yes,no,cellular,29,may,100,0,0,0,unknown,no
1,management,married,secondary,no,324,no,no,cellular,29,nov,367,1,0,0,unknown,no
1,retired,married,primary,yes,4449,yes,no,unknown,10,may,174,3,371,6,failure,yes
1,management,married,secondary,no,173,yes,no,cellular,7,may,65,0,0,0,unknown,no
1,management,married,secondary,no,1111,yes,no,cellular,29,may,328,1,0,0,unknown,no
1,management,married,secondary,no,1226,yes,no,cellular,29,may,329,1,0,0,unknown,no
1,management,single,secondary,no,499,no,no,cellular,29,jun,376,1,0,0,unknown,no
1,technician,single,secondary,no,2392,no,no,cellular,27,jun,358,0,0,0,unknown,no
1,technician,single,secondary,no,324,no,yes,unknown,13,aug,193,0,0,0,unknown,no
1,technician,single,secondary,no,789,no,yes,unknown,13,aug,117,0,-1,0,unknown,no
0,services,married,tertiary,no,126,yes,no,cellular,10,jan,649,2,14,3,other,no
1,admin.,married,primary,no,8539,yes,no,unknown,10,may,215,3,-1,0,unknown,no
1,management,married,secondary,no,280,yes,no,cellular,29,may,77,0,0,0,unknown,no
1,blue-collar,married,tertiary,no,269,yes,no,cellular,6,jul,150,2,-1,1,unknown,no
1,admin.,single,secondary,no,1038,no,no,cellular,28,jun,372,1,0,0,unknown,no
1,admin.,married,tertiary,no,-265,yes,no,cellular,3,may,86,2,-1,0,unknown,no
1,management,married,secondary,no,776,yes,no,cellular,29,may,337,1,0,0,unknown,no
1,blue-collar,married,tertiary,no,312,yes,no,cellular,7,jul,152,2,0,0,unknown,no
1,blue-collar,married,tertiary,no,-32,yes,no,cellular,2,jul,85,2,-1,0,unknown,no
1,technician,single,secondary,no,2317,no,yes,unknown,15,jun,331,0,0,0,unknown,no
1,management,married,secondary,no,262,yes,no,cellular,7,may,74,0,-1,0,unknown,no
1,blue-collar,married,tertiary,no,239,yes,no,cellular,7,jul,152,2,0,0,unknown,no
1,blue-collar,married,tertiary,no,-14,yes,no,cellular,1,jul,98,2,-1,0,unknown,no
1,retired,married,primary,yes,6149,yes,no,unknown,10,may,169,3,382,6,other,yes
0,blue-collar,married,tertiary,no,451,yes,no,cellular,6,apr,546,1,302,1,failure,no
1,admin.,married,tertiary,no,-261,yes,no,cellular,2,may,120,2,-1,0,unknown,no
1,technician,single,secondary,no,2018,no,yes,unknown,14,aug,331,0,0,0,unknown,no
