,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,585,7,216,0,-1,0,services,single,secondary,no,no,no,cellular,apr,unknown,0,yes
1,233,7,118,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
2,-37,11,27,1,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
3,3058,15,204,1,-1,2,admin.,married,tertiary,no,yes,no,cellular,jun,unknown,0,no
4,505,9,164,2,0,2,blue-collar,married,tertiary,no,no,no,cellular,jul,unknown,0,no
5,221,9,207,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
6,941,25,300,1,-1,0,technician,single,secondary,no,no,no,cellular,jun,unknown,0,no
7,1277,28,298,0,-1,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
8,-145,26,238,2,269,0,services,single,tertiary,no,no,no,unknown,jul,unknown,0,no
9,497,15,73,0,0,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
10,6548,0,371,1,332,1,services,married,tertiary,no,yes,no,cellular,apr,failure,0,no
11,51,10,123,1,-1,0,technician,married,secondary,no,yes,no,cellular,may,unknown,0,no
12,260,8,175,0,-1,0,admin.,married,secondary,no,yes,no,cellular,may,unknown,0,no
13,-650,10,144,1,-1,0,blue-collar,married,secondary,no,no,no,unknown,jun,unknown,0,no
14,-138,1,66,1,0,1,blue-collar,married,tertiary,no,yes,no,cellular,jul,unknown,0,no
15,2415,4,328,2,0,0,technician,married,tertiary,no,no,no,cellular,aug,unknown,0,no
16,2184,19,319,0,-1,0,blue-collar,married,secondary,no,no,no,cellular,nov,unknown,0,no
17,2647,28,107,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
18,2826,27,685,2,346,3,retired,single,primary,no,no,yes,unknown,jul,success,0,yes
19,1460,1,139,2,397,1,blue-collar,single,tertiary,no,yes,no,unknown,nov,failure,0,yes
20,2948,0,405,3,-1,0,blue-collar,married,tertiary,no,no,no,cellular,aug,failure,0,no
21,365,7,208,0,0,0,management,married,secondary,no,yes,no,cellular,may,unknown,0,no
22,-66,3,345,6,33,0,blue-collar,married,tertiary,no,yes,no,cellular,apr,failure,0,no
23,-275,15,33,1,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
