age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
32,technician,single,secondary,no,-27,yes,no,unknown,16,may,18,0,0,0,unknown,no
46,blue-collar,married,tertiary,no,335,yes,no,unknown,1,may,164,1,-1,0,unknown,no
40,technician,single,tertiary,no,172,no,no,cellular,24,aug,203,1,-1,0,unknown,no
32,blue-collar,married,secondary,no,3035,no,no,unknown,26,jun,22,4,-1,0,unknown,no
53,blue-collar,married,secondary,no,667,yes,no,cellular,9,may,397,1,-1,0,unknown,no
61,blue-collar,married,secondary,no,648,yes,no,cellular,4,may,387,0,0,1,failure,no
34,blue-collar,married,secondary,no,-255,yes,no,unknown,9,may,74,1,-1,0,unknown,no
53,management,married,tertiary,no,-305,no,no,cellular,13,jul,219,0,-1,0,unknown,no
50,blue-collar,married,secondary,no,2960,yes,no,cellular,5,may,391,1,144,2,failure,no
31,blue-collar,married,secondary,no,-258,yes,no,unknown,7,may,62,1,-1,0,unknown,no
46,blue-collar,married,secondary,no,668,yes,no,unknown,16,may,137,0,0,0,unknown,no
60,blue-collar,married,secondary,no,1316,yes,no,unknown,1,jul,304,1,0,0,unknown,no
49,technician,married,secondary,no,88,yes,no,cellular,28,aug,29,2,0,0,unknown,no
58,management,married,secondary,no,-714,no,no,cellular,4,aug,47,2,0,0,failure,no
47,technician,married,secondary,no,2858,yes,no,cellular,20,jul,56,0,0,0,unknown,no
59,blue-collar,married,secondary,no,68,no,no,cellular,13,nov,38,1,0,0,unknown,no
39,technician,married,secondary,no,2758,yes,no,cellular,8,feb,123,1,292,0,failure,no
61,technician,married,secondary,no,383,no,no,cellular,19,aug,162,1,0,0,unknown,no
37,technician,single,secondary,no,512,no,no,cellular,24,aug,217,2,-1,0,unknown,no
32,management,single,tertiary,no,2963,yes,no,cellular,9,feb,376,3,328,0,failure,no
30,technician,single,secondary,no,-262,no,no,cellular,27,aug,202,1,-1,0,unknown,no
22,services,single,tertiary,no,2950,yes,no,unknown,7,jun,75,0,0,0,unknown,no
32,technician,married,secondary,no,2864,no,no,cellular,14,may,174,2,0,0,unknown,no
33,services,single,tertiary,no,2800,yes,no,unknown,9,jun,41,3,0,0,unknown,no
32,management,single,tertiary,no,-70,yes,no,cellular,20,may,85,1,-1,0,unknown,no
52,management,married,secondary,no,-155,yes,no,cellular,5,may,82,1,-1,0,unknown,no
39,services,divorced,tertiary,no,2324,yes,yes,cellular,10,nov,270,1,190,0,failure,yes
