age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
38,technician,married,tertiary,no,2187,no,no,cellular,3,nov,251,2,-1,1,unknown,no
51,technician,married,tertiary,no,2309,yes,no,cellular,13,jun,305,1,0,0,unknown,no
38,technician,single,tertiary,no,860,yes,no,unknown,8,nov,308,4,367,1,failure,no
38,blue-collar,married,secondary,no,320,no,no,cellular,7,jul,7,2,0,0,unknown,no
26,blue-collar,married,secondary,no,230,yes,no,cellular,5,may,201,0,-1,0,unknown,no
40,blue-collar,married,secondary,no,374,no,no,cellular,6,jul,210,1,-1,0,unknown,no
58,retired,single,tertiary,no,6465,yes,yes,unknown,20,apr,611,9,368,1,failure,yes
52,technician,married,tertiary,no,2678,yes,no,cellular,4,jun,258,2,-1,0,unknown,no
43,blue-collar,married,secondary,no,-202,no,no,cellular,7,may,217,0,0,0,unknown,no
32,blue-collar,married,secondary,no,99,yes,no,cellular,5,may,160,0,-1,0,unknown,no
33,management,married,secondary,no,-217,yes,no,cellular,8,may,203,0,0,0,unknown,no
56,technician,single,tertiary,no,5488,no,yes,unknown,7,nov,258,4,348,1,failure,no
59,retired,single,primary,yes,1885,no,yes,unknown,20,apr,721,9,315,5,failure,yes
43,technician,married,secondary,no,410,no,no,cellular,8,nov,398,3,0,0,unknown,no
38,blue-collar,married,secondary,no,608,yes,no,cellular,5,jul,185,2,-1,0,unknown,no
53,retired,single,primary,yes,3786,no,yes,unknown,21,apr,541,9,270,6,failure,yes
26,management,married,secondary,no,-24,yes,no,cellular,4,may,77,2,-1,0,unknown,no
33,technician,single,tertiary,no,-483,no,no,unknown,8,nov,405,2,396,2,failure,no
36,blue-collar,married,secondary,no,-30,yes,no,cellular,29,may,106,0,-1,0,unknown,no
47,technician,married,tertiary,no,2165,yes,no,cellular,12,aug,419,1,-1,0,unknown,no
29,blue-collar,married,secondary,no,-175,yes,no,cellular,5,may,180,1,0,0,unknown,no
44,blue-collar,married,secondary,no,792,no,no,cellular,8,jul,178,2,-1,0,unknown,no
46,admin.,single,tertiary,no,1208,yes,no,unknown,16,aug,366,4,164,2,failure,no
41,technician,single,tertiary,no,-189,no,no,unknown,6,nov,153,3,274,0,failure,no
48,technician,married,tertiary,no,2243,no,no,unknown,29,aug,155,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-226,no,no,cellular,3,jul,210,0,-1,0,unknown,no
28,blue-collar,married,secondary,no,-146,yes,no,cellular,8,may,210,0,-1,0,unknown,no
39,blue-collar,married,secondary,no,659,no,no,cellular,4,jul,163,1,0,0,unknown,no
60,retired,single,primary,yes,6899,no,yes,unknown,25,feb,756,10,145,5,other,yes
53,retired,single,primary,yes,6035,yes,yes,unknown,18,apr,709,9,386,4,failure,yes
43,technician,married,tertiary,no,-336,no,no,cellular,6,nov,176,3,395,2,unknown,no
44,blue-collar,married,tertiary,no,505,no,no,cellular,29,aug,341,1,-1,0,unknown,no
27,blue-collar,married,secondary,no,-66,no,no,cellular,5,may,153,1,0,0,unknown,no
50,technician,married,tertiary,no,2727,yes,no,cellular,15,aug,317,4,-1,0,unknown,no
50,technician,married,tertiary,no,1162,yes,no,cellular,3,nov,366,3,326,1,unknown,no
35,blue-collar,married,secondary,no,601,yes,no,cellular,9,may,96,0,0,0,unknown,no
60,retired,single,primary,yes,3494,no,yes,unknown,20,feb,757,10,148,6,success,yes
35,management,married,secondary,no,541,yes,no,cellular,8,may,170,2,-1,0,unknown,no
60,technician,single,primary,no,3738,no,yes,unknown,9,nov,571,4,362,2,failure,no
24,blue-collar,married,secondary,no,519,yes,no,cellular,3,may,104,0,-1,0,unknown,no
51,management,single,tertiary,no,578,yes,no,unknown,30,aug,196,0,-1,0,unknown,no
33,technician,married,tertiary,no,-17,no,no,cellular,4,jun,175,3,-1,0,unknown,no
42,technician,married,tertiary,no,-43,no,no,cellular,4,nov,406,3,-1,0,unknown,no
34,blue-collar,married,secondary,no,-80,no,no,cellular,2,jul,217,0,-1,0,unknown,no
40,blue-collar,married,secondary,no,-5,no,no,cellular,6,jul,57,1,0,0,unknown,no
40,blue-collar,married,secondary,no,1827,no,no,cellular,4,jul,257,1,0,0,unknown,no
40,blue-collar,married,secondary,no,-220,yes,no,cellular,7,jul,182,0,-1,0,unknown,no
24,management,married,secondary,no,75,yes,no,cellular,30,may,96,0,-1,0,unknown,no
42,technician,married,tertiary,no,1948,yes,no,cellular,14,aug,155,4,305,0,unknown,no
44,blue-collar,married,secondary,no,250,no,no,cellular,7,jul,120,1,-1,0,unknown,no
41,blue-collar,married,tertiary,no,-442,yes,no,cellular,5,jul,348,4,0,0,unknown,no
38,technician,married,tertiary,no,125,no,no,cellular,27,aug,291,0,-1,0,unknown,no
60,retired,single,primary,yes,3969,no,yes,unknown,19,apr,619,9,374,4,failure,yes
43,blue-collar,married,secondary,no,2051,no,no,cellular,7,jul,134,1,0,0,unknown,no
42,services,single,tertiary,no,275,yes,no,unknown,15,aug,343,4,158,0,unknown,no
51,management,single,tertiary,no,397,yes,no,unknown,28,aug,157,1,0,0,unknown,no
45,services,single,tertiary,no,2698,yes,no,unknown,14,aug,368,2,133,1,unknown,no
40,technician,married,tertiary,no,2382,no,no,cellular,26,aug,253,1,-1,0,unknown,no
32,management,married,secondary,no,-168,yes,no,cellular,29,may,76,1,0,0,unknown,no
48,admin.,single,tertiary,no,487,yes,no,unknown,28,aug,100,2,-1,0,unknown,no
28,management,married,secondary,no,56,yes,no,cellular,29,may,89,0,0,0,unknown,no
54,technician,single,tertiary,no,2230,yes,yes,unknown,20,apr,397,4,341,0,failure,no
38,management,married,secondary,no,607,no,no,cellular,8,may,185,1,0,0,unknown,no
24,blue-collar,married,secondary,no,297,yes,no,cellular,7,may,55,0,-1,0,unknown,no
32,technician,married,secondary,no,1895,no,no,cellular,7,jul,356,1,0,0,unknown,no
43,technician,married,secondary,no,-215,no,no,cellular,2,jul,413,0,0,0,unknown,no
32,blue-collar,married,secondary,no,508,no,no,cellular,2,jul,213,1,-1,0,unknown,no
51,management,single,tertiary,no,-245,yes,no,unknown,30,aug,97,2,0,0,unknown,no
27,management,married,secondary,no,-18,yes,no,cellular,3,may,182,0,0,0,unknown,no
27,management,married,secondary,no,419,yes,no,cellular,16,may,68,1,-1,0,unknown,no
23,blue-collar,married,secondary,no,-81,yes,no,cellular,5,may,98,0,-1,0,unknown,no
35,blue-collar,married,secondary,no,279,yes,no,cellular,2,may,157,1,0,0,unknown,no
31,management,married,secondary,no,-88,yes,no,cellular,3,may,85,1,0,0,unknown,no
37,management,married,secondary,no,617,yes,no,cellular,9,may,196,1,-1,0,unknown,no
33,blue-collar,married,secondary,no,-41,yes,no,cellular,7,may,195,0,-1,0,unknown,no
36,management,married,secondary,no,535,yes,no,cellular,14,may,171,1,-1,0,unknown,no
37,management,married,secondary,no,636,yes,no,cellular,9,may,198,2,0,0,unknown,no
