age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,admin.,married,secondary,no,4374,yes,no,cellular,27,may,143,1,0,0,unknown,no
1,admin.,divorced,secondary,no,661,no,no,cellular,22,aug,57,1,0,0,unknown,no
1,management,single,primary,no,2263,no,no,unknown,1,jun,109,2,0,0,unknown,no
1,management,single,tertiary,no,159,no,no,cellular,25,jul,76,5,0,0,unknown,no
1,services,single,secondary,no,1288,no,no,cellular,20,dec,117,1,0,0,unknown,no
1,services,married,secondary,no,3975,yes,no,unknown,19,apr,91,2,0,0,unknown,no
1,blue-collar,married,primary,no,116,yes,no,unknown,1,jun,51,2,0,0,unknown,no
1,unemployed,married,secondary,no,667,yes,no,cellular,10,may,102,5,0,0,unknown,no
1,technician,single,secondary,no,300,no,no,cellular,6,aug,184,1,0,0,unknown,no
1,unemployed,single,secondary,no,11661,yes,no,cellular,5,may,283,1,0,0,unknown,yes
1,admin.,single,secondary,no,4479,yes,no,unknown,27,may,107,1,0,0,unknown,no
1,blue-collar,married,secondary,no,109,yes,no,cellular,19,nov,78,1,243,1,failure,no
1,blue-collar,single,primary,no,1356,yes,no,unknown,15,may,389,1,0,0,unknown,no
1,blue-collar,married,secondary,no,1155,no,no,cellular,27,aug,181,7,0,0,unknown,no
1,blue-collar,single,primary,no,174,yes,no,cellular,12,jul,194,2,0,0,unknown,no
1,retired,married,secondary,no,155,yes,no,unknown,30,jul,55,1,0,0,unknown,no
1,blue-collar,married,tertiary,no,-74,yes,no,unknown,29,may,85,3,0,0,unknown,no
1,technician,married,tertiary,no,67,yes,no,telephone,28,jul,30,1,0,0,unknown,no
1,self-employed,married,secondary,no,1185,no,no,cellular,5,may,125,1,94,3,success,yes
1,blue-collar,single,secondary,no,731,no,no,unknown,6,may,160,1,0,0,unknown,no
1,management,married,tertiary,no,1266,no,no,cellular,15,nov,186,1,73,1,success,no
1,management,single,secondary,no,127,no,yes,cellular,30,jan,171,1,146,1,failure,no
1,blue-collar,married,primary,no,203,yes,yes,cellular,14,jul,591,2,0,0,unknown,no
1,management,single,secondary,no,634,yes,yes,cellular,6,may,187,1,319,1,failure,no
1,management,married,primary,no,247,yes,no,cellular,13,may,246,0,335,1,failure,no
1,self-employed,married,secondary,no,1711,no,yes,unknown,27,dec,2,10,0,0,unknown,no
1,technician,married,secondary,no,-97,yes,no,cellular,30,jul,76,10,0,0,unknown,no
1,management,married,tertiary,no,1386,yes,no,cellular,26,jul,262,12,0,0,unknown,no
1,management,married,secondary,no,41,no,no,cellular,16,may,84,0,128,1,failure,no
1,admin.,divorced,secondary,no,1249,no,yes,unknown,19,nov,147,2,0,0,unknown,no
1,technician,single,secondary,no,227,yes,no,unknown,5,may,115,3,0,0,unknown,no
1,blue-collar,single,secondary,no,243,yes,no,cellular,12,may,123,3,322,3,failure,no
1,blue-collar,single,secondary,no,377,no,no,unknown,5,jul,396,1,0,0,unknown,no
1,blue-collar,married,secondary,no,-231,yes,no,cellular,19,jul,55,5,0,0,unknown,no
1,management,married,secondary,no,3804,no,no,cellular,15,apr,297,1,186,1,failure,no
1,entrepreneur,single,secondary,no,3316,yes,no,unknown,19,may,492,1,0,0,unknown,no
1,blue-collar,married,secondary,no,257,yes,no,cellular,27,may,189,2,0,0,unknown,no
1,blue-collar,married,secondary,no,164,yes,no,unknown,11,may,473,6,0,0,unknown,no
1,admin.,married,secondary,no,135,no,no,unknown,19,jun,34,2,0,0,unknown,no
1,unknown,married,tertiary,no,168,yes,no,cellular,26,jul,16,10,0,0,unknown,no
1,management,divorced,tertiary,no,-106,yes,no,unknown,17,may,221,1,0,0,unknown,no
1,self-employed,single,secondary,no,139,yes,no,cellular,22,dec,102,2,0,0,unknown,no
1,retired,married,tertiary,no,71,no,yes,cellular,19,jul,544,2,0,0,unknown,no
1,technician,divorced,unknown,no,2331,yes,no,cellular,5,feb,21,5,262,13,unknown,no
1,management,married,tertiary,no,2251,yes,no,cellular,26,may,276,0,0,0,unknown,no
1,housemaid,single,tertiary,no,2080,yes,no,unknown,25,jun,105,0,0,0,unknown,no
1,management,single,tertiary,no,2541,no,no,cellular,1,feb,111,1,0,0,unknown,no
1,unemployed,married,secondary,no,657,yes,yes,cellular,6,may,537,0,0,0,success,yes
1,management,single,tertiary,no,-108,no,no,unknown,26,jun,75,3,0,0,unknown,no
1,retired,married,tertiary,no,39,yes,no,cellular,28,jul,104,2,0,0,unknown,no
1,blue-collar,married,secondary,no,1351,yes,no,unknown,26,may,83,6,0,0,unknown,no
1,technician,single,unknown,no,125,no,no,cellular,6,aug,194,2,0,0,unknown,no
1,unemployed,married,primary,no,1774,yes,yes,cellular,3,apr,575,2,0,0,unknown,no
1,blue-collar,married,primary,no,258,no,yes,cellular,20,jul,585,2,0,0,unknown,no
1,management,divorced,secondary,no,831,yes,no,cellular,14,aug,390,6,0,0,unknown,no
1,admin.,divorced,secondary,no,740,yes,yes,cellular,20,nov,121,2,0,0,unknown,no
