age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
27,blue-collar,married,tertiary,no,273,no,no,unknown,20,aug,66,2,95,0,unknown,no
36,management,married,tertiary,no,103,no,no,cellular,29,jan,80,1,0,0,unknown,no
50,services,married,primary,no,574,yes,no,cellular,30,jan,46,11,-1,0,unknown,yes
24,self-employed,single,unknown,no,-80,yes,no,cellular,15,apr,75,5,0,0,unknown,no
31,management,single,secondary,no,-13,yes,no,unknown,24,may,407,0,0,0,unknown,no
31,technician,single,tertiary,no,1359,yes,no,cellular,3,aug,331,5,0,0,unknown,no
42,entrepreneur,married,secondary,no,1839,no,no,cellular,8,jul,95,0,0,0,unknown,no
36,services,married,tertiary,no,471,no,no,cellular,6,feb,560,2,0,0,unknown,yes
38,admin.,divorced,secondary,no,220,yes,yes,cellular,11,may,130,2,337,1,other,no
49,retired,divorced,tertiary,no,129,yes,no,unknown,5,feb,84,0,0,0,unknown,no
38,admin.,divorced,secondary,no,355,yes,yes,cellular,14,may,28,1,370,1,other,no
37,technician,married,tertiary,no,556,no,no,unknown,16,apr,53,6,0,0,unknown,no
42,self-employed,married,unknown,yes,480,yes,no,unknown,15,apr,131,5,0,0,unknown,no
30,management,single,tertiary,no,170,no,no,cellular,18,aug,96,5,-1,0,unknown,no
39,admin.,married,unknown,no,569,yes,no,cellular,6,apr,104,5,0,0,unknown,no
23,services,divorced,secondary,no,387,yes,no,cellular,10,may,154,2,0,0,unknown,no
54,retired,divorced,secondary,no,1831,no,no,telephone,30,may,124,2,0,0,unknown,no
37,blue-collar,married,secondary,no,76,yes,no,unknown,20,may,292,2,0,0,unknown,no
25,management,single,tertiary,no,215,no,no,cellular,5,aug,286,0,-1,0,unknown,yes
28,management,single,tertiary,no,755,no,no,cellular,6,aug,117,2,-1,0,unknown,no
37,self-employed,married,secondary,no,664,yes,no,unknown,21,jun,397,6,0,0,unknown,no
25,blue-collar,single,secondary,no,427,yes,no,unknown,4,may,124,0,-1,0,unknown,no
32,entrepreneur,married,secondary,no,-80,yes,yes,cellular,16,may,58,1,323,1,other,no
51,technician,divorced,tertiary,no,251,no,no,cellular,7,feb,247,1,-1,0,unknown,no
58,services,married,secondary,no,1937,no,no,cellular,27,jan,138,2,0,0,unknown,no
54,technician,married,secondary,no,2966,no,no,cellular,14,jul,528,3,-1,0,unknown,yes
28,blue-collar,single,secondary,no,1847,yes,yes,cellular,3,apr,411,2,-1,0,unknown,no
27,management,divorced,secondary,no,213,yes,yes,cellular,4,jun,1444,1,-1,0,unknown,no
59,unemployed,married,secondary,no,162,yes,no,cellular,4,aug,19,5,-1,0,unknown,no
24,blue-collar,single,primary,no,789,yes,yes,unknown,19,may,132,1,0,0,unknown,no
30,admin.,divorced,secondary,no,393,yes,no,cellular,4,may,114,2,207,1,other,no
24,unemployed,single,tertiary,no,133,yes,no,unknown,15,jun,11,5,-1,0,unknown,no
41,blue-collar,single,secondary,no,1577,yes,no,cellular,18,may,99,1,-1,0,unknown,no
34,services,married,secondary,no,-53,no,yes,cellular,14,jul,554,3,-1,0,unknown,no
45,management,married,secondary,no,334,yes,no,unknown,27,may,416,2,0,0,unknown,no
45,blue-collar,married,secondary,no,-18,no,no,cellular,29,aug,138,2,0,0,unknown,no
27,self-employed,married,unknown,yes,-32,yes,no,unknown,12,may,382,3,-1,0,unknown,no
33,blue-collar,single,secondary,no,536,yes,no,unknown,28,may,109,2,0,0,unknown,no
46,retired,single,secondary,no,178,no,no,unknown,16,may,109,2,0,0,unknown,no
45,admin.,married,secondary,no,65,no,no,cellular,20,aug,299,1,0,0,unknown,no
29,self-employed,married,tertiary,no,334,no,no,cellular,18,aug,60,5,-1,0,unknown,no
30,admin.,single,secondary,no,17,yes,no,unknown,2,may,418,0,-1,0,unknown,no
30,blue-collar,married,secondary,no,146,yes,no,cellular,21,aug,127,2,0,0,unknown,no
45,admin.,married,tertiary,no,754,no,no,cellular,19,nov,102,6,0,0,unknown,no
