,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,-30,19,126,1,-1,0,technician,divorced,secondary,no,no,yes,cellular,aug,unknown,0,no
1,192,20,111,5,-1,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,0,no
2,-14,10,4,1,-1,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,0,no
3,154,8,108,1,-1,0,management,married,tertiary,no,no,no,cellular,mar,unknown,0,no
4,3548,30,68,2,-1,0,management,single,tertiary,no,no,no,telephone,jul,unknown,0,no
5,63,19,71,0,-1,0,retired,single,primary,no,no,no,telephone,feb,unknown,0,no
6,1122,19,185,0,-1,0,housemaid,married,tertiary,no,no,yes,cellular,jul,unknown,0,no
7,195,21,26,3,0,0,housemaid,married,primary,no,no,yes,cellular,jul,unknown,0,no
8,646,28,928,6,-1,0,housemaid,married,secondary,no,no,yes,unknown,jul,unknown,0,yes
9,180,14,918,1,-1,0,housemaid,divorced,tertiary,no,no,no,cellular,dec,unknown,0,yes
10,1566,5,47,4,-1,0,admin.,single,secondary,no,yes,no,cellular,feb,unknown,0,no
11,10885,19,140,1,0,0,management,divorced,tertiary,no,no,no,cellular,aug,unknown,0,no
12,5712,5,112,3,0,0,management,married,tertiary,no,no,no,cellular,aug,unknown,0,no
13,365,4,115,1,97,3,management,married,tertiary,no,yes,no,cellular,feb,success,0,no
14,389,6,108,0,358,1,admin.,single,tertiary,no,no,no,cellular,may,failure,0,no
15,294,1,122,1,-1,0,management,single,tertiary,no,yes,no,cellular,dec,unknown,0,no
16,-224,7,147,2,-1,0,blue-collar,divorced,secondary,no,yes,no,unknown,may,unknown,0,no
17,469,1,59,0,0,0,admin.,married,primary,no,yes,no,unknown,mar,unknown,0,no
18,1713,12,109,1,364,4,management,single,tertiary,no,yes,no,cellular,may,failure,0,no
19,117,4,305,0,-1,0,self-employed,single,secondary,no,no,no,cellular,feb,unknown,0,yes
20,1425,5,120,5,0,0,admin.,divorced,tertiary,no,yes,no,unknown,may,unknown,0,no
21,1895,28,287,5,0,0,technician,married,tertiary,no,yes,no,cellular,may,unknown,0,no
22,2363,12,907,1,343,1,management,married,primary,no,yes,no,cellular,may,success,0,yes
23,548,12,1189,0,-1,0,student,single,secondary,no,yes,no,unknown,may,unknown,0,no
24,13497,19,419,1,0,0,unemployed,single,tertiary,no,yes,no,telephone,nov,unknown,0,no
25,916,18,8,1,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,0,no
26,1956,5,223,2,-1,0,admin.,married,unknown,no,yes,no,unknown,jun,unknown,0,yes
27,-60,6,66,2,-1,0,admin.,married,secondary,no,yes,no,cellular,jun,unknown,0,no
28,218,11,32,0,0,0,retired,married,primary,no,no,no,telephone,aug,unknown,0,no
29,2905,5,344,1,-1,0,blue-collar,single,primary,no,yes,no,unknown,jun,unknown,0,no
