age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
30,technician,married,tertiary,no,262,no,no,cellular,26,mar,157,4,0,0,unknown,no
29,admin.,married,tertiary,no,198,yes,no,cellular,11,may,154,0,349,1,failure,no
44,blue-collar,married,primary,no,171,yes,no,unknown,11,apr,1105,1,-1,0,unknown,yes
55,blue-collar,married,tertiary,no,579,yes,yes,cellular,11,may,142,1,0,0,unknown,no
54,management,single,unknown,no,2463,no,no,telephone,19,jun,225,2,-1,0,unknown,no
32,admin.,single,secondary,no,2867,yes,no,unknown,26,mar,127,1,0,0,unknown,no
25,self-employed,single,secondary,no,482,yes,no,cellular,5,feb,735,0,-1,0,unknown,yes
46,blue-collar,married,secondary,no,1509,yes,no,unknown,13,may,261,0,0,0,unknown,no
40,technician,married,secondary,yes,-7,no,yes,cellular,14,may,159,0,0,0,unknown,no
47,blue-collar,married,secondary,no,210,yes,no,cellular,15,nov,315,6,-1,0,unknown,no
36,services,single,secondary,no,-145,no,no,unknown,1,jun,83,0,0,0,unknown,no
25,self-employed,married,secondary,no,231,yes,no,unknown,13,may,99,0,0,0,unknown,no
31,technician,married,secondary,no,1788,yes,no,unknown,21,may,293,1,0,0,unknown,no
37,admin.,married,secondary,no,1164,no,no,cellular,6,may,40,1,0,0,unknown,no
82,retired,married,tertiary,no,1348,no,no,telephone,19,oct,518,1,-1,0,unknown,yes
40,unknown,married,tertiary,no,906,no,no,cellular,20,nov,131,1,0,0,unknown,no
36,blue-collar,married,secondary,no,6264,yes,no,cellular,19,aug,131,1,-1,0,unknown,no
55,blue-collar,single,primary,no,8527,yes,yes,unknown,14,may,123,1,0,0,unknown,no
71,retired,married,tertiary,no,275,no,no,telephone,5,may,301,0,-1,0,unknown,no
46,blue-collar,married,primary,no,11422,no,no,cellular,6,apr,360,1,-1,0,unknown,no
27,admin.,single,secondary,no,70,no,no,unknown,5,may,229,0,0,0,unknown,no
26,services,married,primary,no,1210,yes,no,cellular,14,jun,150,0,0,0,unknown,yes
30,technician,married,tertiary,no,171,no,no,cellular,11,aug,31,16,0,0,unknown,no
31,entrepreneur,married,secondary,no,54,no,yes,cellular,6,jul,999,0,-1,0,unknown,no
48,retired,married,primary,no,380,yes,yes,unknown,20,nov,57,2,164,2,other,no
46,blue-collar,single,secondary,no,132,yes,no,unknown,14,may,93,6,0,0,unknown,no
28,entrepreneur,divorced,secondary,no,-35,yes,no,cellular,1,jun,954,0,0,0,unknown,no
60,unknown,married,tertiary,no,6671,no,no,cellular,29,sep,290,0,187,1,success,yes
40,admin.,single,unknown,no,201,no,no,unknown,4,jun,53,0,0,0,unknown,no
41,services,married,secondary,no,1295,no,no,cellular,18,nov,124,1,0,0,unknown,no
45,management,married,secondary,no,5712,no,no,cellular,20,apr,68,11,0,0,unknown,no
29,technician,single,unknown,no,271,no,no,cellular,28,mar,52,2,-1,0,unknown,no
55,entrepreneur,married,secondary,no,17404,yes,yes,cellular,4,apr,152,5,281,2,failure,no
25,technician,married,secondary,no,103,yes,no,unknown,18,may,79,0,0,0,unknown,no
31,management,divorced,tertiary,no,54,yes,no,unknown,15,may,6,12,0,0,unknown,no
26,technician,single,tertiary,no,34,yes,no,cellular,2,may,107,2,0,0,unknown,no
27,technician,single,secondary,no,424,yes,no,cellular,14,may,255,5,0,0,unknown,no
39,admin.,married,unknown,no,204,yes,no,unknown,3,jun,54,0,0,0,unknown,no
47,management,divorced,tertiary,no,357,yes,yes,cellular,11,may,109,6,0,0,unknown,no
49,services,divorced,secondary,no,182,yes,yes,cellular,2,nov,178,1,0,0,unknown,no
