,balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,208,6,141,2,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
1,2331,18,130,1,0,0,retired,married,unknown,no,yes,yes,cellular,jun,unknown,0,yes
2,8700,5,108,1,0,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,0,no
3,182,19,157,1,0,0,retired,divorced,primary,no,yes,no,cellular,jul,unknown,0,no
4,31,5,381,1,0,0,blue-collar,married,primary,no,yes,no,cellular,may,unknown,0,yes
5,354,4,171,1,-1,0,blue-collar,married,secondary,no,no,no,cellular,aug,unknown,0,no
6,-313,3,119,0,-1,0,admin.,single,secondary,no,yes,no,unknown,jun,unknown,0,no
7,113,6,112,1,195,3,technician,married,secondary,no,yes,yes,cellular,nov,failure,0,no
8,-35,30,110,3,-1,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
9,503,3,281,2,-1,0,management,single,tertiary,no,yes,no,cellular,jul,unknown,0,no
10,352,4,137,1,0,0,technician,married,secondary,no,yes,yes,cellular,feb,unknown,0,no
11,830,3,139,1,-1,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,0,no
12,1246,11,90,1,-1,0,entrepreneur,married,secondary,no,no,no,unknown,aug,unknown,0,no
13,8538,26,125,1,0,0,admin.,single,primary,no,yes,yes,unknown,mar,unknown,0,no
14,2986,30,32,2,-1,0,admin.,single,secondary,no,no,no,cellular,jul,unknown,0,no
15,42,5,495,0,-1,0,technician,married,tertiary,no,yes,yes,unknown,may,unknown,0,no
16,35,4,157,0,0,0,services,married,secondary,no,yes,no,cellular,nov,unknown,0,no
17,530,7,123,0,-1,0,blue-collar,married,primary,no,no,no,unknown,jun,unknown,0,no
18,-310,28,161,3,0,0,management,married,tertiary,no,yes,no,cellular,jan,unknown,0,no
19,1501,26,88,2,-1,0,technician,married,secondary,no,yes,no,cellular,aug,unknown,0,no
20,3057,14,2304,2,-1,0,student,divorced,tertiary,no,no,no,cellular,feb,unknown,0,no
21,5335,8,349,1,-1,0,services,married,secondary,no,yes,no,cellular,may,unknown,0,no
22,1769,7,73,2,-1,0,blue-collar,single,primary,no,yes,no,cellular,may,unknown,0,no
23,-21,14,584,5,-1,0,technician,single,secondary,no,no,no,cellular,may,unknown,0,no
24,732,15,287,1,-1,0,blue-collar,married,secondary,no,no,no,unknown,may,unknown,0,no
25,161,11,250,4,0,0,admin.,divorced,secondary,no,yes,no,unknown,may,unknown,0,no
26,46,11,76,0,-1,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,0,no
27,-88,25,95,0,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,0,no
28,75,14,291,5,357,3,admin.,single,tertiary,no,no,no,cellular,may,success,0,no
29,351,5,144,1,0,0,admin.,single,secondary,no,no,no,unknown,jun,unknown,0,no
30,2239,22,538,3,-1,0,blue-collar,married,unknown,no,yes,no,unknown,may,unknown,0,no
31,199,30,23,6,-1,0,blue-collar,married,primary,no,yes,yes,telephone,jul,unknown,0,no
32,1662,10,48,2,0,0,unemployed,married,secondary,no,yes,no,cellular,jul,unknown,0,no
33,163,13,135,1,-1,0,admin.,single,primary,no,yes,no,cellular,may,unknown,0,no
34,602,26,83,3,0,0,technician,single,secondary,no,no,no,cellular,mar,unknown,0,no
35,-130,21,93,2,0,0,services,married,secondary,no,yes,no,cellular,jul,unknown,0,no
36,-216,4,167,2,-1,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,0,no
37,214,24,196,0,192,1,self-employed,single,tertiary,no,no,no,cellular,feb,failure,0,yes
38,-234,15,363,2,-1,0,management,single,secondary,no,yes,no,cellular,may,unknown,0,no
39,258,29,99,5,-1,0,technician,married,secondary,no,yes,yes,cellular,aug,unknown,0,no
40,562,20,194,0,189,0,blue-collar,divorced,secondary,no,yes,no,cellular,apr,other,0,no
41,1212,11,394,2,-1,0,blue-collar,divorced,tertiary,no,yes,no,unknown,may,unknown,0,no
42,98,6,25,1,-1,0,retired,married,primary,no,no,no,unknown,jun,unknown,0,no
43,735,6,60,0,-1,0,retired,married,primary,no,no,no,unknown,may,unknown,0,no
44,2171,2,189,1,-1,0,technician,married,tertiary,no,no,yes,unknown,jul,unknown,0,no
