age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,blue-collar,single,secondary,no,52006,no,no,telephone,18,may,2516,26,90,7,other,no
1,admin.,married,secondary,no,49849,no,no,cellular,25,aug,2483,25,66,3,failure,no
1,admin.,married,secondary,no,50360,no,no,telephone,26,oct,2492,25,59,2,failure,no
1,admin.,divorced,secondary,no,75611,no,no,cellular,23,aug,2534,26,377,47,success,no
1,blue-collar,single,tertiary,yes,51148,no,no,cellular,16,apr,2510,26,92,5,unknown,no
1,admin.,single,tertiary,yes,99240,yes,yes,cellular,16,feb,2583,26,758,53,success,yes
1,admin.,divorced,secondary,no,85624,no,no,cellular,25,jun,2521,26,698,55,success,yes
1,blue-collar,married,primary,no,67843,yes,yes,telephone,23,may,2507,26,154,7,unknown,yes
1,admin.,single,primary,no,52009,no,no,cellular,19,apr,2527,26,121,6,other,no
1,blue-collar,divorced,unknown,yes,97098,yes,yes,cellular,16,jan,2634,27,815,45,other,yes
1,admin.,married,secondary,no,49573,no,no,cellular,30,oct,2463,25,36,1,unknown,no
1,blue-collar,single,secondary,no,52546,no,no,unknown,17,may,2512,26,67,7,unknown,no
1,admin.,married,primary,yes,70098,no,no,unknown,16,jun,2487,25,93,13,unknown,no
1,blue-collar,single,secondary,no,89298,yes,no,cellular,20,aug,2578,26,400,44,other,no
1,blue-collar,divorced,secondary,yes,81041,yes,yes,unknown,16,aug,2577,26,842,53,other,no
1,blue-collar,married,secondary,no,51656,no,no,telephone,24,aug,2494,25,88,3,unknown,no
1,blue-collar,married,secondary,no,54397,no,no,cellular,29,jul,2511,26,76,4,unknown,no
1,admin.,divorced,primary,no,58770,no,no,cellular,16,aug,2575,26,852,23,other,no
1,blue-collar,married,primary,no,49567,no,no,telephone,22,aug,2482,25,94,3,unknown,no
1,blue-collar,single,secondary,no,54132,no,yes,cellular,17,jun,2468,25,136,11,unknown,no
1,blue-collar,married,secondary,no,51196,no,no,telephone,22,may,2472,25,66,4,unknown,yes
1,blue-collar,married,secondary,no,53216,no,no,telephone,24,aug,2506,26,71,4,other,no
1,blue-collar,single,primary,no,52158,no,no,cellular,17,nov,2518,26,110,5,unknown,yes
1,blue-collar,married,secondary,no,59525,no,no,cellular,17,apr,2505,25,58,6,unknown,yes
1,blue-collar,married,secondary,no,55407,yes,no,cellular,22,jun,2518,26,107,5,failure,no
1,management,single,tertiary,no,51369,no,no,telephone,22,may,2471,25,96,4,other,no
1,blue-collar,single,primary,no,50733,no,no,telephone,22,may,2486,25,82,2,unknown,no
1,blue-collar,married,secondary,no,53456,yes,no,cellular,20,may,2515,26,69,5,unknown,no
1,blue-collar,divorced,secondary,yes,102124,yes,yes,unknown,16,dec,3023,29,853,57,failure,yes
1,blue-collar,single,tertiary,no,51704,no,no,telephone,21,nov,2493,25,99,4,other,no
1,admin.,single,tertiary,no,50497,no,no,cellular,23,aug,2493,25,104,7,unknown,no
1,admin.,married,primary,no,50019,no,no,cellular,23,feb,2488,25,61,4,failure,no
1,blue-collar,single,secondary,no,93118,yes,no,telephone,24,jan,2592,27,163,13,failure,no
1,admin.,single,secondary,no,51165,no,no,telephone,24,apr,2508,26,97,17,other,no
1,blue-collar,single,secondary,no,55724,no,no,cellular,17,nov,2527,26,667,21,unknown,no
1,admin.,single,primary,no,49284,no,no,cellular,27,aug,2497,25,59,3,unknown,no
1,blue-collar,single,unknown,no,66454,no,no,cellular,20,aug,2505,26,161,15,success,no
1,retired,single,secondary,no,53266,no,no,cellular,16,aug,2514,26,93,9,unknown,no
0,blue-collar,divorced,primary,yes,102127,yes,yes,unknown,16,aug,3201,30,853,57,failure,yes
1,blue-collar,married,secondary,no,51685,no,no,cellular,21,aug,2497,25,102,4,unknown,no
1,blue-collar,married,secondary,no,52843,no,no,cellular,16,apr,2505,25,82,4,failure,no
1,blue-collar,married,secondary,no,52391,no,no,cellular,21,aug,2503,25,87,6,unknown,no
1,retired,single,primary,no,49528,no,no,cellular,28,aug,2475,25,44,1,success,no
1,admin.,divorced,primary,yes,69131,yes,yes,cellular,16,aug,2596,26,836,23,failure,no
1,admin.,single,secondary,no,53566,no,no,cellular,16,apr,2507,25,78,7,unknown,yes
1,admin.,married,secondary,no,49387,no,no,cellular,21,sep,2474,25,56,3,unknown,no
1,admin.,divorced,secondary,no,61285,no,yes,telephone,20,aug,2536,26,431,14,failure,no
1,admin.,single,secondary,no,51346,no,no,cellular,18,jun,2488,25,63,5,unknown,no
1,blue-collar,single,secondary,no,53444,no,no,cellular,27,nov,2471,25,141,6,success,no
1,blue-collar,divorced,primary,no,54757,no,no,cellular,23,nov,2517,26,99,6,other,no
1,retired,single,primary,no,50339,no,yes,cellular,30,aug,2492,25,50,1,success,no
1,blue-collar,single,secondary,no,55345,no,no,cellular,25,aug,2542,26,123,6,other,yes
1,blue-collar,married,secondary,no,56119,yes,no,cellular,18,may,2495,25,102,7,other,no
1,blue-collar,married,secondary,no,53746,no,yes,cellular,25,aug,2544,26,120,8,unknown,no
0,blue-collar,married,secondary,no,51956,no,no,unknown,19,may,2488,25,70,4,unknown,no
1,blue-collar,married,secondary,no,52638,no,no,cellular,18,aug,2510,26,84,4,failure,yes
1,blue-collar,single,tertiary,yes,52369,no,no,telephone,18,apr,2503,25,129,8,other,no
1,blue-collar,single,tertiary,no,51092,no,no,telephone,19,jun,2500,25,78,3,unknown,no
1,blue-collar,married,secondary,no,49144,no,no,cellular,30,jan,2500,25,43,3,unknown,no
1,admin.,single,secondary,no,49264,no,no,cellular,22,aug,2484,25,50,2,unknown,no
1,blue-collar,single,tertiary,no,50484,no,no,cellular,25,aug,2498,25,75,3,unknown,no
1,blue-collar,married,primary,no,50502,no,no,telephone,17,may,2476,25,54,3,failure,yes
1,blue-collar,single,secondary,no,51914,no,no,telephone,19,jul,2484,25,97,5,other,no
1,admin.,married,primary,no,51683,no,no,cellular,21,apr,2506,25,89,3,failure,no
1,admin.,married,secondary,no,51136,no,no,cellular,24,jun,2479,25,61,2,failure,no
1,blue-collar,married,secondary,no,61188,yes,no,cellular,23,aug,2547,26,396,9,other,no
1,admin.,single,secondary,no,48766,no,no,cellular,26,aug,2491,25,59,2,success,no
1,admin.,single,primary,no,51322,no,no,telephone,24,jun,2484,25,70,4,unknown,no
1,blue-collar,married,secondary,no,48795,no,no,telephone,27,may,2488,25,43,1,unknown,no
1,blue-collar,single,secondary,no,50603,no,no,cellular,26,mar,2502,25,65,3,success,no
1,blue-collar,single,secondary,no,51712,no,no,cellular,23,apr,2515,26,88,4,failure,no
1,admin.,single,secondary,no,53148,no,no,cellular,16,may,2502,25,77,5,unknown,no
0,blue-collar,married,secondary,no,53511,no,no,cellular,25,jun,2505,25,90,7,unknown,no
1,admin.,married,secondary,no,51779,no,no,cellular,19,apr,2483,25,59,5,failure,no
1,admin.,divorced,secondary,yes,61451,no,no,cellular,25,nov,2483,25,157,11,other,no
1,blue-collar,married,primary,yes,100932,yes,no,telephone,16,may,2573,26,234,33,other,yes
1,blue-collar,married,secondary,no,50628,no,no,telephone,19,may,2466,25,75,2,unknown,no
1,admin.,married,secondary,no,53493,no,no,cellular,21,jun,2474,25,89,4,failure,no
1,blue-collar,married,secondary,no,55463,no,no,telephone,24,jul,2538,26,75,7,success,yes
1,admin.,married,primary,no,50980,no,no,telephone,19,apr,2480,25,77,2,failure,no
1,admin.,married,secondary,no,51770,no,no,telephone,25,jul,2501,25,57,2,other,no
1,admin.,single,secondary,no,48445,no,no,cellular,30,aug,2473,25,34,2,success,no
1,admin.,single,secondary,no,52575,no,no,cellular,18,apr,2506,25,87,5,unknown,no
1,admin.,married,secondary,no,49441,no,no,telephone,17,apr,2483,25,49,2,failure,no
1,admin.,married,primary,no,49041,no,no,telephone,21,aug,2477,25,70,2,failure,no
1,admin.,divorced,secondary,no,53970,yes,no,cellular,22,aug,2527,26,79,4,unknown,yes
1,admin.,single,tertiary,no,51471,no,no,cellular,24,aug,2514,26,124,17,unknown,no
1,blue-collar,divorced,secondary,no,63774,yes,no,unknown,19,aug,2526,26,111,11,unknown,no
1,blue-collar,single,primary,no,49409,no,no,cellular,20,apr,2506,25,109,4,failure,no
1,admin.,single,secondary,no,51318,no,no,cellular,24,aug,2514,26,79,4,unknown,no
1,admin.,single,primary,no,52012,no,no,cellular,29,jul,2493,25,73,3,unknown,no
1,blue-collar,single,secondary,no,51905,no,no,unknown,16,may,2505,25,60,5,unknown,no
1,blue-collar,single,tertiary,yes,65317,no,no,telephone,16,nov,2469,25,343,49,other,no
1,blue-collar,single,primary,yes,102106,yes,yes,unknown,16,aug,2842,30,778,56,unknown,yes
1,blue-collar,married,secondary,no,50456,no,no,telephone,22,may,2471,25,69,3,unknown,no
0,blue-collar,single,secondary,no,50476,no,no,cellular,25,aug,2509,26,99,4,failure,no
1,admin.,divorced,primary,yes,102121,yes,yes,cellular,16,dec,2751,28,853,57,other,yes
1,admin.,single,primary,yes,101045,yes,no,cellular,16,aug,2688,27,817,47,other,no
1,admin.,single,secondary,no,74757,no,yes,cellular,24,aug,2520,26,192,48,success,no
1,blue-collar,single,tertiary,yes,61443,no,no,cellular,22,aug,2542,26,228,32,unknown,no
1,blue-collar,single,tertiary,no,65638,yes,yes,unknown,16,may,2539,26,181,12,unknown,yes
1,admin.,single,tertiary,no,52573,no,no,cellular,20,feb,2480,25,66,10,other,no
1,blue-collar,divorced,secondary,yes,78681,yes,no,cellular,21,may,2647,27,457,57,unknown,yes
1,retired,single,primary,no,48278,no,no,cellular,30,aug,2472,25,42,0,success,no
1,admin.,single,secondary,no,51113,no,no,cellular,19,apr,2502,25,61,5,unknown,no
1,admin.,single,tertiary,yes,84790,yes,no,unknown,16,nov,2564,26,507,22,other,no
1,admin.,married,secondary,no,53661,no,no,cellular,21,jun,2524,26,98,6,unknown,no
1,retired,married,secondary,no,51955,no,no,cellular,27,jul,2466,25,87,3,unknown,no
1,admin.,single,unknown,no,54205,no,no,cellular,23,sep,2490,25,134,10,other,no
1,blue-collar,married,secondary,no,53430,no,no,unknown,17,may,2495,25,705,17,other,yes
1,blue-collar,single,secondary,yes,101133,yes,no,cellular,16,aug,2596,26,791,49,other,yes
1,blue-collar,single,primary,no,48335,no,no,cellular,25,aug,2477,25,42,1,failure,no
1,admin.,married,primary,no,50898,no,no,cellular,20,jan,2489,25,74,3,failure,no
1,admin.,married,secondary,no,51326,no,no,cellular,26,aug,2496,25,64,4,unknown,no
1,admin.,married,secondary,no,48824,no,no,telephone,21,apr,2488,25,33,3,unknown,yes
1,blue-collar,divorced,secondary,yes,101347,yes,yes,unknown,16,nov,2557,26,597,57,success,no
1,blue-collar,single,primary,yes,101063,yes,yes,unknown,16,aug,2630,27,540,53,success,no
1,blue-collar,single,tertiary,no,52496,no,no,telephone,17,may,2503,25,86,5,other,no
1,admin.,single,secondary,no,48330,no,no,cellular,30,aug,2490,25,34,2,success,no
0,admin.,single,primary,no,83465,yes,no,unknown,16,aug,2554,26,65,10,failure,no
1,blue-collar,married,primary,no,50624,no,no,telephone,27,may,2483,25,78,4,other,no
1,retired,single,secondary,no,49869,no,no,cellular,23,aug,2499,25,82,4,success,no
1,admin.,married,secondary,no,50542,no,no,cellular,25,jun,2485,25,60,3,failure,no
1,admin.,single,secondary,no,50006,no,no,telephone,18,apr,2483,25,55,3,failure,no
1,blue-collar,married,primary,no,51257,no,no,telephone,18,may,2504,25,80,4,unknown,no
1,blue-collar,married,secondary,yes,66941,yes,no,telephone,16,apr,2558,26,196,38,other,yes
1,admin.,married,secondary,no,48655,no,no,cellular,24,aug,2492,25,58,2,unknown,no
1,admin.,married,primary,no,49928,no,no,cellular,24,aug,2505,25,74,3,failure,no
1,blue-collar,married,tertiary,no,50601,no,no,telephone,22,feb,2488,25,134,4,unknown,yes
1,admin.,single,secondary,no,53176,no,no,cellular,28,jun,2518,26,89,8,failure,no
1,blue-collar,single,secondary,no,51273,no,no,telephone,20,aug,2505,25,86,7,failure,no
1,blue-collar,married,secondary,yes,85139,yes,yes,cellular,16,aug,2577,26,515,51,success,yes
1,retired,single,secondary,no,48360,no,yes,cellular,30,aug,2475,25,52,1,success,no
1,blue-collar,married,secondary,no,80908,yes,no,cellular,24,jan,2517,26,264,45,other,yes
1,blue-collar,single,secondary,no,50804,no,no,telephone,17,may,2505,25,72,4,unknown,no
1,blue-collar,single,secondary,no,54806,no,yes,unknown,17,aug,2482,25,123,6,unknown,no
1,blue-collar,single,primary,no,50278,no,no,cellular,16,apr,2507,25,70,3,other,yes
1,blue-collar,single,unknown,yes,57191,no,no,cellular,19,apr,2527,26,119,5,unknown,no
1,admin.,married,secondary,no,53242,no,no,cellular,25,may,2523,26,117,7,unknown,no
0,admin.,single,tertiary,yes,75371,no,no,cellular,21,jan,2473,25,284,48,failure,no
1,admin.,single,secondary,no,56021,no,no,cellular,24,aug,2504,25,64,9,unknown,no
1,admin.,divorced,secondary,yes,101213,yes,yes,cellular,16,dec,2722,28,829,52,other,yes
1,blue-collar,single,secondary,no,52374,no,no,telephone,20,apr,2509,26,88,6,unknown,yes
1,admin.,single,tertiary,yes,101244,yes,yes,unknown,16,may,2613,26,353,38,other,yes
1,blue-collar,married,secondary,no,50978,no,no,telephone,16,apr,2493,25,52,2,failure,yes
