age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,management,divorced,tertiary,no,743.5701,yes,no,unknown,31.0,may,146.0,1.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,2436.5784,yes,no,unknown,21.0,may,469.27307,7.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,1370.0828,yes,no,cellular,28.0,jul,225.0,1.0,-1.0,0.0,unknown,yes
1,management,married,primary,no,0.0,yes,no,cellular,31.0,nov,78.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,662.13367,yes,no,unknown,21.0,jun,172.2757,6.0,-1.0,0.0,unknown,no
1,services,married,secondary,no,86.38677,yes,no,cellular,2.0,may,87.65741,1.0,-1.0,0.0,failure,no
1,technician,married,tertiary,no,1094.6033,no,yes,cellular,26.0,nov,210.0,1.0,177.74399,2.0,failure,no
1,entrepreneur,married,tertiary,no,401.0718,no,no,cellular,31.0,jan,163.90106,4.0,-1.0,0.0,other,no
1,technician,married,secondary,no,-8019.0,yes,yes,cellular,20.0,may,4918.0,1.0,-1.0,0.0,unknown,no
1,admin.,married,secondary,no,309.06915,yes,yes,cellular,12.0,apr,178.0,1.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,268.0,yes,no,unknown,3.0,jun,150.0,3.0,-1.0,0.0,unknown,no
1,admin.,married,primary,no,1430.6708,no,no,cellular,11.0,jul,96.0,50.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,1630.3866,yes,no,cellular,28.0,nov,150.0,2.0,-1.0,0.0,unknown,no
1,entrepreneur,married,tertiary,no,2049.164,no,no,cellular,2.0,aug,76.0,4.0,-1.0,0.0,unknown,no
1,admin.,single,unknown,no,785.3865,yes,no,unknown,17.059847,jun,240.0,5.0,-1.0,0.0,unknown,no
1,blue-collar,single,secondary,no,1117.4221,no,no,cellular,6.0,feb,120.0,1.0,-1.0,0.0,failure,yes
1,blue-collar,single,primary,yes,302.21625,no,yes,unknown,17.265976,may,150.0,3.0,-1.0,0.0,unknown,no
0,retired,married,tertiary,no,35.0,no,no,cellular,13.0,jul,154.0,3.0,-1.0,0.0,unknown,no
1,management,divorced,tertiary,no,715.2269,no,yes,unknown,11.0,may,4918.0,1.0,-1.0,0.0,unknown,yes
1,admin.,single,secondary,no,5009.83,no,no,telephone,17.0,may,455.8629,2.0,453.1526,0.0,other,yes
1,admin.,divorced,secondary,no,1950.1641,no,no,cellular,5.0,nov,156.0,1.0,-1.0,0.0,unknown,yes
1,technician,single,secondary,no,417.39917,yes,no,cellular,6.0,may,114.0,4.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,3774.7368,yes,no,cellular,16.0,apr,465.75043,1.0,854.0,58.0,failure,no
