age,age_cat,race,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex
24,Less than 25,Caucasian,0,3,0,0,1,-73.77923583984375,14.415891647338867,11.48638916015625,46.28422546386719,F,0,Female
46,25 - 45,Caucasian,0,5,0,0,0,100.86077880859375,5.968177795410156,-45.69032287597656,29.65848159790039,F,0,Female
39,25 - 45,African-American,0,7,0,0,6,188.3258056640625,10.49112319946289,-93.19273376464844,31.23505401611328,F,1,Male
34,25 - 45,African-American,0,8,0,0,1,290.50518798828125,10.243790626525879,-69.69461059570312,29.557863235473633,F,0,Male
25,25 - 45,Caucasian,0,1,0,0,5,-10.33709716796875,23.9332275390625,11.03582763671875,44.93109893798828,F,0,Female
29,Less than 25,African-American,0,5,0,0,0,57.02813720703125,6.316811561584473,-56.38093566894531,34.264015197753906,F,0,Male
24,25 - 45,Hispanic,0,1,0,0,0,-167.56063842773438,23.693443298339844,279.27154541015625,72.06279754638672,M,0,Male
80,Greater than 45,African-American,0,9,0,0,0,-195.06802368164062,3.4663729667663574,38.988494873046875,27.15323257446289,M,1,Male
43,Greater than 45,Hispanic,0,2,0,0,1,-74.26571655273438,8.699416160583496,54.884033203125,39.60854721069336,M,0,Female
21,Less than 25,Caucasian,0,2,0,0,3,-39.0780029296875,19.785261154174805,1.768035888671875,48.06385040283203,F,1,Male
45,Less than 25,African-American,0,9,0,0,0,246.27728271484375,7.666220664978027,-67.65139770507812,26.12053871154785,F,0,Male
28,25 - 45,African-American,0,2,0,0,14,-116.91839599609375,70.78876495361328,124.33575439453125,71.98574829101562,F,1,Male
26,25 - 45,Hispanic,0,2,0,0,0,-34.341217041015625,8.87502670288086,104.51678466796875,46.17930221557617,M,0,Male
49,25 - 45,African-American,0,6,0,0,1,-11.273956298828125,6.680540561676025,-63.69453430175781,31.20219612121582,F,0,Male
42,25 - 45,African-American,0,8,0,0,4,148.212158203125,8.609328269958496,-86.87141418457031,31.66132164001465,F,1,Male
48,25 - 45,African-American,0,9,0,0,1,177.26318359375,7.054243087768555,-61.62353515625,28.325748443603516,F,0,Male
23,25 - 45,Caucasian,0,1,0,0,2,-126.71438598632812,21.94287109375,166.263916015625,60.72946548461914,M,0,Male
31,25 - 45,African-American,0,3,0,0,13,-41.57415771484375,33.296661376953125,-0.383270263671875,50.77531814575195,F,1,Male
26,Less than 25,African-American,0,8,0,0,1,174.98077392578125,5.998979568481445,-74.01042175292969,30.924816131591797,F,1,Male
62,25 - 45,African-American,0,9,0,0,2,64.12557983398438,7.095989227294922,-91.49977111816406,26.656940460205078,F,1,Male
25,25 - 45,Other,0,1,0,0,2,-212.52664184570312,57.197357177734375,279.49957275390625,87.615966796875,M,0,Male
35,25 - 45,African-American,0,3,0,0,8,128.53021240234375,11.687313079833984,-84.03518676757812,32.39193344116211,F,1,Male
25,Greater than 45,Caucasian,0,1,0,0,3,-42.8968505859375,22.083492279052734,63.06390380859375,46.63230895996094,F,0,Male
25,Less than 25,Caucasian,0,2,0,0,2,97.4205322265625,11.536412239074707,-37.958648681640625,35.66564178466797,F,0,Male
29,25 - 45,Caucasian,0,2,0,0,6,132.42974853515625,13.7654390335083,-64.5914306640625,34.1230583190918,F,1,Male
31,25 - 45,Caucasian,0,1,0,0,6,80.31314086914062,20.94367790222168,-44.035736083984375,38.08432388305664,F,0,Male
29,Greater than 45,Caucasian,0,2,0,0,2,57.986968994140625,9.798258781433105,-22.473876953125,35.6558952331543,F,0,Male
19,Less than 25,Other,0,2,0,0,0,-214.19386291503906,76.04910278320312,404.06500244140625,110.77643585205078,M,1,Male
63,Greater than 45,Hispanic,0,5,0,0,0,-142.42303466796875,4.133035659790039,47.93548583984375,33.053428649902344,F,1,Male
25,25 - 45,Caucasian,0,1,0,0,10,45.353668212890625,19.851932525634766,-52.787017822265625,38.40068054199219,F,1,Male
22,Less than 25,Other,0,1,0,0,0,-252.7288360595703,51.80796813964844,420.98150634765625,96.48892211914062,M,0,Male
20,Less than 25,Other,0,1,0,0,0,-244.83078002929688,59.8086051940918,436.57818603515625,103.91130828857422,M,0,Male
26,25 - 45,Caucasian,0,2,0,0,8,82.28759765625,15.251192092895508,-44.58311462402344,37.141597747802734,F,1,Male
36,Less than 25,African-American,0,9,0,0,0,19.367218017578125,5.135015487670898,-60.95440673828125,31.54483985900879,M,1,Male
30,25 - 45,Caucasian,0,2,0,0,4,129.50433349609375,11.289188385009766,-64.11259460449219,33.25693130493164,F,0,Male
37,25 - 45,African-American,0,7,0,0,5,15.8321533203125,13.361023902893066,-70.14352416992188,38.35920715332031,F,1,Male
26,25 - 45,Caucasian,0,1,0,0,4,99.09503173828125,13.429330825805664,-41.1639404296875,35.77736282348633,F,0,Male
31,25 - 45,Caucasian,0,4,0,0,2,180.44134521484375,10.607681274414062,-67.01571655273438,32.73979187011719,F,0,Male
20,Less than 25,Other,0,1,0,0,0,-151.51370239257812,37.384334564208984,225.1925048828125,77.45333862304688,M,1,Male
24,25 - 45,Hispanic,0,2,0,0,1,-127.57083129882812,12.405120849609375,122.15570068359375,55.84156799316406,M,0,Female
22,Less than 25,Caucasian,0,2,0,0,1,81.10604858398438,9.56131362915039,-19.6529541015625,37.120521545410156,F,0,Male
23,25 - 45,Caucasian,0,1,0,0,9,-45.23736572265625,28.904705047607422,9.943206787109375,46.75581741333008,F,1,Male
35,25 - 45,African-American,0,4,0,0,12,136.8746337890625,17.16668128967285,-83.54881286621094,34.02085494995117,F,1,Male
