age,age_cat,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,c_charge_degree,two_year_recid,sex,race
25,25 - 45,0,4,0,0,1,371.80419921875,21.919815063476562,5016.07421875,63.245140075683594,F,0,Male,Other
20,Less than 25,0,2,0,4,4,185.21356201171875,20.269681930541992,-174.22039794921875,132.24884033203125,M,1,Male,Caucasian
24,25 - 45,0,2,0,0,0,-68.93603515625,8.946784019470215,13.0806884765625,26.248804092407227,M,0,Male,Caucasian
57,Greater than 45,0,9,0,0,2,-116.79513549804688,13.052177429199219,-152.5989532470703,64.76573944091797,F,1,Male,Other
45,25 - 45,0,8,0,0,2,-110.90435791015625,10.361032485961914,-145.90902709960938,54.58928298950195,F,1,Male,Other
70,Greater than 45,0,8,0,0,5,-68.81781005859375,15.87177848815918,-189.69223022460938,46.40750503540039,F,1,Male,Caucasian
50,25 - 45,0,9,0,0,1,-120.15792846679688,10.620763778686523,-130.189208984375,50.63980484008789,F,1,Male,Other
24,25 - 45,0,1,0,0,1,-60.87274169921875,2.893104314804077,-143.72145080566406,21.852663040161133,F,0,Female,Other
76,Greater than 45,0,8,0,0,2,-78.87832641601562,10.720052719116211,-155.80001831054688,42.7612419128418,F,1,Male,Caucasian
45,Greater than 45,0,7,0,0,8,40.745330810546875,18.34739875793457,-174.4773712158203,99.47256469726562,M,1,Male,Caucasian
37,25 - 45,0,5,0,0,2,-97.71005249023438,7.5421142578125,-128.0214080810547,34.07954788208008,F,1,Male,Other
60,Greater than 45,0,9,0,0,2,-118.07965087890625,12.094656944274902,-143.127685546875,72.52600860595703,F,1,Male,Other
25,25 - 45,0,1,0,0,0,-74.35089111328125,2.9746737480163574,-103.18452453613281,19.063236236572266,F,0,Female,Other
26,25 - 45,0,1,0,0,0,-70.61984252929688,3.1666736602783203,-115.27651977539062,20.015254974365234,F,0,Female,Other
44,25 - 45,0,7,0,0,2,-111.01675415039062,8.959471702575684,-135.13340759277344,48.284122467041016,F,1,Male,Other
77,Greater than 45,0,8,0,0,3,-82.82937622070312,11.115805625915527,-160.05177307128906,40.09282684326172,F,1,Male,Caucasian
43,25 - 45,0,7,0,0,2,-99.6419677734375,9.690631866455078,-103.31124877929688,51.07468032836914,F,1,Male,Other
24,25 - 45,0,1,0,0,0,-58.0762939453125,2.9423444271087646,-137.08851623535156,20.667457580566406,F,0,Female,Other
25,25 - 45,0,1,0,0,0,-65.48486328125,2.7992608547210693,-113.084228515625,19.773679733276367,F,0,Female,Other
42,25 - 45,0,7,0,0,2,-105.46932983398438,9.669695854187012,-148.26783752441406,45.34535217285156,F,1,Male,Other
22,25 - 45,0,1,0,0,1,-24.501312255859375,3.83073091506958,-158.1458740234375,20.287647247314453,F,0,Female,Other
25,25 - 45,0,1,0,0,1,242.64599609375,11.89471435546875,2550.86279296875,38.43354034423828,F,0,Male,Other
39,Greater than 45,0,7,0,0,9,11.892608642578125,17.14076805114746,-198.48471069335938,78.87921142578125,M,1,Male,Caucasian
19,Less than 25,0,2,0,4,4,195.8089599609375,21.08663558959961,-173.53878784179688,131.98097229003906,M,1,Male,Caucasian
20,Less than 25,0,2,0,0,0,-53.717376708984375,8.608285903930664,-90.48323059082031,27.248638153076172,M,0,Male,Other
26,25 - 45,0,3,0,0,0,60.330718994140625,10.851581573486328,610.9457397460938,30.522798538208008,M,0,Male,Caucasian
24,25 - 45,0,1,0,0,0,91.8931884765625,10.135157585144043,762.8184814453125,28.570266723632812,F,0,Female,Other
49,Greater than 45,0,6,0,0,1,358.36273193359375,14.98357105255127,4287.8408203125,66.79690551757812,M,0,Male,Caucasian
25,25 - 45,0,3,0,0,1,339.94403076171875,23.243059158325195,4042.21240234375,53.849605560302734,M,0,Male,Other
23,25 - 45,0,1,0,0,0,-43.89581298828125,3.965116500854492,-133.9531707763672,19.97922134399414,F,0,Female,Other
51,25 - 45,0,8,0,0,1,-120.74395751953125,10.436994552612305,-135.4888153076172,57.04376983642578,F,1,Male,Other
48,25 - 45,0,8,0,0,1,-121.57089233398438,9.688331604003906,-133.74755859375,47.94442367553711,F,1,Male,Other
71,Greater than 45,0,8,0,0,4,-87.85556030273438,14.901498794555664,-185.0009765625,42.30823516845703,F,1,Male,Caucasian
46,25 - 45,0,8,0,0,2,-112.04702758789062,10.059679985046387,-149.61741638183594,53.55658721923828,F,1,Male,Other
25,25 - 45,0,1,0,0,0,-63.818115234375,3.0406627655029297,-108.63204956054688,20.598793029785156,F,0,Female,Other
21,Less than 25,0,2,0,0,0,-66.52005004882812,8.040876388549805,-69.24992370605469,24.51291847229004,M,0,Male,Other
35,25 - 45,0,6,0,0,1,496.37152099609375,23.612449645996094,6128.72509765625,69.37104797363281,M,0,Male,Caucasian
26,25 - 45,0,1,0,0,0,-78.63336181640625,2.8093605041503906,-79.01632690429688,19.156375885009766,F,0,Female,Other
44,25 - 45,0,7,0,0,2,-114.92678833007812,9.117632865905762,-151.6613311767578,42.063941955566406,F,1,Male,Other
30,25 - 45,0,5,0,0,2,126.112060546875,11.520328521728516,1467.3896484375,49.895591735839844,F,1,Male,Other
94,Less than 25,8,7,12,6,35,797.3082275390625,601.9710693359375,7581.72509765625,7604.0,F,0,Male,Other
24,25 - 45,0,1,0,0,0,-53.645751953125,3.190934181213379,-136.12144470214844,20.58224868774414,F,0,Female,Other
28,25 - 45,0,4,0,0,3,-68.8260498046875,5.836523532867432,-166.31915283203125,33.11642837524414,F,1,Male,Other
31,25 - 45,0,4,0,0,1,188.705078125,10.794882774353027,1473.4232177734375,42.80950927734375,M,0,Male,Caucasian
23,25 - 45,0,2,0,0,0,120.08856201171875,12.872092247009277,1145.0574951171875,35.19881057739258,M,0,Male,Other
91,Less than 25,8,6,12,6,35,860.531982421875,601.9896240234375,7588.06201171875,7604.0,F,1,Male,Other
25,25 - 45,0,1,0,0,0,-54.839874267578125,3.745549201965332,-121.28436279296875,21.323060989379883,F,0,Female,Other
33,25 - 45,0,4,0,0,1,251.0072021484375,12.753844261169434,1945.001953125,48.048439025878906,M,0,Male,Caucasian
78,Greater than 45,0,8,0,0,2,-49.123138427734375,10.804695129394531,-53.95075988769531,48.20027160644531,F,1,Male,Caucasian
27,25 - 45,0,5,0,0,1,251.95159912109375,16.822254180908203,2831.4716796875,43.48347091674805,M,0,Male,Caucasian
27,25 - 45,0,1,0,0,0,35.2275390625,5.530822277069092,491.1343994140625,26.546579360961914,F,0,Female,Other
26,25 - 45,0,1,0,0,0,-68.24261474609375,3.2008004188537598,-111.64091491699219,20.16754150390625,F,0,Female,Other
22,25 - 45,0,2,0,0,0,-16.8787841796875,8.51945686340332,191.07913208007812,29.126157760620117,M,0,Male,Other
93,Less than 25,7,6,12,6,35,652.2421875,601.69140625,7518.43701171875,7603.998046875,F,0,Male,Other
76,Greater than 45,0,9,0,0,4,-93.62640380859375,13.892312049865723,-145.6092071533203,56.84502410888672,F,1,Male,Caucasian
28,25 - 45,0,4,0,0,1,255.03607177734375,13.857071876525879,3424.903076171875,55.07401657104492,F,0,Male,Other
72,Greater than 45,0,6,0,0,2,-8.73065185546875,9.522855758666992,-34.914459228515625,44.34121322631836,M,1,Male,Caucasian
25,25 - 45,0,1,0,0,0,-67.1331787109375,2.8374667167663574,-112.03260803222656,20.281755447387695,F,0,Female,Other
25,25 - 45,0,1,0,0,0,110.92767333984375,8.294588088989258,969.874267578125,29.871501922607422,F,0,Male,Other
39,Greater than 45,0,5,0,1,5,136.654052734375,21.443859100341797,-137.8177032470703,115.72846984863281,M,1,Male,Caucasian
44,25 - 45,0,7,0,0,2,-115.1409912109375,8.276724815368652,-146.44956970214844,39.30601501464844,F,1,Male,Other
55,Greater than 45,0,9,0,0,2,-118.3223876953125,12.12554931640625,-157.267822265625,63.8798942565918,F,1,Male,Other
25,25 - 45,0,1,0,0,0,-53.89227294921875,3.5475292205810547,-127.57884216308594,21.11933135986328,F,0,Female,Other
49,25 - 45,0,8,0,0,2,-117.60568237304688,10.338406562805176,-153.93582153320312,57.08365249633789,F,1,Male,Other
50,Greater than 45,0,5,0,0,1,255.9197998046875,11.930458068847656,2272.40283203125,63.061126708984375,M,0,Male,Caucasian
42,25 - 45,0,6,0,0,1,-113.090087890625,7.964535713195801,-137.22206115722656,36.55692672729492,F,1,Male,Other
22,25 - 45,0,1,0,0,0,-47.13690185546875,4.50375509262085,-126.10844421386719,23.90830421447754,M,0,Male,Other
24,25 - 45,0,3,0,0,1,228.43609619140625,18.054529190063477,2343.29638671875,43.755863189697266,M,0,Male,Other
54,25 - 45,0,9,0,0,1,-123.86456298828125,11.713766098022461,-145.75051879882812,63.72941970825195,F,1,Male,Other
20,Less than 25,0,3,0,5,5,206.26513671875,23.077817916870117,-175.34906005859375,149.7889862060547,M,1,Male,Caucasian
46,25 - 45,0,8,0,0,2,-113.43804931640625,10.347176551818848,-147.3090057373047,56.20166015625,F,1,Male,Other
23,Less than 25,0,3,0,0,0,-63.344482421875,9.257948875427246,-7.922515869140625,26.882198333740234,M,0,Male,Caucasian
19,Less than 25,0,3,0,5,5,207.1253662109375,22.15774917602539,-175.047119140625,144.80975341796875,M,1,Male,Caucasian
31,25 - 45,0,2,0,0,1,34.961181640625,6.975710868835449,695.5084228515625,36.11366271972656,F,1,Male,Other
20,Less than 25,0,2,0,3,3,158.26416015625,15.985605239868164,-159.85769653320312,113.28939056396484,F,1,Male,Caucasian
22,25 - 45,0,2,0,0,0,-30.307952880859375,8.884892463684082,132.49960327148438,26.916418075561523,M,0,Male,Other
23,25 - 45,0,1,0,0,1,-51.545562744140625,3.118691921234131,-163.50930786132812,22.710861206054688,F,0,Female,Other
23,25 - 45,0,1,0,0,1,-56.313232421875,3.196828842163086,-163.0215301513672,23.279895782470703,F,0,Female,Other
72,Greater than 45,0,8,0,0,4,-74.883056640625,14.574681282043457,-186.02294921875,44.543128967285156,F,1,Male,Caucasian
