age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
32,Private,207177,HS-grad,8,Never-married,Craft-repair,Not-in-family,White,Male,70399,3467,27,Canada,<=50K
43,Private,202876,11th,8,Never-married,Other-service,Not-in-family,White,Female,64852,3709,42,United-States,<=50K
43,Self-emp-not-inc,119918,Bachelors,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,94034,2437,43,Canada,>50K
33,State-gov,205454,Bachelors,12,Never-married,Exec-managerial,Not-in-family,White,Female,74415,3292,40,United-States,<=50K
26,Private,226503,HS-grad,8,Married-civ-spouse,Craft-repair,Husband,White,Male,68481,3550,36,Canada,<=50K
28,Private,166649,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Female,74587,3284,35,Canada,<=50K
40,Private,194146,HS-grad,9,Never-married,Machine-op-inspct,Not-in-family,Black,Male,64358,3730,37,Canada,<=50K
45,Private,188372,HS-grad,13,Never-married,Prof-specialty,Not-in-family,White,Female,87535,2720,63,United-States,>50K
31,Private,226091,Some-college,9,Never-married,Craft-repair,Own-child,White,Male,58203,3998,33,Canada,<=50K
39,Local-gov,215172,HS-grad,10,Never-married,Adm-clerical,Not-in-family,White,Male,72084,3393,44,United-States,<=50K
29,Private,179401,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,71921,3401,34,Canada,<=50K
30,Private,173402,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Female,77844,3143,39,United-States,<=50K
39,State-gov,197176,Some-college,10,Never-married,Adm-clerical,Unmarried,Black,Male,69978,3485,41,United-States,<=50K
45,Self-emp-not-inc,154745,HS-grad,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,92694,2496,41,Canada,>50K
48,Local-gov,262080,Some-college,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,70004,3484,33,United-States,<=50K
30,Private,325005,Some-college,8,Never-married,Adm-clerical,Own-child,Black,Male,68603,3545,31,Canada,<=50K
52,Local-gov,252310,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,73650,3325,39,United-States,>50K
28,Private,214671,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,71117,3436,31,United-States,<=50K
46,State-gov,236608,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,71046,3439,42,United-States,<=50K
57,Private,135527,HS-grad,13,Married-civ-spouse,Exec-managerial,Husband,White,Female,94365,2423,42,Canada,>50K
88,Self-emp-inc,1490400,Masters,10,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,Female,92599,2500,82,Cambodia,>50K
41,Local-gov,213662,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,74436,3291,37,United-States,>50K
56,Private,179403,HS-grad,14,Divorced,Exec-managerial,Not-in-family,White,Female,97170,2301,55,Canada,>50K
25,Private,268293,Some-college,7,Never-married,Adm-clerical,Own-child,White,Male,62923,3793,37,Canada,<=50K
26,Private,190969,HS-grad,10,Married-civ-spouse,Craft-repair,Husband,White,Female,74152,3303,27,Canada,<=50K
31,Private,230540,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Female,71376,3424,42,United-States,<=50K
38,Federal-gov,174582,Bachelors,11,Never-married,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,82182,2954,46,United-States,>50K
53,Self-emp-not-inc,84269,Some-college,9,Married-civ-spouse,Sales,Husband,White,Female,71949,3399,63,United-States,<=50K
30,Private,269659,Some-college,8,Never-married,Other-service,Not-in-family,White,Male,68717,3540,34,Canada,<=50K
29,Private,210439,Some-college,9,Never-married,Adm-clerical,Husband,Black,Male,70937,3443,29,Canada,<=50K
29,Private,195000,Some-college,9,Married-civ-spouse,Sales,Not-in-family,White,Male,75122,3261,37,United-States,<=50K
51,Private,228554,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,89230,2647,45,Canada,>50K
27,Private,267669,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,71986,3398,33,United-States,<=50K
39,Private,148885,HS-grad,7,Married-civ-spouse,Exec-managerial,Husband,White,Female,93500,2461,42,Canada,>50K
38,Local-gov,247382,Bachelors,12,Never-married,Adm-clerical,Not-in-family,White,Male,75903,3227,43,United-States,<=50K
30,Private,160169,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Female,73809,3318,32,Canada,<=50K
21,Private,271751,Some-college,9,Never-married,Adm-clerical,Own-child,White,Female,65767,3669,33,Canada,<=50K
43,Private,186535,Bachelors,11,Widowed,Sales,Unmarried,White,Female,77004,3179,40,United-States,<=50K
55,Private,164497,Some-college,9,Divorced,Adm-clerical,Not-in-family,Asian-Pac-Islander,Male,77181,3171,60,United-States,<=50K
27,Private,198954,Some-college,10,Never-married,Adm-clerical,Own-child,Black,Female,70607,3458,28,Canada,<=50K
46,Private,215186,Masters,13,Never-married,Prof-specialty,Not-in-family,White,Female,81487,2984,41,United-States,>50K
38,Private,176155,HS-grad,8,Widowed,Adm-clerical,Not-in-family,White,Male,69021,3527,43,United-States,<=50K
30,Private,203092,HS-grad,8,Never-married,Other-service,Own-child,White,Female,65341,3687,34,Canada,<=50K
34,State-gov,201084,Masters,13,Never-married,Adm-clerical,Not-in-family,White,Female,77065,3176,41,United-States,<=50K
31,Private,223174,HS-grad,9,Married-civ-spouse,Sales,Other-relative,White,Female,70969,3442,42,United-States,<=50K
30,Private,252739,HS-grad,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,71382,3424,42,Canada,<=50K
28,Private,222019,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Female,72100,3393,33,Canada,<=50K
31,Private,191244,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,61283,3864,39,Canada,<=50K
36,State-gov,170701,Some-college,9,Widowed,Other-service,Unmarried,White,Male,73603,3327,37,Canada,<=50K
29,Private,190636,Some-college,10,Divorced,Craft-repair,Own-child,White,Male,74455,3290,41,Canada,<=50K
42,State-gov,218625,Bachelors,13,Divorced,Prof-specialty,Not-in-family,White,Male,74478,3289,40,United-States,<=50K
89,Self-emp-inc,1490400,Bachelors,1,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,95079,2392,95,Cambodia,>50K
54,Private,166244,HS-grad,11,Married-civ-spouse,Exec-managerial,Husband,White,Female,90042,2611,42,Canada,>50K
58,Private,156697,HS-grad,5,Married-civ-spouse,Machine-op-inspct,Husband,Asian-Pac-Islander,Female,91850,2532,60,Canada,<=50K
37,Private,211627,HS-grad,8,Married-civ-spouse,Adm-clerical,Husband,White,Male,66810,3623,54,Canada,<=50K
53,Private,257499,7th-8th,5,Widowed,Other-service,Husband,White,Male,71246,3430,29,Canada,<=50K
37,Private,264645,Some-college,9,Never-married,Other-service,Own-child,White,Male,67775,3581,33,United-States,<=50K
44,State-gov,156078,Bachelors,14,Divorced,Prof-specialty,Unmarried,White,Male,89472,2636,47,United-States,>50K
33,Private,241705,Some-college,9,Never-married,Adm-clerical,Not-in-family,White,Male,71549,3417,31,United-States,<=50K
40,Private,167744,HS-grad,11,Married-civ-spouse,Other-service,Husband,White,Male,75839,3230,34,United-States,<=50K
43,Private,254773,Masters,11,Never-married,Adm-clerical,Not-in-family,White,Male,72450,3378,41,United-States,<=50K
22,Private,178896,Some-college,9,Never-married,Adm-clerical,Own-child,White,Male,64888,3707,29,Canada,<=50K
48,Local-gov,149680,Masters,12,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,Male,73742,3321,40,United-States,<=50K
42,Private,150441,Some-college,7,Never-married,Adm-clerical,Own-child,Black,Male,65385,3685,41,United-States,<=50K
31,Private,203014,Bachelors,11,Never-married,Other-service,Own-child,White,Female,72203,3388,38,Canada,<=50K
40,Private,174543,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,73108,3349,42,United-States,<=50K
26,Private,209935,HS-grad,10,Married-civ-spouse,Adm-clerical,Own-child,White,Female,72200,3388,35,Canada,<=50K
49,Local-gov,195996,HS-grad,10,Divorced,Exec-managerial,Unmarried,White,Female,72142,3391,48,United-States,<=50K
45,Private,138885,HS-grad,10,Married-civ-spouse,Sales,Husband,White,Male,91539,2546,33,Canada,>50K
32,Private,153165,Bachelors,12,Never-married,Prof-specialty,Not-in-family,White,Male,80637,3021,43,United-States,<=50K
26,Private,183633,Some-college,9,Widowed,Adm-clerical,Unmarried,Black,Female,70894,3445,33,Canada,<=50K
31,Private,205527,HS-grad,7,Married-civ-spouse,Adm-clerical,Husband,White,Male,85586,2805,42,United-States,>50K
48,State-gov,82499,HS-grad,10,Married-civ-spouse,Adm-clerical,Unmarried,White,Male,83401,2900,53,United-States,>50K
41,Private,168319,HS-grad,11,Divorced,Exec-managerial,Husband,White,Male,89979,2614,46,Canada,>50K
46,Private,227060,HS-grad,9,Divorced,Other-service,Own-child,White,Male,69490,3506,40,United-States,<=50K
80,State-gov,1483260,Masters,11,Divorced,Prof-specialty,Unmarried,White,Female,90811,2578,67,Cambodia,>50K
30,Private,194128,Some-college,11,Never-married,Adm-clerical,Own-child,White,Female,61831,3840,32,United-States,<=50K
55,Private,148693,HS-grad,12,Married-civ-spouse,Exec-managerial,Husband,White,Male,96757,2319,65,Canada,>50K
63,Federal-gov,133373,Some-college,8,Divorced,Sales,Not-in-family,White,Female,70341,3469,58,United-States,<=50K
28,Private,175632,11th,8,Never-married,Machine-op-inspct,Other-relative,White,Female,70054,3482,36,Canada,<=50K
23,Private,168769,Some-college,9,Married-civ-spouse,Craft-repair,Husband,White,Male,72892,3358,26,Canada,<=50K
28,Private,222400,HS-grad,9,Widowed,Adm-clerical,Unmarried,White,Male,67806,3580,33,Canada,<=50K
27,Private,179524,HS-grad,8,Married-civ-spouse,Adm-clerical,Other-relative,White,Female,76837,3186,48,Canada,<=50K
33,Private,261451,Some-college,9,Divorced,Adm-clerical,Not-in-family,White,Male,72114,3392,34,United-States,<=50K
53,Private,140606,HS-grad,10,Divorced,Exec-managerial,Unmarried,White,Male,83433,2899,51,United-States,>50K
39,State-gov,223275,Some-college,10,Married-civ-spouse,Adm-clerical,Not-in-family,White,Female,71879,3402,35,United-States,<=50K
33,Local-gov,177158,HS-grad,10,Married-civ-spouse,Other-service,Other-relative,Asian-Pac-Islander,Male,66429,3640,36,Canada,<=50K
60,Private,192767,HS-grad,10,Divorced,Exec-managerial,Not-in-family,White,Female,91982,2527,41,Canada,>50K
58,Private,164295,HS-grad,12,Divorced,Prof-specialty,Not-in-family,White,Female,91305,2556,41,Canada,>50K
47,Private,174288,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,87396,2726,40,United-States,>50K
26,Private,167916,HS-grad,9,Never-married,Machine-op-inspct,Own-child,Black,Male,65902,3663,34,Canada,<=50K
29,Private,173280,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,71606,3414,33,Canada,<=50K
32,Private,197662,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,71896,3402,37,Canada,<=50K
51,Private,118366,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,95384,2379,48,Canada,>50K
25,Private,163258,HS-grad,10,Married-civ-spouse,Other-service,Wife,White,Male,73959,3312,36,Canada,<=50K
42,Private,200968,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,70349,3469,42,United-States,<=50K
53,Private,195720,HS-grad,10,Divorced,Exec-managerial,Husband,White,Male,89700,2626,54,Canada,>50K
20,Private,175537,Some-college,10,Never-married,Other-service,Own-child,White,Male,70617,3457,25,Canada,<=50K
38,Private,226872,HS-grad,11,Never-married,Exec-managerial,Not-in-family,White,Male,71287,3428,47,United-States,<=50K
27,Private,155079,Some-college,11,Married-civ-spouse,Adm-clerical,Husband,White,Male,80971,3006,35,United-States,<=50K
52,Private,193430,HS-grad,10,Divorced,Exec-managerial,Unmarried,White,Male,86909,2748,44,Canada,>50K
33,Private,168783,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Female,73788,3319,31,Canada,<=50K
56,Federal-gov,113970,Masters,8,Widowed,Adm-clerical,Not-in-family,Black,Female,72393,3380,48,United-States,<=50K
55,Local-gov,118241,Some-college,8,Divorced,Adm-clerical,Unmarried,White,Male,69969,3486,55,United-States,<=50K
37,Private,194556,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Male,72029,3396,40,Canada,<=50K
43,Federal-gov,281251,Masters,12,Never-married,Adm-clerical,Not-in-family,White,Male,73176,3346,39,United-States,<=50K
31,Private,197947,Bachelors,11,Married-civ-spouse,Exec-managerial,Own-child,White,Male,73334,3339,35,Canada,<=50K
30,Private,157103,HS-grad,10,Married-civ-spouse,Exec-managerial,Husband,White,Female,78441,3117,41,United-States,>50K
30,Private,200991,Some-college,10,Married-civ-spouse,Craft-repair,Husband,White,Male,74854,3273,34,Canada,<=50K
