age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,admin.,single,secondary,no,50066,no,no,cellular,20,apr,2498,25,54,5,unknown,no
1,blue-collar,single,tertiary,yes,96532,no,no,cellular,16,aug,2520,26,712,29,failure,yes
1,admin.,married,secondary,no,55766,no,no,cellular,18,jul,2501,25,63,11,failure,no
1,blue-collar,married,secondary,no,51729,no,no,cellular,16,may,2497,25,417,1,other,yes
1,blue-collar,married,primary,no,48772,no,no,cellular,19,aug,2469,25,41,8,failure,no
1,blue-collar,single,secondary,no,51898,no,no,cellular,19,oct,2502,25,237,8,success,no
1,admin.,married,secondary,no,49352,no,no,cellular,19,oct,2473,25,27,8,unknown,yes
1,admin.,single,secondary,no,52677,no,yes,unknown,16,aug,2642,27,277,12,failure,yes
1,admin.,married,secondary,no,52494,no,no,cellular,20,may,2502,25,123,6,unknown,yes
1,admin.,married,secondary,no,100692,yes,no,unknown,16,may,2538,26,138,6,failure,no
1,blue-collar,married,secondary,no,61713,no,no,cellular,22,aug,2558,26,59,53,other,no
1,blue-collar,divorced,secondary,no,49567,no,no,cellular,26,mar,2482,25,100,3,unknown,no
1,blue-collar,single,secondary,no,49254,no,no,cellular,23,nov,2485,25,32,1,unknown,no
1,blue-collar,married,secondary,no,49243,no,no,cellular,24,aug,2495,25,154,2,failure,no
1,admin.,single,primary,no,50947,no,no,cellular,16,jul,2504,26,57,2,unknown,no
1,blue-collar,divorced,secondary,no,55624,no,yes,cellular,22,jul,2499,25,156,7,failure,no
1,blue-collar,married,secondary,no,47925,no,no,cellular,21,aug,2487,25,47,3,unknown,no
1,admin.,single,secondary,no,51618,yes,no,cellular,26,nov,2487,25,48,3,unknown,no
1,blue-collar,married,secondary,no,55927,no,no,cellular,19,jun,2500,25,847,14,failure,yes
1,blue-collar,married,primary,yes,102126,no,no,unknown,16,aug,2618,27,331,57,unknown,yes
1,blue-collar,married,secondary,no,85963,yes,yes,cellular,16,feb,2564,26,853,8,failure,no
1,admin.,single,secondary,yes,66801,no,no,cellular,16,aug,2504,25,145,13,success,no
1,blue-collar,single,secondary,no,49071,no,no,cellular,25,oct,2492,25,77,8,unknown,no
1,blue-collar,single,unknown,no,53018,no,no,cellular,23,oct,2502,25,87,8,unknown,no
1,blue-collar,married,secondary,no,48547,no,no,cellular,28,jun,2494,25,270,2,failure,no
1,blue-collar,single,secondary,no,59786,no,no,cellular,16,aug,2531,26,143,8,other,no
1,blue-collar,single,primary,no,49413,no,no,cellular,30,may,2499,25,57,5,other,no
1,admin.,single,secondary,yes,102101,yes,yes,telephone,16,aug,2617,26,844,46,other,yes
1,admin.,single,tertiary,no,50846,no,no,cellular,21,jul,2468,25,15,6,unknown,no
1,management,single,tertiary,no,53635,no,no,telephone,21,apr,2515,25,125,7,unknown,no
1,blue-collar,married,secondary,no,53765,no,yes,cellular,27,mar,2514,26,587,3,unknown,no
1,admin.,single,secondary,no,55065,no,no,cellular,22,may,2501,25,386,12,failure,no
1,blue-collar,divorced,secondary,yes,98524,no,yes,unknown,16,oct,2544,26,768,57,other,no
1,admin.,single,unknown,yes,91071,yes,no,unknown,16,aug,2538,26,444,17,unknown,no
1,admin.,single,tertiary,no,81953,yes,yes,cellular,18,may,2488,25,95,9,unknown,yes
1,blue-collar,married,secondary,no,51908,no,no,telephone,21,nov,2513,26,135,5,unknown,no
1,admin.,single,secondary,no,50475,yes,no,cellular,29,may,2495,25,31,3,other,no
1,blue-collar,single,secondary,no,64725,yes,yes,cellular,29,may,2513,26,128,12,unknown,yes
0,admin.,married,secondary,no,48361,no,no,cellular,28,nov,2505,26,23,1,unknown,yes
1,blue-collar,single,tertiary,yes,52710,no,no,cellular,21,mar,2492,25,52,5,unknown,yes
1,blue-collar,single,secondary,no,50778,no,no,cellular,18,aug,2481,25,30,6,other,no
1,admin.,married,secondary,no,79331,yes,no,cellular,18,jun,2563,26,335,3,unknown,no
1,admin.,married,secondary,no,50036,no,no,cellular,20,jul,2498,25,58,3,unknown,yes
1,technician,single,secondary,no,50421,no,no,telephone,17,aug,2498,25,78,3,other,no
