age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
20,178324,10,186,3,28,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,unpriv,unpref
31,428268,10,26,1,60,Self-emp-not-inc,12th,Separated,Machine-op-inspct,Unmarried,Asian-Pac-Islander,Outlying-US(Guam-USVI-etc),unpriv,>50K
58,77473,13,99999,0,41,Local-gov,Assoc-voc,Never-married,Craft-repair,Not-in-family,Black,France,unpriv,>50K
23,940130,5,0,1,46,State-gov,7th-8th,Married-civ-spouse,Tech-support,Husband,Asian-Pac-Islander,?,unpriv,unpref
27,13492,15,0,0,1,Local-gov,11th,Widowed,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Mexico,unpriv,>50K
22,557346,13,12,0,25,?,11th,Married-spouse-absent,Adm-clerical,Unmarried,Black,England,unpriv,unpref
32,188285,7,0,0,32,State-gov,10th,Married-spouse-absent,?,Wife,White,Dominican-Republic,unpriv,>50K
46,161348,14,99998,0,57,Private,11th,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Puerto-Rico,unpriv,>50K
66,1392538,9,0,0,13,Self-emp-inc,10th,Widowed,Exec-managerial,Not-in-family,Black,United-States,unpriv,unpref
55,30339,11,0,0,78,Self-emp-inc,Some-college,Married-civ-spouse,Adm-clerical,Other-relative,White,Cambodia,unpriv,unpref
64,567357,5,40,4,34,Private,Assoc-voc,Married-spouse-absent,Handlers-cleaners,Husband,Other,Mexico,unpriv,unpref
58,219954,11,24,89,32,Federal-gov,HS-grad,Divorced,Protective-serv,Not-in-family,Asian-Pac-Islander,Germany,unpriv,unpref
21,13493,5,99999,49,16,Self-emp-not-inc,7th-8th,Married-spouse-absent,Other-service,Not-in-family,Other,United-States,unpriv,>50K
53,706357,7,304,3,16,Private,Prof-school,Widowed,Machine-op-inspct,Other-relative,Amer-Indian-Eskimo,Thailand,unpriv,unpref
72,16080,6,99999,16,51,Private,Some-college,Widowed,Exec-managerial,Unmarried,White,Outlying-US(Guam-USVI-etc),unpriv,>50K
58,97401,11,99999,0,60,Self-emp-not-inc,Prof-school,Separated,Farming-fishing,Own-child,White,Peru,unpriv,unpref
34,51422,7,0,0,26,Federal-gov,Some-college,Married-spouse-absent,Farming-fishing,Own-child,Black,Philippines,unpriv,>50K
83,70595,10,24,0,25,Federal-gov,Masters,Separated,Armed-Forces,Unmarried,White,Nicaragua,unpriv,unpref
40,69049,10,2,0,45,Local-gov,HS-grad,Married-AF-spouse,Other-service,Wife,Amer-Indian-Eskimo,England,unpriv,unpref
62,95338,10,526,0,45,?,Assoc-acdm,Married-civ-spouse,Transport-moving,Unmarried,White,Thailand,unpriv,>50K
44,38828,9,0,0,66,State-gov,Bachelors,Divorced,Adm-clerical,Wife,Other,India,unpriv,unpref
32,94547,2,12,5,8,Never-worked,Doctorate,Divorced,Transport-moving,Husband,Amer-Indian-Eskimo,United-States,unpriv,unpref
81,16108,5,1,0,69,Never-worked,7th-8th,Married-civ-spouse,Other-service,Own-child,Black,Hungary,unpriv,unpref
48,284423,13,99999,12,53,State-gov,Doctorate,Separated,Prof-specialty,Husband,White,United-States,unpriv,>50K
50,199458,15,99999,26,68,Self-emp-inc,Prof-school,Divorced,Machine-op-inspct,Not-in-family,White,Taiwan,unpriv,>50K
18,779262,4,2,1,16,Local-gov,10th,Never-married,?,Other-relative,Black,Honduras,unpriv,unpref
57,83454,11,0,22,33,Private,Bachelors,Separated,Adm-clerical,Not-in-family,White,Columbia,unpriv,>50K
89,13492,9,0,0,84,Private,9th,Separated,Sales,Wife,Amer-Indian-Eskimo,France,unpriv,unpref
44,125090,14,2,2113,55,Self-emp-not-inc,Bachelors,Married-civ-spouse,Sales,Husband,White,England,unpriv,unpref
43,793010,13,10847,0,41,Self-emp-not-inc,Masters,Separated,Prof-specialty,Not-in-family,Other,Haiti,unpriv,unpref
27,215776,9,716,2,35,Local-gov,Some-college,Never-married,Protective-serv,Husband,White,South,unpriv,>50K
61,247263,2,2,1,26,Self-emp-inc,Preschool,Divorced,Sales,Unmarried,White,Portugal,unpriv,unpref
39,50993,10,77,0,56,Self-emp-inc,10th,Separated,Protective-serv,Unmarried,Other,Italy,unpriv,unpref
45,68803,4,0,0,14,State-gov,11th,Married-AF-spouse,Other-service,Husband,White,Japan,unpriv,unpref
37,69239,14,3,0,66,Private,Masters,Divorced,Sales,Other-relative,Asian-Pac-Islander,Vietnam,unpriv,unpref
54,98110,9,14,1734,35,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Wife,Black,United-States,unpriv,unpref
54,55319,9,74,0,20,?,HS-grad,Married-civ-spouse,Handlers-cleaners,Own-child,Other,Italy,unpriv,unpref
29,32250,15,99992,38,24,Private,Doctorate,Married-AF-spouse,Exec-managerial,Wife,Black,United-States,unpriv,>50K
33,195930,9,0,0,36,Local-gov,12th,Married-civ-spouse,Craft-repair,Not-in-family,White,Jamaica,unpriv,unpref
17,290599,7,0,0,31,Federal-gov,10th,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Haiti,unpriv,unpref
24,496004,9,16,1,26,Private,Assoc-acdm,Married-AF-spouse,Handlers-cleaners,Wife,Asian-Pac-Islander,Outlying-US(Guam-USVI-etc),unpriv,unpref
