age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
51,226252,8,0,1927,37,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Mexico,Male,unpref
17,286953,13,99998,1915,48,Local-gov,Assoc-voc,Married-AF-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Trinadad&Tobago,unpriv,>50K
62,217244,14,15048,0,96,Self-emp-inc,Masters,Never-married,Farming-fishing,Not-in-family,Black,El-Salvador,Male,>50K
18,280674,13,0,0,16,Self-emp-not-inc,Bachelors,Widowed,Exec-managerial,Other-relative,Amer-Indian-Eskimo,United-States,unpriv,unpref
55,404437,5,14786,1668,53,State-gov,Some-college,Divorced,Handlers-cleaners,Own-child,Other,India,unpriv,>50K
40,237076,2,0,0,48,?,7th-8th,Separated,Other-service,Unmarried,Black,Philippines,unpriv,unpref
62,362655,7,14571,1931,58,Federal-gov,10th,Married-spouse-absent,Exec-managerial,Unmarried,Asian-Pac-Islander,Cuba,Male,>50K
34,137916,14,4853,1927,39,State-gov,7th-8th,Married-spouse-absent,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,China,Male,unpref
40,44452,4,0,0,39,Local-gov,11th,Divorced,Adm-clerical,Not-in-family,White,Portugal,unpriv,unpref
50,198598,14,5192,1927,39,Federal-gov,5th-6th,Widowed,Craft-repair,Husband,Black,Greece,unpriv,>50K
20,149208,9,0,0,40,?,11th,Never-married,?,Own-child,Asian-Pac-Islander,United-States,Male,unpref
41,125217,15,5947,1926,39,?,Masters,Divorced,Other-service,Husband,Amer-Indian-Eskimo,?,Male,>50K
25,129862,9,0,0,39,Self-emp-not-inc,Assoc-acdm,Married-civ-spouse,Prof-specialty,Own-child,Black,South,Male,>50K
56,407967,10,2317,2238,50,Self-emp-not-inc,Some-college,Never-married,Adm-clerical,Wife,Black,Mexico,unpriv,unpref
42,115707,15,6455,1928,39,Local-gov,Prof-school,Married-spouse-absent,Sales,Other-relative,Black,Philippines,Male,>50K
17,96672,15,4788,1928,39,State-gov,Prof-school,Married-civ-spouse,Tech-support,Wife,White,United-States,unpriv,>50K
34,151311,15,0,0,49,Private,Doctorate,Divorced,Prof-specialty,Unmarried,Asian-Pac-Islander,?,unpriv,unpref
59,411115,12,14797,1927,40,Self-emp-inc,11th,Widowed,Exec-managerial,Wife,Other,Scotland,Male,>50K
46,268328,15,5746,1927,39,State-gov,Assoc-voc,Separated,Craft-repair,Other-relative,Asian-Pac-Islander,Laos,Male,unpref
16,287986,13,4449,1923,58,Self-emp-not-inc,Prof-school,Married-AF-spouse,Adm-clerical,Husband,Asian-Pac-Islander,Columbia,Male,>50K
30,370881,12,0,0,17,Self-emp-not-inc,Bachelors,Divorced,Handlers-cleaners,Unmarried,White,El-Salvador,Male,>50K
27,70135,10,0,0,39,Private,Masters,Never-married,Exec-managerial,Own-child,White,England,unpriv,>50K
27,242288,13,4209,1926,39,Federal-gov,Assoc-voc,Married-spouse-absent,Adm-clerical,Own-child,Other,Philippines,unpriv,unpref
61,416144,6,15211,2299,53,Self-emp-inc,Bachelors,Separated,Other-service,Own-child,Asian-Pac-Islander,Germany,Male,>50K
25,420372,10,0,0,40,Private,Some-college,Separated,Tech-support,Husband,Black,United-States,Male,>50K
47,6841,2,14789,2028,53,Local-gov,Bachelors,Never-married,Farming-fishing,Wife,Amer-Indian-Eskimo,India,unpriv,>50K
53,97001,12,4800,0,24,Federal-gov,Some-college,Married-civ-spouse,Protective-serv,Not-in-family,White,Guatemala,Male,>50K
15,29374,12,1234,0,42,?,HS-grad,Divorced,Exec-managerial,Not-in-family,Black,Puerto-Rico,Male,unpref
51,224212,13,5245,1926,40,Local-gov,5th-6th,Divorced,Craft-repair,Unmarried,Other,Mexico,Male,unpref
19,150475,13,3865,1883,40,Private,Masters,Widowed,Handlers-cleaners,Unmarried,Black,Italy,Male,unpref
48,6997,2,9531,0,41,Local-gov,HS-grad,Married-civ-spouse,Transport-moving,Own-child,Asian-Pac-Islander,Laos,unpriv,>50K
19,230749,12,8658,1942,39,Self-emp-inc,Bachelors,Never-married,Machine-op-inspct,Husband,White,?,unpriv,unpref
48,157721,8,14784,1927,40,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Unmarried,Black,Columbia,unpriv,>50K
29,276243,12,3528,1926,39,?,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,Asian-Pac-Islander,South,unpriv,unpref
22,126215,9,0,0,29,Private,HS-grad,Never-married,Other-service,Not-in-family,Other,United-States,unpriv,unpref
34,38558,13,0,1927,40,State-gov,Doctorate,Widowed,Prof-specialty,Husband,White,Germany,Male,>50K
53,260268,15,4498,1926,39,State-gov,10th,Divorced,Craft-repair,Wife,Amer-Indian-Eskimo,Philippines,unpriv,unpref
42,246764,12,0,0,91,Self-emp-not-inc,Masters,Married-civ-spouse,Transport-moving,Not-in-family,Asian-Pac-Islander,Mexico,Male,unpref
55,407032,12,14634,2767,52,Federal-gov,Bachelors,Divorced,Transport-moving,Wife,Asian-Pac-Islander,Mexico,unpriv,>50K
45,97186,10,3146,0,39,Self-emp-inc,Assoc-voc,Separated,Prof-specialty,Not-in-family,White,United-States,unpriv,>50K
27,16475,12,3594,0,40,Local-gov,Bachelors,Married-civ-spouse,Other-service,Husband,Black,Cuba,Male,unpref
54,373453,2,0,0,47,Self-emp-not-inc,Assoc-acdm,Widowed,Sales,Not-in-family,White,Cuba,Male,unpref
48,281654,15,6950,1925,39,Local-gov,Doctorate,Separated,Exec-managerial,Own-child,Amer-Indian-Eskimo,China,Male,>50K
50,337212,10,7736,1839,12,Self-emp-not-inc,11th,Separated,Craft-repair,Not-in-family,Black,India,Male,>50K
46,217292,12,3151,1919,55,Private,Bachelors,Married-spouse-absent,Tech-support,Not-in-family,White,Hong,Male,>50K
