age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
31,165094,12,768,6,47,Private,Some-college,Married-civ-spouse,Farming-fishing,Husband,White,United-States,Male,>50K
85,1213473,5,2,0,34,Local-gov,9th,Married-spouse-absent,Tech-support,Own-child,Asian-Pac-Islander,Haiti,unpriv,unpref
62,62349,13,99999,0,41,Self-emp-not-inc,Assoc-voc,Never-married,Priv-house-serv,Unmarried,Black,France,unpriv,>50K
47,13492,2,0,0,12,Without-pay,Assoc-acdm,Divorced,Transport-moving,Wife,Black,China,Male,unpref
37,41702,8,58,0,58,Self-emp-inc,10th,Separated,Protective-serv,Other-relative,Other,Italy,unpriv,unpref
77,74156,3,1778,1,5,?,5th-6th,Never-married,Adm-clerical,Not-in-family,White,Mexico,unpriv,unpref
17,587498,11,0,0,3,Private,Bachelors,Married-AF-spouse,Handlers-cleaners,Unmarried,Amer-Indian-Eskimo,Japan,unpriv,unpref
31,157060,14,99940,34,45,State-gov,Doctorate,Separated,Sales,Own-child,Amer-Indian-Eskimo,United-States,unpriv,>50K
25,13493,5,99999,3489,21,Self-emp-inc,7th-8th,Married-spouse-absent,Other-service,Unmarried,Other,United-States,Male,>50K
47,66273,10,0,3599,26,Private,HS-grad,Never-married,Other-service,Other-relative,Asian-Pac-Islander,Portugal,Male,unpref
42,160080,13,3019,2,53,Federal-gov,Masters,Divorced,Exec-managerial,Not-in-family,Asian-Pac-Islander,Vietnam,unpriv,>50K
47,55369,2,8,10,13,Never-worked,Doctorate,Widowed,Tech-support,Not-in-family,Amer-Indian-Eskimo,Trinadad&Tobago,Male,unpref
59,135136,12,99999,0,61,Federal-gov,Prof-school,Separated,Other-service,Husband,White,Peru,unpriv,unpref
32,188285,7,0,0,32,State-gov,10th,Married-spouse-absent,?,Wife,White,Dominican-Republic,unpriv,>50K
41,192438,10,4,0,32,Self-emp-not-inc,HS-grad,Married-civ-spouse,Handlers-cleaners,Own-child,Other,Peru,Male,unpref
24,98242,9,926,0,43,Local-gov,12th,Never-married,Sales,Not-in-family,Other,Puerto-Rico,Male,>50K
34,315841,10,28,1,47,State-gov,12th,Separated,Craft-repair,Unmarried,Asian-Pac-Islander,China,Male,unpref
68,913238,13,26,39,38,Private,Bachelors,Married-spouse-absent,Craft-repair,Not-in-family,Black,England,Male,>50K
68,373354,10,17,1,20,Private,Assoc-voc,Widowed,Exec-managerial,Wife,Other,United-States,unpriv,unpref
40,791252,5,0,3,18,Local-gov,7th-8th,Married-AF-spouse,Protective-serv,Not-in-family,Black,Hungary,unpriv,unpref
76,15897,7,0,0,38,State-gov,1st-4th,Divorced,Prof-specialty,Own-child,White,Vietnam,Male,unpref
45,61247,12,47,0,6,Federal-gov,Bachelors,Never-married,Farming-fishing,Own-child,Black,United-States,unpriv,unpref
24,587594,10,14,3,26,Self-emp-not-inc,Preschool,Married-AF-spouse,Sales,Wife,Asian-Pac-Islander,Outlying-US(Guam-USVI-etc),unpriv,unpref
51,215122,11,99999,4,37,Local-gov,HS-grad,Widowed,Prof-specialty,Not-in-family,White,United-States,unpriv,>50K
48,41821,10,0,0,65,Without-pay,Bachelors,Married-civ-spouse,Exec-managerial,Other-relative,White,Cambodia,unpriv,unpref
46,161348,14,99998,0,57,Private,11th,Married-civ-spouse,Prof-specialty,Wife,Asian-Pac-Islander,Puerto-Rico,unpriv,>50K
53,89033,14,0,12,62,Private,Some-college,Divorced,Tech-support,Other-relative,Black,Dominican-Republic,unpriv,unpref
22,13492,15,0,0,1,Local-gov,11th,Widowed,Priv-house-serv,Own-child,Amer-Indian-Eskimo,Mexico,unpriv,unpref
48,1175442,13,6,0,18,State-gov,Prof-school,Divorced,Transport-moving,Not-in-family,Amer-Indian-Eskimo,Nicaragua,Male,>50K
25,13492,10,0,0,58,?,Some-college,Separated,Transport-moving,Wife,Other,Taiwan,Male,>50K
45,720805,13,4940,1,48,Self-emp-not-inc,Assoc-acdm,Separated,Prof-specialty,Other-relative,White,Laos,Male,>50K
51,231176,10,54,0,47,Federal-gov,Masters,Widowed,Machine-op-inspct,Unmarried,White,Mexico,Male,unpref
24,146494,11,317,0,1,Federal-gov,Doctorate,Divorced,?,Other-relative,Other,Philippines,Male,unpref
45,266624,4,174,1374,28,Local-gov,10th,Married-civ-spouse,Sales,Husband,Asian-Pac-Islander,Mexico,Male,unpref
68,112401,12,24,0,30,Local-gov,Assoc-acdm,Never-married,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Cambodia,Male,unpref
71,409101,8,2,3,33,?,Masters,Married-civ-spouse,Protective-serv,Other-relative,Black,United-States,Male,unpref
35,49831,9,0,0,4,Private,Masters,Separated,Transport-moving,Own-child,White,Scotland,unpriv,>50K
33,597500,3,20,0,30,Self-emp-not-inc,7th-8th,Never-married,Craft-repair,Wife,White,United-States,Male,unpref
58,129093,8,0,0,31,Private,Some-college,Married-spouse-absent,Adm-clerical,Own-child,Amer-Indian-Eskimo,Columbia,Male,unpref
18,190614,6,3,0,45,Federal-gov,HS-grad,Married-civ-spouse,Tech-support,Wife,Amer-Indian-Eskimo,Germany,unpriv,unpref
25,282210,9,121,9,17,?,Some-college,Divorced,Other-service,Unmarried,White,India,unpriv,>50K
61,182838,14,99999,0,60,Self-emp-not-inc,Doctorate,Married-spouse-absent,Tech-support,Husband,Asian-Pac-Islander,United-States,Male,>50K
50,363629,13,99993,25,26,Self-emp-inc,Bachelors,Married-civ-spouse,Tech-support,Wife,White,Scotland,Male,>50K
31,187034,7,0,0,60,Private,7th-8th,Never-married,Other-service,Husband,Black,Columbia,unpriv,>50K
23,506706,8,9,0,17,Private,HS-grad,Widowed,Armed-Forces,Other-relative,Amer-Indian-Eskimo,Thailand,unpriv,>50K
30,103856,10,4,1,37,Self-emp-inc,Assoc-voc,Divorced,Other-service,Own-child,Asian-Pac-Islander,Laos,unpriv,unpref
51,72800,14,99998,13,61,Self-emp-not-inc,Prof-school,Divorced,Adm-clerical,Not-in-family,Black,United-States,unpriv,unpref
36,201714,10,90981,7,47,Private,Assoc-voc,Married-spouse-absent,Adm-clerical,Other-relative,White,Peru,unpriv,>50K
50,80404,15,71416,3,75,?,Doctorate,Separated,Farming-fishing,Unmarried,Black,Columbia,Male,>50K
29,214698,1,3,35,60,Private,5th-6th,Married-spouse-absent,Prof-specialty,Unmarried,Other,Ecuador,unpriv,unpref
21,366392,8,157,0,72,Self-emp-inc,HS-grad,Separated,Sales,Wife,Black,Iran,Male,unpref
28,84828,13,65,2,37,Private,Assoc-acdm,Married-AF-spouse,Tech-support,Not-in-family,White,Guatemala,Male,unpref
82,131211,5,17,2,30,Self-emp-not-inc,Preschool,Widowed,Priv-house-serv,Husband,White,Cuba,Male,>50K
23,249587,8,210,43,21,?,HS-grad,Never-married,?,Own-child,White,Italy,Male,>50K
27,212595,12,18,2448,33,Self-emp-inc,Bachelors,Never-married,Handlers-cleaners,Not-in-family,Asian-Pac-Islander,South,Male,>50K
43,133198,10,7,0,39,Private,Prof-school,Widowed,Protective-serv,Unmarried,Asian-Pac-Islander,England,Male,>50K
57,129682,6,0,2062,43,Self-emp-inc,12th,Widowed,Tech-support,Husband,White,United-States,unpriv,unpref
36,84792,10,0,0,53,State-gov,Bachelors,Never-married,Adm-clerical,Wife,Other,Yugoslavia,Male,unpref
84,13503,6,99999,186,29,Private,7th-8th,Married-civ-spouse,Exec-managerial,Unmarried,White,Outlying-US(Guam-USVI-etc),unpriv,>50K
22,557346,13,12,0,25,?,11th,Married-spouse-absent,Adm-clerical,Unmarried,Black,England,unpriv,unpref
48,254067,15,0,1853,30,State-gov,Doctorate,Married-civ-spouse,Prof-specialty,Husband,Black,Ecuador,Male,>50K
50,470626,2,147,5,26,Private,Preschool,Divorced,Machine-op-inspct,Wife,White,Jamaica,unpriv,unpref
64,110188,3,40,6,17,Private,9th,Married-civ-spouse,Transport-moving,Not-in-family,Black,Iran,unpriv,unpref
72,80005,1,45,3,13,Local-gov,12th,Separated,Priv-house-serv,Husband,Black,Hong,Male,unpref
68,203050,1,0,1,64,Local-gov,7th-8th,Married-civ-spouse,Tech-support,Unmarried,Other,Greece,Male,>50K
32,664369,11,3821,0,36,Self-emp-not-inc,Doctorate,Separated,Craft-repair,Not-in-family,Other,Haiti,unpriv,unpref
66,109927,1,39,58,25,Private,12th,Never-married,Transport-moving,Unmarried,White,Trinadad&Tobago,Male,unpref
45,44771,10,102,1,26,Local-gov,11th,Divorced,Transport-moving,Husband,White,Haiti,unpriv,unpref
69,24509,15,5437,3,83,Local-gov,Preschool,Separated,Farming-fishing,Not-in-family,White,France,Male,>50K
25,197920,9,11,5,69,Local-gov,Some-college,Married-civ-spouse,Craft-repair,Own-child,Black,Cambodia,Male,unpref
36,13617,13,1087,0,41,Local-gov,10th,Never-married,Other-service,Other-relative,White,Taiwan,unpriv,>50K
28,129617,4,10,2,8,Private,Preschool,Never-married,Priv-house-serv,Not-in-family,Amer-Indian-Eskimo,United-States,unpriv,unpref
41,361826,6,39,1,28,Self-emp-not-inc,5th-6th,Separated,Priv-house-serv,Unmarried,White,South,unpriv,unpref
36,227611,9,3,1224,41,Federal-gov,HS-grad,Widowed,Exec-managerial,Husband,Black,United-States,Male,>50K
30,171535,13,585,0,17,State-gov,7th-8th,Divorced,Farming-fishing,Wife,Asian-Pac-Islander,Canada,Male,unpref
61,792198,7,46,6,32,Private,HS-grad,Married-spouse-absent,Handlers-cleaners,Wife,Asian-Pac-Islander,Mexico,unpriv,unpref
21,307835,7,0,0,19,Private,10th,Married-AF-spouse,Machine-op-inspct,Unmarried,Black,United-States,Male,>50K
71,799298,6,6,5,14,Never-worked,7th-8th,Married-civ-spouse,Handlers-cleaners,Wife,Black,Guatemala,Male,unpref
38,94261,8,0,0,32,Self-emp-inc,10th,Divorced,Exec-managerial,Not-in-family,White,Greece,Male,unpref
