balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
-3510,18,90,1,0,0,admin.,divorced,secondary,yes,yes,no,cellular,nov,unknown,1,unpref
-4155,1,64,1,815,1,retired,married,primary,no,no,yes,telephone,jul,other,unpriv,yes
-1485,27,28,28,95,4,housemaid,single,tertiary,no,yes,yes,unknown,may,failure,unpriv,unpref
-4189,1,909,3,234,11,management,single,tertiary,yes,no,no,telephone,jun,success,1,yes
6647,30,95,1,0,0,unemployed,married,unknown,no,no,no,unknown,feb,unknown,1,yes
1945,1,1,1,8,58,entrepreneur,single,secondary,no,no,no,cellular,may,other,unpriv,unpref
7534,24,21,1,6,47,entrepreneur,married,unknown,no,yes,yes,telephone,dec,success,1,unpref
-3544,30,1656,1,126,17,housemaid,married,secondary,yes,no,yes,cellular,jan,failure,1,yes
2577,1,3,1,11,0,technician,divorced,primary,no,yes,no,telephone,oct,failure,1,yes
2811,17,301,8,0,0,management,divorced,tertiary,no,no,yes,cellular,aug,unknown,unpriv,yes
-4291,8,0,1,213,0,student,single,unknown,yes,no,yes,unknown,apr,other,1,unpref
-5842,2,0,5,0,0,self-employed,married,tertiary,yes,yes,no,unknown,jul,other,unpriv,unpref
900,17,50,1,267,0,blue-collar,single,secondary,no,yes,no,unknown,mar,success,1,yes
3180,8,778,1,356,0,blue-collar,married,unknown,no,yes,no,cellular,sep,failure,unpriv,unpref
4412,29,210,1,221,4,retired,divorced,primary,no,no,no,unknown,sep,success,unpriv,unpref
3078,10,247,1,0,0,technician,single,secondary,no,no,yes,telephone,nov,unknown,1,unpref
-4408,29,41,3,0,0,blue-collar,married,primary,yes,yes,yes,unknown,jun,unknown,1,yes
-5429,5,36,1,0,0,unknown,married,primary,yes,no,no,telephone,may,unknown,unpriv,unpref
1667,4,44,2,240,4,services,single,primary,no,yes,yes,cellular,feb,other,1,unpref
1245,2,11,48,0,0,services,married,tertiary,no,yes,no,telephone,apr,unknown,1,unpref
2062,30,251,1,225,0,technician,single,secondary,yes,no,no,unknown,aug,failure,unpriv,unpref
-1739,1,51,1,818,44,unemployed,married,tertiary,no,no,no,cellular,aug,success,1,unpref
2197,18,44,1,0,0,self-employed,divorced,unknown,no,no,no,telephone,jul,other,1,unpref
1405,26,91,1,237,1,management,divorced,secondary,yes,yes,yes,telephone,may,other,unpriv,unpref
-1632,24,9,1,99,0,self-employed,single,unknown,no,no,yes,cellular,oct,success,1,yes
-681,25,669,1,0,0,retired,single,unknown,no,yes,no,telephone,aug,unknown,unpriv,yes
-6558,6,9,1,124,1,technician,divorced,primary,yes,no,no,cellular,apr,other,unpriv,yes
-3376,30,106,1,228,0,admin.,married,secondary,no,no,no,telephone,jun,failure,unpriv,yes
1654,3,0,1,57,58,unemployed,single,primary,yes,yes,no,cellular,may,failure,1,unpref
1678,4,1977,1,0,0,unemployed,married,secondary,no,yes,yes,cellular,may,unknown,1,yes
-7775,30,9,1,0,0,entrepreneur,married,unknown,yes,yes,no,cellular,aug,other,1,yes
