age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
27,221969,13,99999,1921,58,Self-emp-inc,Masters,Never-married,?,Own-child,Asian-Pac-Islander,England,unpriv,>50K
62,46844,15,4460,1928,20,Local-gov,Doctorate,Separated,Prof-specialty,Unmarried,Black,India,unpriv,unpref
62,137566,13,0,1923,39,Self-emp-not-inc,Assoc-voc,Divorced,Adm-clerical,Wife,White,?,unpriv,>50K
57,169968,9,5066,1927,40,?,11th,Married-civ-spouse,Machine-op-inspct,Not-in-family,Other,Scotland,unpriv,unpref
58,181010,12,14872,1630,40,Self-emp-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,Black,Canada,unpriv,>50K
22,433497,9,0,0,28,Local-gov,HS-grad,Widowed,Protective-serv,Not-in-family,White,England,unpriv,>50K
24,115570,13,0,0,25,?,Bachelors,Never-married,Other-service,Own-child,White,Philippines,unpriv,unpref
28,400961,3,0,0,22,Private,11th,Married-spouse-absent,Other-service,Wife,Black,United-States,unpriv,unpref
20,137183,13,5297,1926,39,Federal-gov,5th-6th,Separated,Craft-repair,Not-in-family,Amer-Indian-Eskimo,Greece,unpriv,unpref
51,118289,9,4383,1927,39,Local-gov,Assoc-voc,Married-spouse-absent,Craft-repair,Other-relative,Asian-Pac-Islander,Philippines,unpriv,unpref
41,236746,12,4840,1926,40,Self-emp-not-inc,5th-6th,Married-spouse-absent,Exec-managerial,Own-child,Other,Japan,unpriv,unpref
16,143344,15,2352,1926,40,Private,Masters,Married-AF-spouse,Tech-support,Unmarried,White,Canada,unpriv,unpref
35,178783,10,0,0,47,Private,10th,Divorced,Exec-managerial,Unmarried,Amer-Indian-Eskimo,United-States,unpriv,>50K
51,123018,9,0,0,48,Self-emp-not-inc,HS-grad,Married-civ-spouse,Sales,Other-relative,White,United-States,unpriv,unpref
46,221402,9,0,0,8,Private,11th,Separated,Sales,Own-child,White,Haiti,unpriv,>50K
48,436464,13,6630,1926,39,State-gov,5th-6th,Widowed,Craft-repair,Other-relative,Black,South,unpriv,>50K
54,249323,14,5839,1927,39,Federal-gov,Masters,Divorced,Sales,Other-relative,Other,Philippines,unpriv,>50K
42,251472,13,4289,1926,39,Federal-gov,Assoc-voc,Married-civ-spouse,Prof-specialty,Own-child,Asian-Pac-Islander,Japan,unpriv,>50K
22,444298,3,0,0,16,?,10th,Never-married,?,Unmarried,Black,Mexico,unpriv,unpref
29,197426,13,0,0,10,Local-gov,Bachelors,Divorced,Prof-specialty,Not-in-family,Asian-Pac-Islander,United-States,unpriv,unpref
61,51256,9,0,0,39,Private,HS-grad,Widowed,Adm-clerical,Unmarried,Black,Philippines,unpriv,unpref
64,91901,12,0,0,9,State-gov,Bachelors,Widowed,Exec-managerial,Wife,White,China,unpriv,unpref
27,26144,3,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,Vietnam,unpriv,unpref
64,283185,3,0,0,35,Self-emp-not-inc,11th,Widowed,Farming-fishing,Not-in-family,Black,Mexico,unpriv,unpref
25,218570,14,0,0,39,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Wife,White,Peru,unpriv,unpref
53,186444,13,6230,1927,24,?,7th-8th,Widowed,Prof-specialty,Not-in-family,Amer-Indian-Eskimo,Columbia,unpriv,unpref
30,378685,9,0,0,10,Local-gov,Some-college,Married-civ-spouse,Other-service,Not-in-family,Black,?,unpriv,unpref
32,74900,10,0,0,49,State-gov,Some-college,Married-civ-spouse,Adm-clerical,Unmarried,Asian-Pac-Islander,United-States,unpriv,unpref
46,195272,15,6333,1927,39,Local-gov,11th,Widowed,Sales,Husband,Black,Philippines,unpriv,>50K
21,289337,13,5668,1926,58,Self-emp-inc,Prof-school,Married-civ-spouse,Tech-support,Wife,Asian-Pac-Islander,Philippines,unpriv,>50K
60,220099,9,0,0,39,Self-emp-not-inc,Masters,Divorced,Prof-specialty,Unmarried,Black,China,unpriv,>50K
64,209211,15,6390,0,40,State-gov,Masters,Never-married,Farming-fishing,Wife,Asian-Pac-Islander,Columbia,unpriv,>50K
50,219408,12,14701,1926,39,Self-emp-not-inc,Bachelors,Married-civ-spouse,?,Own-child,White,Portugal,unpriv,>50K
45,179536,14,7008,1927,48,Self-emp-inc,Doctorate,Divorced,Prof-specialty,Own-child,White,Honduras,unpriv,>50K
23,217685,16,0,0,40,Local-gov,Masters,Never-married,Adm-clerical,Own-child,Black,United-States,unpriv,unpref
18,108450,10,0,0,40,Private,Assoc-voc,Widowed,Sales,Own-child,Asian-Pac-Islander,United-States,unpriv,unpref
36,160810,8,0,0,40,Self-emp-not-inc,10th,Divorced,Machine-op-inspct,Not-in-family,White,Dominican-Republic,unpriv,unpref
46,217894,8,8256,1916,53,Private,HS-grad,Divorced,Transport-moving,Husband,White,Italy,unpriv,unpref
62,417532,4,5911,1927,40,Local-gov,11th,Divorced,Exec-managerial,Other-relative,Asian-Pac-Islander,Japan,unpriv,>50K
64,191577,15,5930,0,60,Self-emp-inc,Masters,Married-civ-spouse,Farming-fishing,Not-in-family,Amer-Indian-Eskimo,United-States,unpriv,>50K
27,393852,9,0,0,37,Federal-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,Black,Jamaica,unpriv,>50K
29,122128,13,4326,1927,8,State-gov,Assoc-voc,Married-spouse-absent,Prof-specialty,Husband,Black,Germany,unpriv,>50K
16,151209,10,4157,1926,39,Self-emp-not-inc,5th-6th,Never-married,Craft-repair,Husband,Black,Columbia,unpriv,unpref
45,284605,12,0,0,44,Private,Bachelors,Never-married,Prof-specialty,Husband,White,United-States,unpriv,>50K
42,99342,9,6981,1921,39,Private,Doctorate,Married-civ-spouse,Tech-support,Husband,Black,Germany,unpriv,unpref
51,254585,9,4501,1926,39,Federal-gov,Some-college,Married-spouse-absent,Exec-managerial,Other-relative,Black,Laos,unpriv,unpref
39,207162,9,4131,1920,49,Private,Masters,Married-civ-spouse,Handlers-cleaners,Other-relative,White,France,unpriv,>50K
51,186534,12,6230,1926,50,?,Bachelors,Married-civ-spouse,Other-service,Husband,Other,Greece,unpriv,>50K
50,158176,10,5438,1927,30,?,1st-4th,Married-AF-spouse,Other-service,Husband,Black,Canada,unpriv,unpref
36,125108,10,0,0,40,Local-gov,Some-college,Never-married,Prof-specialty,Wife,Black,Haiti,unpriv,>50K
53,260268,15,4498,1926,39,State-gov,10th,Divorced,Craft-repair,Wife,Amer-Indian-Eskimo,Philippines,unpriv,unpref
59,209355,8,0,0,40,Federal-gov,Masters,Widowed,Adm-clerical,Unmarried,White,United-States,unpriv,>50K
55,223121,8,0,0,24,Self-emp-not-inc,10th,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Mexico,unpriv,unpref
36,194958,13,4964,1926,39,?,Assoc-voc,Never-married,Adm-clerical,Not-in-family,Asian-Pac-Islander,South,unpriv,unpref
39,221229,2,0,0,7,Private,Assoc-acdm,Divorced,Sales,Unmarried,White,Mexico,unpriv,unpref
48,379064,4,0,0,46,Self-emp-not-inc,Masters,Never-married,Other-service,Other-relative,Black,Jamaica,unpriv,unpref
61,159396,12,0,0,40,Private,Bachelors,Separated,Machine-op-inspct,Other-relative,Black,United-States,unpriv,unpref
30,436316,2,0,0,7,State-gov,11th,Never-married,Prof-specialty,Own-child,White,Mexico,unpriv,unpref
45,147199,9,4860,1927,39,Federal-gov,Assoc-voc,Divorced,Prof-specialty,Not-in-family,Other,Canada,unpriv,unpref
51,162641,14,6606,1631,39,Local-gov,Masters,Widowed,Exec-managerial,Own-child,Amer-Indian-Eskimo,England,unpriv,>50K
46,94950,8,0,0,11,Federal-gov,HS-grad,Married-civ-spouse,Handlers-cleaners,Wife,White,Haiti,unpriv,>50K
30,30300,10,0,2271,11,Private,Some-college,Never-married,Other-service,Wife,Asian-Pac-Islander,Philippines,unpriv,unpref
32,105904,13,0,1927,40,State-gov,Masters,Widowed,Prof-specialty,Not-in-family,White,Ireland,unpriv,>50K
40,272160,12,5752,1926,40,State-gov,Bachelors,Married-spouse-absent,Prof-specialty,Own-child,Asian-Pac-Islander,Puerto-Rico,unpriv,unpref
41,264142,10,4857,1927,39,Federal-gov,Assoc-voc,Widowed,Craft-repair,Own-child,Black,Germany,unpriv,unpref
50,204655,8,0,1926,25,Private,11th,Married-civ-spouse,Other-service,Unmarried,White,El-Salvador,unpriv,unpref
48,260377,13,4963,1927,48,Local-gov,Assoc-voc,Divorced,Prof-specialty,Unmarried,Amer-Indian-Eskimo,Ecuador,unpriv,>50K
18,280674,13,0,0,16,Self-emp-not-inc,Bachelors,Widowed,Exec-managerial,Other-relative,Amer-Indian-Eskimo,United-States,unpriv,unpref
51,106076,7,5235,1927,40,Local-gov,Doctorate,Married-AF-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Japan,unpriv,unpref
30,360372,10,0,0,39,State-gov,Assoc-voc,Divorced,Exec-managerial,Husband,White,United-States,unpriv,unpref
62,142984,9,0,0,39,?,HS-grad,Divorced,Craft-repair,Not-in-family,Black,United-States,unpriv,unpref
32,401561,9,0,0,23,Local-gov,Some-college,Divorced,Handlers-cleaners,Own-child,White,Vietnam,unpriv,unpref
58,40442,16,0,0,40,Local-gov,Bachelors,Divorced,Exec-managerial,Unmarried,White,Germany,unpriv,>50K
25,239955,10,0,0,14,Private,9th,Married-civ-spouse,Adm-clerical,Wife,Black,Mexico,unpriv,unpref
56,103530,6,0,0,39,Local-gov,10th,Widowed,Other-service,Unmarried,White,Mexico,unpriv,unpref
58,249678,9,3708,1926,39,Local-gov,Prof-school,Married-spouse-absent,Adm-clerical,Unmarried,Black,Haiti,unpriv,unpref
51,367169,10,0,0,49,Private,Some-college,Married-civ-spouse,Exec-managerial,Own-child,White,Canada,unpriv,>50K
48,218736,15,6221,1918,22,Private,Prof-school,Never-married,Tech-support,Not-in-family,Black,Philippines,unpriv,unpref
41,160704,9,0,0,40,Local-gov,HS-grad,Never-married,Machine-op-inspct,Wife,Asian-Pac-Islander,United-States,unpriv,unpref
58,380717,8,0,0,30,Self-emp-not-inc,Assoc-acdm,Never-married,Sales,Wife,White,Columbia,unpriv,>50K
20,81317,13,5643,0,16,Self-emp-not-inc,Bachelors,Never-married,Farming-fishing,Not-in-family,White,Germany,unpriv,>50K
17,193574,10,4149,1927,39,?,Some-college,Never-married,Sales,Husband,Black,Germany,unpriv,>50K
48,428963,12,0,0,10,Federal-gov,Bachelors,Divorced,Protective-serv,Not-in-family,White,Portugal,unpriv,>50K
35,49933,12,0,0,15,State-gov,Prof-school,Never-married,Prof-specialty,Unmarried,Black,United-States,unpriv,unpref
62,278095,9,0,0,10,?,Masters,Married-civ-spouse,Exec-managerial,Not-in-family,White,?,unpriv,unpref
20,273832,9,0,0,45,Private,HS-grad,Married-spouse-absent,Exec-managerial,Other-relative,Other,United-States,unpriv,unpref
76,110607,6,0,0,11,?,7th-8th,Divorced,Other-service,Unmarried,White,United-States,unpriv,unpref
48,22691,13,0,0,39,State-gov,11th,Married-civ-spouse,Farming-fishing,Husband,White,Philippines,unpriv,unpref
39,180858,13,5867,0,32,State-gov,Masters,Divorced,?,Not-in-family,Black,El-Salvador,unpriv,>50K
22,431521,8,0,0,7,?,Assoc-voc,Divorced,?,Not-in-family,White,Mexico,unpriv,unpref
53,423660,8,0,0,39,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,Black,Mexico,unpriv,>50K
59,201283,9,5115,1927,39,Federal-gov,Masters,Divorced,Prof-specialty,Husband,Asian-Pac-Islander,England,unpriv,>50K
41,222712,12,4329,1926,39,?,5th-6th,Married-civ-spouse,Adm-clerical,Own-child,Black,Puerto-Rico,unpriv,>50K
25,218433,9,0,0,39,Private,Prof-school,Never-married,Craft-repair,Unmarried,White,Jamaica,unpriv,>50K
53,201133,13,6101,1927,31,State-gov,Assoc-acdm,Divorced,Adm-clerical,Unmarried,Black,Columbia,unpriv,unpref
28,151062,9,0,0,40,Self-emp-not-inc,Some-college,Married-civ-spouse,Other-service,Husband,White,Puerto-Rico,unpriv,unpref
37,170663,6,0,0,40,Private,Masters,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,United-States,unpriv,>50K
25,15319,8,3592,0,23,Private,HS-grad,Never-married,Handlers-cleaners,Own-child,White,El-Salvador,unpriv,unpref
36,364881,12,0,0,21,Private,Bachelors,Married-civ-spouse,Sales,Wife,White,?,unpriv,>50K
28,263369,15,4137,1926,39,Federal-gov,Masters,Widowed,Exec-managerial,Husband,Black,Greece,unpriv,unpref
62,188146,12,0,0,26,Private,Assoc-acdm,Widowed,Exec-managerial,Not-in-family,White,United-States,unpriv,>50K
56,153052,7,0,0,24,?,11th,Married-civ-spouse,Adm-clerical,Wife,White,United-States,unpriv,unpref
29,166759,9,0,0,40,Private,HS-grad,Separated,Machine-op-inspct,Unmarried,White,Vietnam,unpriv,unpref
37,152544,9,5618,1927,19,Private,Assoc-voc,Divorced,Craft-repair,Husband,Black,Laos,unpriv,unpref
23,206259,10,0,0,16,Local-gov,Some-college,Never-married,Sales,Other-relative,Amer-Indian-Eskimo,United-States,unpriv,unpref
39,191832,10,5577,0,23,Private,Assoc-acdm,Separated,Adm-clerical,Husband,Black,?,unpriv,unpref
32,201807,13,0,0,47,Self-emp-inc,Bachelors,Divorced,Exec-managerial,Own-child,Other,United-States,unpriv,>50K
30,217892,14,2947,1930,40,Private,Masters,Divorced,Handlers-cleaners,Unmarried,Other,?,unpriv,unpref
48,123216,8,14938,0,8,Federal-gov,HS-grad,Married-civ-spouse,Protective-serv,Unmarried,Black,Portugal,unpriv,>50K
24,165533,12,0,0,44,Private,Bachelors,Never-married,Sales,Not-in-family,Asian-Pac-Islander,Nicaragua,unpriv,unpref
48,426772,12,14679,1926,40,Federal-gov,Bachelors,Married-civ-spouse,Exec-managerial,Own-child,Black,Ireland,unpriv,>50K
