balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
-7919,30,0,1,0,0,technician,single,secondary,yes,no,yes,unknown,jul,unknown,unpriv,yes
2073,23,61,1,609,0,retired,married,primary,no,no,no,telephone,mar,success,unpriv,yes
21255,26,0,1,853,0,admin.,divorced,secondary,yes,yes,no,telephone,sep,failure,unpriv,unpref
3291,1,0,1,157,58,unemployed,single,primary,yes,no,no,cellular,may,failure,unpriv,unpref
993,19,342,1,8,0,retired,married,secondary,no,yes,yes,cellular,nov,unknown,unpriv,unpref
-4006,3,47,1,617,1,entrepreneur,single,tertiary,no,no,yes,cellular,sep,success,unpriv,unpref
-7923,30,104,1,3,0,services,divorced,unknown,yes,yes,no,cellular,aug,success,unpriv,yes
2030,22,105,1,559,2,services,single,tertiary,no,yes,no,unknown,aug,failure,unpriv,unpref
13139,2,237,1,0,0,housemaid,divorced,primary,no,yes,yes,telephone,aug,unknown,unpriv,yes
-2961,1,506,2,0,0,services,single,secondary,no,no,no,telephone,nov,unknown,unpriv,yes
11854,2,0,1,6,0,admin.,married,tertiary,no,no,no,unknown,may,unknown,unpriv,unpref
-5696,11,38,1,188,46,blue-collar,married,secondary,no,yes,no,telephone,apr,other,unpriv,unpref
12217,15,4371,1,0,0,student,single,unknown,no,yes,yes,unknown,dec,unknown,unpriv,unpref
-6832,1,0,1,836,0,unknown,married,secondary,no,no,yes,telephone,jul,failure,unpriv,yes
-4212,8,0,13,575,0,self-employed,married,tertiary,yes,yes,yes,unknown,jul,other,unpriv,unpref
-2952,26,696,1,11,13,management,divorced,tertiary,yes,no,yes,cellular,jun,other,unpriv,yes
9591,18,91,1,386,0,unemployed,divorced,unknown,no,no,no,cellular,sep,other,unpriv,yes
-5163,1,30,1,0,0,housemaid,married,secondary,yes,no,no,unknown,nov,other,unpriv,unpref
-2285,27,34,1,0,1,blue-collar,married,primary,yes,no,yes,telephone,jan,unknown,unpriv,yes
33305,18,75,28,303,35,retired,divorced,primary,no,no,yes,telephone,may,failure,unpriv,unpref
555,3,228,1,0,0,entrepreneur,divorced,secondary,no,no,yes,unknown,jun,unknown,unpriv,unpref
9986,28,219,2,137,43,management,married,tertiary,no,no,no,cellular,jul,failure,unpriv,yes
2619,5,0,1,9,0,student,married,primary,no,yes,no,unknown,dec,other,unpriv,yes
3324,4,688,1,0,0,blue-collar,single,primary,no,yes,no,cellular,feb,unknown,unpriv,yes
-1835,4,216,3,2,0,retired,divorced,tertiary,no,yes,no,telephone,nov,failure,unpriv,yes
-693,1,25,1,0,0,unknown,divorced,unknown,yes,no,no,unknown,mar,unknown,unpriv,unpref
6590,30,86,1,9,0,services,married,secondary,no,no,no,cellular,jan,success,unpriv,unpref
1242,2,65,1,2,58,entrepreneur,single,secondary,no,no,no,cellular,jul,other,unpriv,unpref
-6907,30,7,1,34,10,self-employed,single,tertiary,no,yes,yes,cellular,may,failure,unpriv,yes
-6719,29,273,2,0,0,unemployed,single,secondary,yes,yes,no,unknown,may,success,unpriv,yes
2371,8,319,16,447,32,student,divorced,secondary,no,no,no,telephone,feb,success,unpriv,unpref
