age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
53,0,7,0,0,28,-1.714935302734375,58.67372131347656,29.20419311523437,58.76084518432617,Female,Greater than 45,F,Caucasian,unpref
54,0,3,0,0,1,29.34286499023437,-0.9985471367836001,7462.82275390625,7602.83056640625,Male,Less than 25,M,Caucasian,unpref
21,0,9,0,5,4,-149.73162841796875,-0.37685579061508173,-106.79093933105467,2.073317527770996,Male,Less than 25,F,Caucasian,0
39,0,1,0,0,19,920.571533203125,10.322029113769531,1091.2120361328125,27.507434844970703,Male,25 - 45,F,Caucasian,unpref
48,0,7,0,0,4,791.920654296875,15.793825149536133,1502.6907958984375,236.0074005126953,Male,Greater than 45,M,Caucasian,unpref
57,0,6,0,0,2,-55.660675048828125,11.798004150390625,6092.56494140625,7172.111328125,Male,Greater than 45,F,Caucasian,unpref
20,0,8,0,0,0,934.97119140625,-0.9972954392433168,-200.32135009765625,0.0,Female,25 - 45,M,Caucasian,unpref
19,0,2,0,0,0,371.24896240234375,-0.7219890356063843,157.01547241210938,0.6619478464126587,Male,Less than 25,M,Caucasian,0
24,0,5,1,3,0,987.2845458984376,0.6352758407592773,2875.198974609375,0.0174494981765747,Female,Greater than 45,F,Caucasian,0
30,0,1,0,0,0,-1.914642333984375,0.10857939720153799,28.05743408203125,1.7440433502197266,Female,25 - 45,F,Caucasian,unpref
19,0,9,0,4,0,12.026519775390623,3.744425296783447,-44.03385925292969,0.0006798505783081,Female,Less than 25,F,Caucasian,unpref
48,0,1,0,0,0,-153.30142211914062,2.366596937179565,-4.33447265625,6.577780723571777,Female,25 - 45,M,Caucasian,0
23,0,8,0,0,0,0.60418701171875,264.8726806640625,-14.601593017578123,14.765447616577148,Male,25 - 45,F,Caucasian,0
82,0,1,0,4,0,-7.201995849609375,-0.9865666031837464,-78.39076232910156,7.234743118286133,Male,Greater than 45,M,Caucasian,0
28,0,9,0,0,2,1.089080810546875,281.2991943359375,48.078460693359375,76.14144897460938,Male,25 - 45,M,Caucasian,unpref
47,0,6,0,0,2,-4.842041015625,0.8789768218994141,75.80123901367188,1.058074116706848,Female,Greater than 45,M,Caucasian,unpref
21,0,4,0,2,5,13.199432373046877,0.4635026454925537,-41.62203979492188,0.2025954723358154,Female,Less than 25,M,Caucasian,0
25,0,7,0,0,0,579.2689208984375,38.65786743164063,769.825927734375,0.1133084297180175,Male,Greater than 45,F,Caucasian,0
30,0,1,0,0,0,70.39642333984375,5.575502395629883,48.34625244140625,0.052121877670288,Male,Less than 25,F,Caucasian,unpref
47,0,6,0,0,1,-78.11810302734375,23.13483047485352,4524.64306640625,6160.048828125,Male,25 - 45,F,Caucasian,unpref
27,0,8,0,5,4,-218.5773162841797,-0.7165799140930176,-107.48503112792967,1.7943522930145264,Female,25 - 45,F,Caucasian,0
51,0,7,0,0,29,-1.354888916015625,32.10297393798828,-40.7974853515625,1.9087938070297237,Male,Greater than 45,F,Caucasian,unpref
20,0,5,0,6,1,42.77194213867188,-0.8772889375686644,76.68447875976562,0.0,Male,Less than 25,M,Caucasian,unpref
77,0,1,0,0,0,-15.143035888671877,-0.9957308173179626,-27.994415283203125,7.697721481323242,Female,Greater than 45,F,Caucasian,0
28,0,6,0,0,1,842.5838623046875,69.35745239257812,1508.261474609375,9.596997261047363,Male,Less than 25,F,Caucasian,0
30,0,9,1,3,19,8.4454345703125,-0.1467446088790893,31.76321411132813,5.079617023468018,Male,25 - 45,F,Caucasian,unpref
50,0,1,0,0,5,-280.10272216796875,5.5859856605529785,-128.26541137695312,19.528255462646484,Male,Greater than 45,M,Caucasian,unpref
23,0,8,0,0,0,-12.76177978515625,41.78293228149414,-8.90606689453125,1.4451357126235962,Female,Less than 25,F,Caucasian,0
23,0,9,0,0,0,813.485107421875,-0.9781399965286256,-207.89663696289065,0.0006798505783081,Female,25 - 45,F,Caucasian,unpref
51,0,7,0,0,5,-168.31207275390625,9.525211334228516,91.53427124023438,1.5500593185424805,Male,25 - 45,M,Caucasian,0
46,0,1,0,0,0,-15.784698486328123,139.4201202392578,33.23406982421875,30.21369171142578,Female,Greater than 45,M,Caucasian,0
22,0,9,0,0,3,-158.09576416015625,0.3618693351745605,-69.00616455078125,0.0240213871002197,Female,25 - 45,M,Caucasian,unpref
32,0,5,0,0,6,957.7496337890624,33.703514099121094,3424.13671875,3232.559326171875,Male,25 - 45,F,Caucasian,0
18,0,9,0,5,0,-17.31903076171875,0.2155548334121704,-47.36515808105469,0.0901935100555419,Male,Less than 25,M,Caucasian,0
69,0,1,0,0,1,-168.66937255859375,6.094107627868652,-54.18063354492188,0.5021829605102539,Male,Greater than 45,F,Caucasian,0
20,0,5,0,0,0,196.45843505859372,-0.1863071918487548,28.4290771484375,0.508981466293335,Female,Less than 25,M,Caucasian,unpref
44,0,1,0,0,0,3.62567138671875,-0.9234899878501892,114.01632690429688,2.3495635986328125,Male,25 - 45,F,Caucasian,unpref
21,0,9,0,0,0,460.17779541015625,11.679092407226562,147.95989990234375,0.2336419820785522,Male,Less than 25,M,Caucasian,unpref
38,0,1,0,0,7,-6.391754150390625,32.640174865722656,-19.552642822265625,6.158992767333984,Female,25 - 45,F,Caucasian,0
21,1,9,0,4,7,-59.969970703125,-0.1517513990402221,-87.68304443359375,0.0154099464416503,Male,Less than 25,F,Caucasian,unpref
20,0,1,0,0,0,-1.533905029296875,-0.8520985245704651,-4.804840087890625,1.4614521265029907,Male,Less than 25,F,Caucasian,0
22,0,9,0,0,0,865.73779296875,-0.9957308173179626,-199.2240295410156,0.000226616859436,Female,25 - 45,M,Caucasian,0
70,0,1,0,0,0,16.394744873046875,-0.9998435378074647,-14.8896484375,1.8940637111663814,Male,Greater than 45,F,Caucasian,unpref
36,0,1,0,0,0,-2.4857177734375,-0.9504908919334412,17.748138427734375,2.560543775558472,Female,Greater than 45,F,Caucasian,unpref
24,0,9,0,3,8,-122.80136108398438,2.4588873386383057,-119.99862670898438,0.0163164138793945,Female,25 - 45,F,Caucasian,unpref
56,0,1,0,0,0,92.11395263671876,13.348544120788574,47.5633544921875,0.12078678607940668,Male,25 - 45,M,Caucasian,unpref
22,0,1,0,0,1,-8.330352783203125,-0.0938827395439148,7.640228271484376,9.064901351928713,Male,Less than 25,M,Caucasian,unpref
55,0,5,0,0,3,-218.4495086669922,5.587482929229736,2311.140625,2516.486328125,Male,Greater than 45,M,Caucasian,0
53,0,7,0,0,25,-10.111724853515623,12.889081954956056,78.86593627929688,41.26103973388672,Male,Greater than 45,F,Caucasian,0
26,0,6,0,0,0,747.8887939453125,42.6628532409668,2409.08203125,373.50921630859375,Male,Less than 25,F,Caucasian,unpref
50,0,1,0,0,0,1.874725341796875,-0.8841956257820129,-1.67254638671875,0.59328293800354,Female,25 - 45,M,Caucasian,unpref
64,0,1,0,0,0,582.2368774414062,-0.91597980260849,491.07104492187506,140.68328857421875,Male,Greater than 45,M,Caucasian,0
27,0,9,0,0,1,-25.8759765625,63.045745849609375,44.6993408203125,0.7115769386291504,Female,25 - 45,M,Caucasian,0
29,0,3,0,0,1,-2.88232421875,43.36789321899414,4.789154052734375,3.2437937259674072,Female,Less than 25,F,Caucasian,unpref
52,0,1,0,0,1,-18.98779296875,7.59511661529541,-54.019287109375,4.713630676269531,Male,25 - 45,F,Caucasian,0
26,0,9,0,0,3,-2.145843505859375,430.3478088378906,12.966217041015623,1.1824867725372314,Male,25 - 45,F,Caucasian,unpref
30,0,9,0,0,5,158.83648681640625,92.22571563720705,111.11676025390624,11.77546501159668,Female,25 - 45,F,Caucasian,0
48,0,9,0,0,0,-25.836090087890625,102.68106079101564,-82.34880065917969,0.3766372203826904,Male,Greater than 45,F,Caucasian,unpref
24,0,8,0,0,8,810.11083984375,55.11789321899414,1522.9205322265625,554.2291259765625,Male,25 - 45,F,Caucasian,unpref
