age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capital-gain,capital-loss,hours-per-week,native-country,income
17.0,Private,250851.67,HS-grad,9.0,Never-married,Sales,Own-child,Asian-Pac-Islander,Male,0.0,0.0,40.0,Canada,<=50K
44.0,Private,89653.27,Bachelors,13.0,Divorced,Exec-managerial,Not-in-family,White,Male,0.0,0.0,44.0,United-States,<=50K
42.0,Private,176392.2,Assoc-voc,13.0,Divorced,Exec-managerial,Not-in-family,White,Female,0.0,0.0,35.0,United-States,>50K
33.0,Self-emp-inc,182212.17,Bachelors,11.0,Never-married,Exec-managerial,Husband,Black,Male,99999.0,0.0,40.0,United-States,>50K
48.0,Private,121026.445,HS-grad,9.0,Divorced,Adm-clerical,Not-in-family,Amer-Indian-Eskimo,Female,0.0,0.0,60.0,United-States,<=50K
47.0,Private,207739.94,Bachelors,11.281301,Married-civ-spouse,Sales,Husband,Black,Male,0.0,0.0,40.0,United-States,<=50K
22.0,Private,187138.6,Some-college,11.0,Never-married,Adm-clerical,Not-in-family,White,Female,0.0,0.0,42.0,United-States,<=50K
36.0,Private,1490400.0,Bachelors,13.0,Married-civ-spouse,Priv-house-serv,Husband,White,Male,99999.0,0.0,40.0,United-States,>50K
34.0,Private,176721.0,Some-college,10.0,Never-married,Adm-clerical,Unmarried,White,Female,0.0,0.0,1.0,United-States,<=50K
39.0,Private,208045.36,HS-grad,9.0,Married-civ-spouse,Adm-clerical,Wife,White,Female,0.0,0.0,45.0,United-States,>50K
37.0,Private,57652.34,10th,9.0,Never-married,Machine-op-inspct,Other-relative,White,Male,0.0,0.0,40.0,Haiti,<=50K
24.0,Private,118524.336,HS-grad,9.0,Never-married,Craft-repair,Not-in-family,White,Male,0.0,0.0,50.0,United-States,<=50K
45.0,Self-emp-not-inc,1490400.0,Some-college,9.0,Married-civ-spouse,Farming-fishing,Husband,White,Male,0.0,0.0,38.0,United-States,<=50K
39.0,Private,150028.61,Some-college,10.0,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0.0,0.0,40.0,United-States,<=50K
53.0,Local-gov,275552.88,Masters,14.0,Divorced,Prof-specialty,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
43.0,Self-emp-not-inc,324659.16,Some-college,12.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,<=50K
45.0,Self-emp-inc,89440.5,Masters,13.0,Married-civ-spouse,Exec-managerial,Husband,White,Male,0.0,0.0,30.0,United-States,<=50K
90.0,Private,28297.24,HS-grad,9.0,Widowed,Adm-clerical,Not-in-family,White,Female,0.0,0.0,40.0,United-States,>50K
19.0,Private,141924.45,Doctorate,10.0,Separated,Prof-specialty,Unmarried,Other,Female,0.0,0.0,40.0,Japan,>50K
27.0,Private,200306.14,Some-college,9.0,Married-civ-spouse,Craft-repair,Husband,White,Male,0.0,0.0,42.0,United-States,<=50K
34.0,Private,102877.125,HS-grad,9.0,Married-spouse-absent,Sales,Wife,White,Female,0.0,0.0,40.0,Guatemala,<=50K
