age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,y
1,self-employed,married,secondary,no,681.20636,yes,no,cellular,19.0,apr,120.0,1.0,100.0,1.0,failure,no
1,technician,single,secondary,no,0.0,yes,no,unknown,5.0,may,579.20667,5.0,-1.0,0.0,unknown,no
1,blue-collar,single,primary,no,179.0,no,no,cellular,28.0,may,20.340755,2.0,-1.0,0.0,unknown,no
1,technician,single,secondary,no,131.65068,no,no,cellular,23.0,apr,0.0,5.0,-1.0,0.0,unknown,no
1,admin.,married,primary,no,-8019.0,no,no,cellular,21.0,apr,110.81829,2.0,258.95557,5.0,success,no
1,retired,married,tertiary,no,1658.6582,no,no,cellular,1.0,feb,212.14558,1.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,654.0254,no,no,cellular,14.0,mar,191.0,1.0,-1.0,0.0,unknown,no
1,blue-collar,divorced,secondary,no,367.73175,yes,no,cellular,1.0,feb,169.0,2.0,854.0,9.915955,other,no
1,admin.,single,secondary,no,1047.4761,yes,no,cellular,13.355024,may,69.0,3.0,-1.0,0.0,unknown,yes
1,blue-collar,married,primary,no,341.66455,yes,no,cellular,4.0,feb,0.0,1.0,-1.0,0.0,unknown,no
1,unemployed,single,tertiary,no,-8019.0,no,no,cellular,18.0,jul,236.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,150.0,yes,no,cellular,16.0,may,275.0,2.0,-1.0,0.0,unknown,yes
1,admin.,married,secondary,no,102127.0,yes,no,unknown,12.0,may,24.0,1.0,-1.0,0.0,unknown,no
1,entrepreneur,married,primary,no,940.4134,no,no,unknown,22.0,may,156.0,1.0,-1.0,0.0,unknown,no
1,management,married,unknown,no,102127.0,yes,no,unknown,31.0,may,30.991665,1.0,-1.0,0.0,unknown,no
1,technician,single,secondary,no,-8019.0,no,no,cellular,31.0,jan,157.0,1.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,102127.0,no,no,cellular,16.0,aug,15.0,4.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,151.21365,yes,no,cellular,4.0,mar,1023.4917,1.0,-1.0,0.0,unknown,yes
1,admin.,married,secondary,no,102127.0,no,no,telephone,5.0,jul,253.15556,1.0,-1.0,0.0,unknown,no
1,admin.,married,secondary,no,1726.2675,yes,no,cellular,13.0,feb,0.0,3.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,569.49615,yes,no,cellular,19.0,sep,34.0,1.0,-1.0,0.0,unknown,yes
1,services,married,tertiary,no,3100.541,yes,no,telephone,17.0,nov,241.0,1.0,-1.0,0.0,unknown,no
1,admin.,divorced,tertiary,no,102127.0,no,no,cellular,21.0,nov,33.0,8.0,-1.0,0.0,unknown,no
1,technician,divorced,secondary,no,917.64557,yes,no,unknown,26.189419,may,214.0,2.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,102127.0,no,no,cellular,11.0,sep,117.0,1.0,-1.0,0.0,unknown,no
1,retired,married,tertiary,no,2679.5037,no,no,unknown,7.0,jun,0.0,3.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,231.0,yes,yes,unknown,18.0,jun,155.37001,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,184.66711,yes,no,cellular,13.248624,may,603.91675,2.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,6.0,yes,yes,cellular,19.0,jul,188.32115,4.0,-1.0,0.0,unknown,no
1,admin.,married,primary,no,102127.0,yes,no,cellular,10.0,jul,280.0,1.0,-1.0,0.0,unknown,no
1,management,married,tertiary,no,565.6703,yes,no,cellular,17.0,jul,143.93658,3.0,-1.0,0.0,unknown,no
1,student,single,primary,no,1212.5286,no,no,cellular,11.0,aug,0.0,5.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,3166.7773,yes,no,unknown,17.0,may,167.0,1.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,1667.862,yes,yes,cellular,17.0,apr,153.0,1.0,-1.0,0.0,unknown,yes
1,blue-collar,divorced,secondary,no,670.2856,yes,no,unknown,28.0,may,504.9618,3.0,-1.0,0.0,unknown,no
1,housemaid,married,tertiary,no,102127.0,no,no,cellular,20.0,aug,142.20996,3.0,-1.0,0.0,unknown,no
1,admin.,married,secondary,no,1956.5422,no,yes,cellular,31.0,aug,1148.5759,50.0,-1.0,0.0,unknown,no
1,management,divorced,tertiary,no,309.22388,yes,no,cellular,18.0,mar,147.0949,1.0,-1.0,0.0,unknown,no
1,unemployed,single,primary,no,102127.0,yes,no,cellular,15.0,feb,180.0,1.0,300.96622,1.0,other,yes
1,admin.,married,unknown,no,279.27417,no,no,unknown,12.0,jun,220.0,2.0,-1.0,0.0,unknown,no
1,management,single,secondary,no,55.0,yes,no,cellular,6.0,feb,223.0,1.0,252.9041,4.0,failure,no
1,services,married,secondary,no,-8019.0,no,no,cellular,9.0,may,290.0,1.0,-1.0,0.0,unknown,no
1,technician,single,tertiary,no,102127.0,yes,no,cellular,1.0,may,4918.0,2.0,336.0,58.0,other,yes
1,blue-collar,single,secondary,no,42.32706,no,no,cellular,12.0,aug,134.0,1.0,-1.0,0.0,unknown,no
1,blue-collar,single,tertiary,no,102127.0,no,no,cellular,12.0,jun,127.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,primary,no,1188.6752,no,no,unknown,15.0,jun,0.0,2.0,-1.0,0.0,unknown,no
1,admin.,divorced,secondary,no,292.25745,no,yes,cellular,8.0,jul,97.0,1.0,-1.0,0.0,unknown,no
0,management,married,tertiary,no,6499.0474,yes,no,cellular,24.0,nov,54.737118,1.0,-1.0,0.0,unknown,no
1,admin.,married,tertiary,no,1009.3675,yes,no,cellular,2.0,feb,187.2318,1.0,-1.0,0.0,unknown,no
1,technician,single,tertiary,no,22.158497,yes,no,unknown,19.0,may,438.3493,1.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,102127.0,no,no,cellular,21.0,aug,59.0,3.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,-8019.0,yes,yes,cellular,14.0,jul,198.65785,1.0,-1.0,0.0,unknown,no
1,blue-collar,single,secondary,no,1067.5935,yes,no,cellular,23.0,apr,129.90536,1.0,-1.0,0.0,unknown,no
1,management,divorced,tertiary,no,-8019.0,yes,no,cellular,20.0,jul,172.0,5.0,-1.0,0.0,unknown,no
1,technician,single,tertiary,no,-8019.0,yes,yes,cellular,22.0,jul,0.0,3.0,-1.0,0.0,unknown,no
1,management,single,tertiary,no,0.0,no,no,cellular,25.0,oct,81.0,2.0,-1.0,0.0,unknown,yes
1,student,single,unknown,no,563.70135,no,no,unknown,4.0,jun,313.0,1.0,-1.0,0.0,unknown,no
1,entrepreneur,divorced,tertiary,no,33.0,yes,no,cellular,18.0,nov,96.0,3.0,-1.0,0.0,other,no
1,student,single,tertiary,no,592.45734,no,no,telephone,12.0,jun,4918.0,1.0,-1.0,0.0,unknown,yes
1,unemployed,married,tertiary,no,117.79576,yes,no,cellular,20.0,apr,314.84906,2.0,182.0,58.0,other,yes
1,blue-collar,married,secondary,no,-323.31128,no,no,cellular,5.0,may,4918.0,3.0,289.1681,2.0,success,yes
0,technician,single,tertiary,no,2590.812,no,no,cellular,12.0,aug,222.0,3.0,-1.0,0.0,unknown,no
1,technician,married,secondary,no,380.0,no,no,cellular,21.0,aug,70.0,1.0,-1.0,0.0,unknown,yes
0,services,divorced,secondary,no,0.0,yes,no,unknown,31.0,may,283.0,2.0,-1.0,0.0,unknown,no
1,admin.,single,secondary,no,256.96594,no,no,cellular,15.0,apr,1230.3917,1.0,-1.0,0.0,unknown,yes
1,self-employed,married,secondary,no,102127.0,no,yes,unknown,17.0,jun,86.0,1.0,-1.0,0.0,unknown,no
1,self-employed,single,tertiary,no,102127.0,no,no,cellular,1.0,aug,0.0,2.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,356.02325,yes,no,unknown,18.0,may,101.0,11.0,-1.0,0.0,unknown,no
1,management,divorced,tertiary,yes,46.0,no,no,cellular,20.0,nov,176.0,1.0,-1.0,0.0,unknown,no
1,blue-collar,married,secondary,no,311.0,yes,no,unknown,1.9200062,may,483.0,1.0,-1.0,0.0,unknown,no
