balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
-710,13,125,2,2,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
2619,9,410,1,0,0,admin.,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
-229,20,174,2,160,3,management,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
1863,25,383,1,0,0,blue-collar,married,primary,no,no,no,cellular,jun,unknown,1,unpref
-819,13,291,1,0,0,services,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
2077,11,75,2,2,0,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1126,6,248,1,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
419,14,238,3,0,0,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
1019,5,89,1,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
1574,20,8,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
1178,16,236,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
279,3,213,2,2,0,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
3103,23,248,3,0,0,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1436,12,539,5,0,0,management,divorced,tertiary,no,no,no,unknown,jun,unknown,1,yes
-1434,18,84,3,0,0,blue-collar,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
9432,14,392,3,0,0,blue-collar,single,primary,no,yes,no,telephone,jul,unknown,unpriv,unpref
357,5,72,1,0,0,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
6822,16,476,2,0,0,blue-collar,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
13218,1,0,1,0,0,services,single,tertiary,no,no,no,unknown,mar,unknown,unpriv,unpref
-447,18,0,6,0,0,housemaid,single,unknown,no,yes,no,cellular,aug,unknown,1,unpref
-718,9,141,1,0,0,retired,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
1907,27,583,5,0,0,technician,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
1399,17,13,8,0,0,housemaid,divorced,tertiary,no,no,no,cellular,nov,unknown,1,unpref
148,14,97,1,0,0,technician,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-824,3,137,3,2,0,management,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
426,16,413,1,387,3,blue-collar,married,secondary,no,no,no,cellular,may,failure,1,yes
