age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
19,0,6,0,0,0,30.12191772460937,2.0354113578796387,69.25711059570312,0.1758546829223632,Male,Less than 25,F,unpriv,0
26,0,4,0,0,2,0.22509765625,34.64944076538086,5.24066162109375,3.1057839393615723,Male,25 - 45,F,unpriv,unpref
49,0,1,0,0,4,5.48016357421875,0.8851011991500854,53.354522705078125,6.5333638191223145,Female,25 - 45,F,Caucasian,unpref
54,0,1,0,0,2,-2.3497314453125,0.7116293907165527,5.608551025390625,0.5726608037948608,Male,Greater than 45,M,Caucasian,unpref
31,0,4,0,0,7,-1.714202880859375,0.6492233276367188,-6.25213623046875,1.491138935089111,Male,25 - 45,M,unpriv,unpref
25,0,5,0,0,4,-25.41464233398437,22.250080108642575,648.8767700195312,156.31622314453122,Male,25 - 45,F,unpriv,0
18,0,7,0,0,0,186.08917236328125,-0.7872784733772279,10.19122314453125,0.0040791034698486,Male,Less than 25,F,Caucasian,0
19,0,6,0,0,0,194.35284423828125,0.0985881090164184,30.47299194335937,0.9769452810287474,Male,Less than 25,F,Caucasian,unpref
56,0,5,0,0,5,-3.81103515625,16.819076538085938,-88.45509338378906,0.0,Male,Greater than 45,M,unpriv,0
48,0,6,0,0,0,4.7156982421875,-0.9918416142463684,0.39068603515625,3.52026629447937,Female,Greater than 45,M,Caucasian,0
24,0,1,0,0,0,-0.4124755859375,0.0622665882110595,8.2398681640625,0.1960235834121704,Male,25 - 45,M,Caucasian,0
55,0,3,0,0,0,17.80072021484375,26.696893692016605,-110.04356384277344,4.739238262176514,Male,Greater than 45,F,Caucasian,0
55,0,2,0,0,2,-5.47509765625,-0.2245957255363464,102.36358642578125,23.284202575683597,Male,Greater than 45,M,Caucasian,0
54,0,2,0,0,1,-10.3466796875,2.8830339908599854,-57.383331298828125,4.563157081604004,Male,Greater than 45,F,unpriv,0
30,0,3,0,0,0,32.94921875,2.958202838897705,-36.246368408203125,0.0736504793167114,Female,25 - 45,F,Caucasian,0
31,0,3,0,0,2,37.5146484375,4.483731746673584,-29.037109375000004,0.444848895072937,Male,25 - 45,M,Caucasian,unpref
45,0,1,0,0,0,2.294952392578125,14.52104949951172,12.972808837890625,1.1550661325454712,Female,Greater than 45,F,Caucasian,0
32,0,3,0,0,3,1.170013427734375,2.468252658843994,29.733428955078125,0.8489067554473877,Male,25 - 45,F,unpriv,0
51,0,1,0,0,1,5.07012939453125,-0.9794140458106996,5.72137451171875,3.823932886123657,Female,Greater than 45,M,Caucasian,0
36,0,1,0,0,0,7.249786376953125,-0.9830797314643859,7.0914306640625,0.000453233718872,Male,25 - 45,M,unpriv,0
