age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
39,42697,9,0,0,44,Self-emp-inc,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
62,266222,9,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
44,150575,12,0,0,41,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male,>50K
51,174738,13,5988,0,45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
31,116674,6,0,0,39,Private,10th,Married-civ-spouse,Craft-repair,Husband,Black,United-States,Male,unpref
28,251781,10,0,0,40,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
54,173374,9,0,0,19,Self-emp-not-inc,HS-grad,Divorced,Prof-specialty,Not-in-family,White,United-States,Male,unpref
36,191717,12,0,0,40,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
29,257303,8,0,0,16,Local-gov,11th,Never-married,Other-service,Own-child,White,Mexico,unpriv,unpref
41,211340,9,0,0,39,Private,Some-college,Married-civ-spouse,Sales,Unmarried,White,United-States,unpriv,unpref
44,151769,12,5587,0,52,Self-emp-not-inc,Bachelors,Married-civ-spouse,Adm-clerical,Not-in-family,White,Canada,Male,unpref
41,171471,4,0,0,39,Private,11th,Divorced,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
28,190430,12,0,0,40,Private,Bachelors,Never-married,Sales,Not-in-family,White,United-States,Male,unpref
24,228974,8,0,0,41,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
22,415476,9,0,0,39,Local-gov,HS-grad,Never-married,Adm-clerical,Not-in-family,White,England,unpriv,unpref
25,64974,9,0,0,44,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
20,230054,12,0,0,25,Private,Bachelors,Never-married,?,Own-child,White,United-States,unpriv,unpref
27,263419,12,0,0,40,Private,Bachelors,Married-civ-spouse,Adm-clerical,Other-relative,Black,United-States,Male,unpref
28,128990,9,0,0,39,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,United-States,unpriv,unpref
39,76822,9,0,0,39,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
29,203294,8,0,0,55,Private,Assoc-voc,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
19,206772,9,0,0,26,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,Male,unpref
48,75324,10,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
48,428563,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Not-in-family,White,Mexico,Male,unpref
56,165288,8,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
21,158055,9,0,0,20,Private,HS-grad,Never-married,Other-service,Unmarried,White,United-States,unpriv,unpref
35,209084,8,0,0,47,Private,Some-college,Divorced,Craft-repair,Not-in-family,White,United-States,Male,unpref
33,320610,9,0,0,48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
48,115427,8,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
48,332367,9,7057,0,46,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Mexico,Male,>50K
45,252361,10,0,0,29,Private,Bachelors,Divorced,Sales,Wife,White,United-States,unpriv,>50K
55,163692,9,0,0,39,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
18,375274,10,0,0,39,Private,Some-college,Never-married,Sales,Husband,White,United-States,Male,unpref
34,127415,8,0,0,50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
46,238769,9,0,0,51,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
57,99194,8,0,0,20,Self-emp-not-inc,HS-grad,Widowed,Prof-specialty,Not-in-family,White,United-States,Male,unpref
19,160807,10,0,0,28,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
47,235093,9,0,0,36,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
41,193541,6,0,0,39,Private,11th,Divorced,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
24,364987,3,0,0,18,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male,unpref
32,91042,10,0,0,39,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
53,195897,10,0,0,40,Private,Some-college,Divorced,Machine-op-inspct,Not-in-family,White,United-States,unpriv,unpref
50,188236,9,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Black,United-States,Male,unpref
23,153770,9,0,0,39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
32,209487,9,0,0,39,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
53,219563,16,15557,1926,58,Self-emp-inc,Masters,Never-married,Protective-serv,Husband,Asian-Pac-Islander,England,Male,>50K
18,20897,7,0,0,26,Private,11th,Married-civ-spouse,Other-service,Own-child,White,United-States,Male,unpref
17,29461,4,0,0,26,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
19,206638,10,0,0,28,Private,Some-college,Never-married,Sales,Own-child,White,El-Salvador,unpriv,unpref
43,94225,9,0,0,40,Private,HS-grad,Divorced,Other-service,Not-in-family,White,Mexico,Male,unpref
41,275041,9,0,0,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
34,207694,12,0,0,40,Local-gov,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,Philippines,Male,unpref
62,197816,10,0,0,40,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,United-States,unpriv,>50K
30,114817,10,0,0,19,Private,Assoc-voc,Married-civ-spouse,Other-service,Unmarried,White,United-States,unpriv,unpref
29,93337,12,0,0,50,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,Mexico,Male,unpref
47,182564,13,0,0,60,Self-emp-not-inc,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
61,210757,8,0,0,18,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,unpref
46,114700,9,0,0,47,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,United-States,Male,unpref
54,230667,8,0,0,40,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
25,43365,10,0,0,28,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
16,50433,9,0,0,21,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
54,269495,7,0,0,14,Self-emp-not-inc,11th,Married-civ-spouse,Other-service,Husband,White,Mexico,Male,unpref
47,113627,8,0,0,49,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
29,10700,9,0,0,40,Local-gov,Some-college,Divorced,Prof-specialty,Not-in-family,White,United-States,unpriv,unpref
21,237996,10,0,0,22,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,Male,unpref
23,230987,10,0,0,48,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
22,68852,13,0,0,40,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
34,222427,10,0,0,39,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
44,237416,12,0,0,39,Private,HS-grad,Divorced,Adm-clerical,Unmarried,Black,United-States,Male,>50K
18,103505,10,0,0,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
24,262953,10,0,0,39,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,United-States,Male,unpref
29,90012,10,0,0,39,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,Male,unpref
50,132725,9,5540,0,39,Local-gov,Some-college,Married-civ-spouse,Tech-support,Husband,Black,United-States,Male,>50K
