fnlwgt,hours-per-week,capital-gain,capital-loss,education-num,age,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
127193,40,0,0,9,40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,United-States,Male,unpref
196960,39,0,0,12,32,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
101359,40,0,0,9,41,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
225396,51,0,0,8,36,Private,HS-grad,Divorced,Sales,Not-in-family,White,Philippines,unpriv,unpref
89816,43,0,0,9,34,Private,Some-college,Divorced,Exec-managerial,Not-in-family,White,United-States,Male,unpref
134142,31,0,0,9,48,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,Jamaica,Male,unpref
158569,39,0,1922,13,36,Self-emp-not-inc,Assoc-voc,Divorced,Adm-clerical,Wife,White,?,unpriv,>50K
7015,41,9629,0,2,51,Self-emp-not-inc,HS-grad,Married-civ-spouse,Farming-fishing,Own-child,Black,Laos,unpriv,>50K
99137,35,0,0,9,18,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
198900,40,0,0,10,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
260237,40,0,0,10,35,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
83304,40,0,0,9,47,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
440269,32,0,0,9,44,Private,Some-college,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
95279,47,0,0,8,38,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
158495,39,0,0,9,50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
85404,53,0,0,10,48,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
349699,39,0,0,10,36,Self-emp-not-inc,Some-college,Married-civ-spouse,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
239546,53,0,0,14,51,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,>50K
421766,40,0,0,12,21,Private,Bachelors,Divorced,Sales,Not-in-family,White,Mexico,Male,unpref
126972,40,0,0,10,23,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
138614,40,0,0,12,29,Private,Bachelors,Married-civ-spouse,Adm-clerical,Wife,White,United-States,unpriv,unpref
102924,52,0,0,12,51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
22009,39,0,0,8,36,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
228625,40,0,0,9,17,Private,Bachelors,Never-married,Other-service,Own-child,White,United-States,Male,unpref
267003,40,0,0,8,48,Private,HS-grad,Divorced,Sales,Not-in-family,White,United-States,Male,unpref
293043,39,0,0,9,37,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
95496,15,4107,0,8,22,Local-gov,Some-college,Married-civ-spouse,Other-service,Not-in-family,White,United-States,Male,unpref
423896,40,0,0,4,17,Private,11th,Never-married,Craft-repair,Not-in-family,White,Mexico,Male,unpref
