balance,day,duration,campaign,pdays,previous,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
-2975,8,221,1,222,1,blue-collar,married,tertiary,no,yes,no,cellular,may,failure,1,unpref
1084,14,305,2,0,0,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1524,27,63,1,0,0,student,married,secondary,no,no,no,cellular,apr,unknown,1,unpref
62,22,423,1,0,0,technician,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
1916,5,70,1,0,0,admin.,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
-487,18,189,2,0,0,management,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
1154,27,534,2,0,0,technician,divorced,secondary,no,yes,yes,telephone,jan,unknown,unpriv,unpref
1555,2,78,1,0,0,blue-collar,single,primary,no,no,yes,unknown,may,unknown,1,unpref
931,25,82,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
-486,10,0,1,0,0,unemployed,married,tertiary,no,no,no,cellular,jun,unknown,1,unpref
2069,11,128,2,0,0,management,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
-465,26,90,3,253,0,management,married,tertiary,no,no,no,cellular,dec,success,1,yes
4399,21,143,4,1,0,services,divorced,secondary,no,yes,no,cellular,may,unknown,1,unpref
-146,16,136,2,0,0,management,single,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-313,2,125,1,3,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
949,24,108,1,0,0,admin.,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
3006,23,355,10,0,0,admin.,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
626,13,94,1,0,0,technician,married,tertiary,no,yes,no,cellular,may,unknown,unpriv,unpref
1807,7,172,1,0,0,admin.,married,secondary,no,yes,no,cellular,apr,unknown,1,unpref
10002,14,401,1,0,0,management,single,tertiary,no,yes,no,unknown,may,unknown,1,yes
1287,24,634,1,0,0,admin.,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
2609,16,95,1,0,0,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
2518,13,14,4,0,0,entrepreneur,married,tertiary,no,yes,no,cellular,aug,unknown,1,unpref
573,23,0,30,0,0,management,single,unknown,no,no,no,cellular,apr,unknown,1,unpref
-815,4,768,1,0,0,blue-collar,married,primary,no,yes,no,cellular,jun,unknown,1,unpref
1377,16,332,5,0,0,services,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
510,5,252,4,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
25798,12,4,1,61,0,unemployed,single,secondary,no,no,no,cellular,may,failure,unpriv,yes
4560,19,382,2,211,0,blue-collar,married,primary,no,yes,no,cellular,apr,failure,1,unpref
-467,4,440,2,1,0,retired,married,primary,no,no,no,cellular,aug,unknown,unpriv,unpref
6581,21,345,15,0,0,retired,married,primary,no,no,no,telephone,nov,unknown,unpriv,unpref
1012,17,306,1,0,0,management,single,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
8,23,73,6,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
1967,26,138,1,0,0,technician,married,tertiary,no,yes,no,cellular,apr,unknown,1,unpref
1547,8,251,1,0,0,management,single,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
1078,25,62,2,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
4176,17,32,1,0,0,admin.,divorced,tertiary,no,yes,no,unknown,may,unknown,1,unpref
965,15,214,1,0,0,management,single,tertiary,no,no,no,cellular,jul,unknown,1,unpref
2378,17,574,1,88,6,self-employed,married,tertiary,no,yes,no,cellular,nov,failure,unpriv,unpref
244,21,110,1,0,0,services,married,unknown,no,no,no,cellular,nov,unknown,1,unpref
-24,10,69,1,0,0,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,unpref
810,23,2893,1,0,0,technician,married,tertiary,no,no,no,telephone,aug,unknown,1,unpref
-139,15,256,4,0,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-2467,25,174,3,0,0,management,married,primary,no,no,no,cellular,jul,unknown,1,unpref
3571,12,347,1,0,0,technician,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
7442,17,302,2,0,0,management,married,tertiary,no,no,no,cellular,nov,unknown,1,yes
-1654,10,350,1,0,0,blue-collar,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
6662,24,446,1,0,0,self-employed,married,tertiary,no,no,no,cellular,jan,unknown,unpriv,unpref
6140,14,308,6,1,0,management,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
-750,5,25,1,182,0,technician,single,secondary,no,no,no,telephone,nov,failure,1,unpref
1492,13,293,4,0,0,blue-collar,married,primary,no,no,no,cellular,aug,unknown,1,unpref
1545,30,261,2,0,0,technician,married,secondary,no,no,no,unknown,may,unknown,1,unpref
-3237,28,250,34,0,0,services,married,primary,no,no,yes,unknown,jul,unknown,1,unpref
10004,22,818,1,118,2,student,married,primary,no,yes,no,cellular,jan,failure,1,yes
1346,23,24,30,0,0,management,married,tertiary,no,no,yes,cellular,aug,unknown,1,unpref
-1241,5,122,2,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-1420,11,229,3,0,0,management,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
2155,30,566,1,0,0,management,single,tertiary,no,yes,yes,unknown,may,unknown,1,unpref
2346,29,224,1,0,0,technician,married,secondary,no,no,no,unknown,may,unknown,1,unpref
-1640,11,521,1,0,0,services,married,secondary,no,yes,yes,cellular,jul,unknown,1,yes
856,25,236,1,0,0,housemaid,married,secondary,no,no,no,telephone,jul,unknown,1,unpref
4789,9,238,1,0,0,management,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
-817,1,296,1,0,0,management,married,tertiary,no,no,no,cellular,feb,unknown,1,unpref
3820,15,308,1,274,1,admin.,single,secondary,no,no,no,cellular,apr,failure,1,unpref
-658,23,142,1,0,0,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1154,21,108,1,0,0,management,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
3097,27,55,1,5,0,student,married,tertiary,no,no,no,cellular,feb,unknown,1,unpref
57,22,253,1,0,0,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
557,7,630,3,0,0,retired,married,tertiary,no,yes,no,unknown,jun,unknown,1,yes
-1583,6,132,1,0,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
2282,29,83,16,0,0,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
-342,22,101,2,0,0,services,married,secondary,no,no,no,cellular,apr,unknown,1,unpref
1199,16,506,9,0,0,retired,married,unknown,no,no,no,cellular,jul,unknown,1,unpref
102,19,269,2,0,0,admin.,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-522,15,532,4,2,0,unemployed,married,secondary,no,no,no,cellular,feb,unknown,1,yes
73,23,567,2,0,0,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-339,11,107,6,0,0,technician,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
-2365,29,276,3,0,0,management,divorced,tertiary,no,no,no,cellular,jul,unknown,1,unpref
928,25,162,2,0,0,management,married,tertiary,no,yes,no,cellular,jul,unknown,1,unpref
-914,7,236,1,0,0,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
4668,26,731,1,0,0,entrepreneur,single,secondary,no,yes,no,telephone,nov,unknown,1,yes
368,2,166,1,0,0,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
1281,12,490,1,0,0,management,single,tertiary,no,no,no,cellular,apr,unknown,1,unpref
-1025,4,382,1,1,0,blue-collar,married,secondary,no,yes,no,cellular,jun,unknown,1,unpref
3184,8,151,4,0,0,admin.,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
-1662,13,81,1,232,1,management,single,tertiary,no,no,no,cellular,apr,failure,1,unpref
30627,19,7,1,247,0,management,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
2721,14,20,6,0,0,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
1694,14,217,1,3,0,blue-collar,divorced,primary,no,yes,no,cellular,may,unknown,1,unpref
-3197,9,62,1,0,0,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
