age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
17,191062,5,0,0,13,Private,11th,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
19,163271,9,0,0,51,Self-emp-not-inc,HS-grad,Never-married,Transport-moving,Husband,White,United-States,Male,unpref
25,104788,9,0,0,13,Private,HS-grad,Never-married,Sales,Own-child,White,United-States,Male,unpref
39,173366,5,0,0,51,Self-emp-not-inc,10th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
18,115902,3,0,0,40,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male,unpref
32,255328,13,0,0,40,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
20,132356,10,0,0,26,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
36,265810,13,0,0,39,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,Mexico,Male,unpref
25,219473,10,0,0,33,Private,Some-college,Married-civ-spouse,Sales,Husband,White,United-States,Male,unpref
60,124045,9,0,0,40,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
47,361164,3,0,0,40,Private,Assoc-acdm,Married-civ-spouse,Adm-clerical,Husband,White,Mexico,Male,unpref
48,268877,12,0,0,41,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Jamaica,unpriv,>50K
29,125989,9,0,0,47,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
31,185261,9,0,0,50,Self-emp-not-inc,HS-grad,Married-civ-spouse,Exec-managerial,Other-relative,Amer-Indian-Eskimo,United-States,Male,>50K
40,236054,9,0,0,49,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
27,200268,13,0,0,20,Self-emp-not-inc,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Germany,Male,unpref
19,41518,6,0,0,18,Private,11th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
37,170879,13,0,0,51,Private,Bachelors,Divorced,Exec-managerial,Not-in-family,White,United-States,unpriv,unpref
41,246188,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
29,147619,9,0,0,39,Private,Masters,Divorced,Other-service,Not-in-family,White,Peru,Male,unpref
30,118128,13,0,0,47,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,?,unpriv,unpref
30,233464,9,0,0,51,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
27,101146,8,0,0,47,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
24,243198,9,0,0,22,Private,HS-grad,Never-married,Exec-managerial,Own-child,White,United-States,Male,unpref
25,91500,9,0,0,36,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
25,106139,9,0,0,17,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,unpriv,unpref
19,108751,8,0,0,40,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,Male,unpref
27,250484,8,0,0,39,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
24,89352,10,0,0,33,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,United-States,Male,unpref
23,169998,8,0,0,28,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
29,47258,10,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
48,256619,7,0,0,25,Private,11th,Widowed,Adm-clerical,Unmarried,Black,United-States,unpriv,unpref
45,148701,13,0,0,40,Private,Bachelors,Divorced,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
43,210734,3,0,1929,39,Private,10th,Divorced,Other-service,Unmarried,White,Mexico,unpriv,unpref
35,231359,10,0,0,53,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
46,201918,8,0,0,39,Private,11th,Never-married,Machine-op-inspct,Husband,White,United-States,Male,unpref
16,206589,6,0,0,40,Private,11th,Never-married,Other-service,Own-child,White,Mexico,Male,unpref
39,170028,9,0,0,40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,United-States,Male,unpref
55,72295,12,14597,1927,49,Self-emp-inc,HS-grad,Married-civ-spouse,?,Husband,White,Scotland,Male,>50K
36,155729,13,0,0,50,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,United-States,unpriv,unpref
21,114230,6,0,0,26,Private,11th,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
25,270010,9,0,0,40,Private,HS-grad,Never-married,Craft-repair,Husband,White,United-States,Male,unpref
62,218843,13,0,0,39,Private,Masters,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
29,252327,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
36,162997,4,0,0,29,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,?,unpriv,unpref
38,78581,13,0,0,52,Self-emp-not-inc,Bachelors,Divorced,Exec-managerial,Not-in-family,White,Canada,Male,unpref
20,236771,10,0,0,39,Private,Some-college,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
34,57144,13,0,0,20,Private,Masters,Divorced,Prof-specialty,Not-in-family,White,?,unpriv,unpref
53,112285,10,0,0,25,Private,Some-college,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
57,152812,10,0,0,40,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male,>50K
25,196848,8,0,0,40,Private,Some-college,Never-married,Sales,Not-in-family,White,United-States,Male,unpref
21,103618,10,0,0,39,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,India,Male,unpref
41,34496,8,0,0,40,Self-emp-not-inc,Masters,Married-civ-spouse,Exec-managerial,Unmarried,White,Mexico,Male,unpref
38,134187,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
43,276857,12,0,0,47,Private,Bachelors,Married-civ-spouse,Prof-specialty,Husband,White,England,Male,unpref
42,99867,9,0,0,39,Private,HS-grad,Never-married,Adm-clerical,Not-in-family,White,Canada,unpriv,unpref
37,102114,9,0,0,40,Private,Assoc-acdm,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
50,200622,9,0,0,39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
41,268280,13,0,0,46,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,Male,unpref
38,54307,9,0,0,37,Private,Some-college,Never-married,Other-service,Unmarried,Black,United-States,unpriv,unpref
25,209302,7,0,0,39,Private,11th,Never-married,Craft-repair,Husband,White,Mexico,Male,unpref
25,274349,9,0,0,40,Private,Some-college,Never-married,Adm-clerical,Own-child,White,United-States,Male,unpref
21,184239,9,4406,1957,25,Private,HS-grad,Divorced,Other-service,Husband,White,United-States,unpriv,unpref
27,20448,13,0,0,39,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
35,144180,9,0,0,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
51,142483,10,0,0,6,Private,Masters,Married-civ-spouse,Craft-repair,Not-in-family,White,United-States,Male,unpref
51,112047,5,0,0,46,Private,10th,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
54,413385,2,14536,1779,51,State-gov,Some-college,Divorced,Handlers-cleaners,Own-child,Asian-Pac-Islander,El-Salvador,unpriv,>50K
62,215408,9,4662,0,40,Self-emp-not-inc,Masters,Never-married,Farming-fishing,Not-in-family,Black,United-States,Male,>50K
23,225393,5,0,0,39,Private,11th,Never-married,Adm-clerical,Own-child,White,United-States,unpriv,unpref
40,37987,10,0,0,39,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
32,185678,8,0,0,44,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
29,215524,12,0,0,39,Private,Bachelors,Married-civ-spouse,Sales,Not-in-family,White,United-States,unpriv,unpref
39,202492,9,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
41,133109,9,0,0,39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
40,292892,10,0,0,39,Private,Some-college,Divorced,Exec-managerial,Unmarried,Black,United-States,Male,>50K
27,237252,9,0,0,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
62,180574,12,0,0,46,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
48,77661,13,6672,0,22,Self-emp-not-inc,HS-grad,Married-civ-spouse,Other-service,Not-in-family,Black,United-States,unpriv,unpref
37,74232,10,0,0,31,Private,Some-college,Divorced,Adm-clerical,Unmarried,Black,United-States,unpriv,unpref
62,236520,8,0,0,53,Private,HS-grad,Divorced,Sales,Not-in-family,White,Jamaica,Male,unpref
58,21615,12,8188,0,28,Self-emp-not-inc,HS-grad,Married-civ-spouse,Transport-moving,Not-in-family,Black,United-States,unpriv,>50K
20,239470,13,0,0,48,Self-emp-not-inc,Bachelors,Never-married,Prof-specialty,Own-child,White,United-States,Male,unpref
19,237580,4,0,0,28,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male,unpref
55,94690,9,0,0,25,Self-emp-not-inc,HS-grad,Widowed,Other-service,Not-in-family,White,United-States,Male,unpref
18,142248,13,0,0,17,Private,Bachelors,Never-married,Adm-clerical,Own-child,White,Germany,unpriv,unpref
33,42392,13,0,0,50,Private,Bachelors,Divorced,Prof-specialty,Not-in-family,White,Canada,Male,unpref
41,192327,3,0,0,39,Private,Assoc-acdm,Divorced,Other-service,Unmarried,White,Mexico,unpriv,unpref
51,211194,7,0,0,22,Self-emp-not-inc,11th,Married-civ-spouse,Other-service,Not-in-family,White,Mexico,unpriv,unpref
45,178511,9,0,0,40,Private,Bachelors,Never-married,Exec-managerial,Not-in-family,White,United-States,Male,unpref
21,216409,10,0,0,28,Private,Bachelors,Never-married,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
50,149765,9,5383,0,39,Local-gov,Some-college,Married-civ-spouse,Tech-support,Husband,Black,United-States,Male,>50K
19,48279,12,0,0,39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Own-child,White,?,Male,unpref
19,334296,9,0,0,40,Private,Some-college,Never-married,Sales,Not-in-family,White,Mexico,Male,unpref
24,328130,5,0,0,9,Private,11th,Never-married,Other-service,Own-child,White,Mexico,Male,unpref
21,231852,8,0,0,20,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
25,178444,10,0,0,39,Private,Some-college,Never-married,Prof-specialty,Husband,White,United-States,Male,unpref
51,288817,2,0,0,38,Self-emp-not-inc,11th,Divorced,?,Not-in-family,White,United-States,unpriv,unpref
50,199951,10,9447,1841,26,Self-emp-not-inc,11th,Divorced,Other-service,Own-child,Black,Mexico,Male,unpref
39,288525,13,0,0,9,Local-gov,Bachelors,Never-married,Prof-specialty,Not-in-family,White,United-States,unpriv,unpref
48,321779,9,0,0,53,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Mexico,Male,>50K
61,137114,10,0,0,32,Private,Some-college,Divorced,Adm-clerical,Unmarried,White,Mexico,unpriv,unpref
42,208284,12,0,0,34,Private,Bachelors,Married-civ-spouse,Sales,Husband,White,United-States,unpriv,>50K
30,285868,14,4805,1918,39,Private,Prof-school,Widowed,Handlers-cleaners,Husband,Black,Mexico,Male,unpref
62,83902,13,0,0,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
29,151750,9,0,0,48,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
20,241331,6,0,0,17,Private,11th,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male,unpref
43,191443,9,0,0,39,Private,Bachelors,Never-married,Adm-clerical,Not-in-family,White,United-States,Male,unpref
16,68632,12,0,0,39,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,Puerto-Rico,Male,unpref
51,146561,14,0,0,39,Private,Masters,Divorced,Sales,Not-in-family,White,United-States,Male,>50K
48,247395,8,0,0,28,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,Black,Philippines,Male,unpref
41,107230,9,7059,0,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
43,212487,8,0,0,47,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,Black,Puerto-Rico,Male,>50K
40,240893,9,0,0,39,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
25,194102,8,0,0,12,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,Male,unpref
30,439179,9,0,0,40,Local-gov,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,unpriv,unpref
51,155878,12,0,0,23,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
28,211058,8,0,0,8,Private,HS-grad,Never-married,Prof-specialty,Own-child,White,United-States,Male,unpref
50,160765,9,0,0,34,Private,HS-grad,Married-civ-spouse,Other-service,Husband,White,South,unpriv,unpref
22,28138,8,0,0,25,Private,HS-grad,Never-married,Other-service,Unmarried,Black,Philippines,unpriv,unpref
40,260898,8,0,0,40,Private,HS-grad,Divorced,Craft-repair,Not-in-family,White,United-States,Male,unpref
34,372644,9,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Unmarried,White,United-States,unpriv,unpref
62,189170,9,0,0,30,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Canada,Male,unpref
31,170774,3,0,0,39,Private,11th,Never-married,Prof-specialty,Not-in-family,White,Mexico,Male,unpref
35,165796,10,5983,0,20,Private,Doctorate,Separated,Prof-specialty,Unmarried,Asian-Pac-Islander,China,Male,>50K
16,101604,8,0,0,39,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Philippines,Male,unpref
43,192196,15,0,0,48,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
31,100420,9,0,0,40,Self-emp-not-inc,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
40,175967,8,0,0,26,Private,HS-grad,Never-married,Adm-clerical,Unmarried,Black,Philippines,unpriv,unpref
51,202925,9,0,0,53,Private,HS-grad,Divorced,Exec-managerial,Not-in-family,White,?,Male,unpref
32,157886,13,0,0,26,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,United-States,Male,unpref
40,163052,7,0,0,40,Private,11th,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
25,77607,9,0,0,9,Private,HS-grad,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
39,86466,9,0,0,40,Private,HS-grad,Divorced,Adm-clerical,Unmarried,White,United-States,unpriv,unpref
51,207410,9,0,0,39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,United-States,unpriv,unpref
39,128386,8,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
57,117350,9,4292,0,19,Local-gov,HS-grad,Never-married,Protective-serv,Not-in-family,White,Canada,unpriv,>50K
20,246343,13,0,1924,48,Local-gov,Assoc-voc,Divorced,Exec-managerial,Not-in-family,White,Iran,Male,>50K
16,253065,8,0,0,42,Private,HS-grad,Never-married,Adm-clerical,Own-child,White,United-States,Male,unpref
27,47201,9,0,0,40,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Sales,Husband,Black,?,Male,>50K
38,264304,10,0,0,40,Private,Some-college,Never-married,Adm-clerical,Husband,White,United-States,Male,unpref
28,14031,8,0,0,40,Self-emp-not-inc,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
54,428733,5,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
33,40122,8,0,0,45,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
48,108053,15,0,0,40,Private,Masters,Never-married,Exec-managerial,Not-in-family,White,United-States,Male,unpref
57,166274,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,unpriv,>50K
19,117847,9,0,0,39,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
34,342041,8,0,0,40,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Mexico,Male,unpref
