previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,218,0,18,3,84,blue-collar,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,323,303,13,3,2233,blue-collar,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,32,0,17,9,4864,management,married,tertiary,no,no,no,telephone,aug,unknown,1,unpref
0,194,0,13,3,946,retired,divorced,secondary,yes,no,no,cellular,jul,unknown,1,unpref
0,280,0,8,1,12566,technician,single,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,110,0,30,2,-1326,housemaid,married,secondary,no,yes,yes,cellular,jul,unknown,1,unpref
22,208,155,9,1,536,retired,married,primary,no,no,no,telephone,may,other,1,unpref
0,446,0,30,2,15929,student,married,unknown,no,yes,no,unknown,jun,unknown,unpriv,unpref
2,116,201,16,1,4522,management,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
0,118,0,25,1,860,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,589,0,12,2,3964,entrepreneur,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,130,77,5,1,2157,admin.,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,115,0,26,1,-905,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,95,3,23,1,1706,services,married,primary,no,yes,no,cellular,nov,unknown,1,unpref
0,16,0,17,13,2236,housemaid,single,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,353,0,20,1,192,management,divorced,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,336,0,29,1,2442,technician,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
7,109,148,18,1,1129,technician,married,secondary,no,yes,no,cellular,nov,failure,1,unpref
0,116,0,18,1,-3622,admin.,married,secondary,no,no,no,cellular,nov,unknown,1,unpref
0,23,1,18,1,3232,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,201,0,14,1,806,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
1,269,436,14,2,1809,management,single,tertiary,no,yes,no,cellular,may,other,1,unpref
0,288,0,20,3,246,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,210,0,25,1,-1359,management,divorced,primary,no,yes,no,unknown,may,unknown,1,unpref
0,322,2,22,2,993,services,married,primary,no,no,no,unknown,may,unknown,1,unpref
0,0,0,10,1,1486,admin.,single,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,102,0,16,2,1852,management,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,10,0,22,3,-811,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,950,0,27,1,832,management,single,tertiary,no,yes,no,cellular,apr,unknown,1,yes
0,346,1,25,1,4212,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,112,0,24,1,4715,admin.,married,secondary,no,yes,no,cellular,aug,unknown,1,unpref
0,291,1,8,3,3389,technician,divorced,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,359,0,14,1,2564,services,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,304,2,6,1,-1312,services,married,secondary,no,no,no,cellular,may,unknown,1,yes
0,284,106,14,1,2543,blue-collar,married,secondary,no,yes,no,cellular,aug,unknown,1,unpref
0,176,0,29,6,3910,management,single,tertiary,no,yes,no,cellular,jul,unknown,unpriv,unpref
0,0,22,12,1,-6824,retired,divorced,tertiary,no,no,yes,cellular,aug,unknown,1,unpref
0,259,1,30,1,1212,blue-collar,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,180,111,10,1,2781,management,single,tertiary,no,no,no,cellular,aug,failure,1,yes
0,257,2,3,1,4117,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,304,0,20,2,9140,technician,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,364,0,21,1,1901,services,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,38,0,25,2,854,technician,single,secondary,no,no,yes,telephone,jul,unknown,1,unpref
0,139,0,19,1,4362,student,single,unknown,no,no,no,cellular,apr,unknown,1,unpref
0,190,0,12,1,3873,blue-collar,divorced,primary,no,yes,no,cellular,apr,unknown,1,unpref
0,34,0,16,2,1411,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,616,1,18,4,4508,entrepreneur,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,69,0,9,1,811,blue-collar,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,330,0,23,10,674,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,54,0,9,1,11587,entrepreneur,married,primary,no,no,no,unknown,jun,unknown,1,unpref
0,91,0,20,1,239,blue-collar,married,secondary,no,yes,no,telephone,nov,unknown,1,unpref
0,42,0,27,1,-4548,housemaid,married,primary,no,yes,no,unknown,may,unknown,1,unpref
0,69,0,13,1,3833,blue-collar,married,unknown,no,no,no,unknown,jun,unknown,1,unpref
0,176,0,17,1,15369,blue-collar,single,unknown,no,no,no,unknown,jun,unknown,1,unpref
0,258,0,21,2,1940,management,married,tertiary,no,no,no,cellular,nov,unknown,unpriv,unpref
0,184,0,6,2,4014,technician,single,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,181,0,11,6,1202,blue-collar,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,62,0,16,1,4068,admin.,single,secondary,yes,no,yes,cellular,jul,unknown,1,unpref
0,544,0,23,1,672,blue-collar,single,secondary,no,yes,yes,unknown,may,unknown,unpriv,unpref
0,91,0,14,2,-431,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,591,0,30,2,820,management,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
0,299,0,4,2,3793,admin.,single,secondary,no,no,no,cellular,aug,unknown,1,yes
2,226,291,12,1,1754,technician,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,83,0,20,11,453,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,70,0,11,1,1524,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,1,unpref
1,201,176,26,2,3384,technician,married,tertiary,no,no,no,cellular,oct,unknown,1,yes
0,250,170,27,1,-801,management,single,unknown,no,yes,no,cellular,jan,failure,1,unpref
0,330,0,20,1,2835,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,501,0,27,2,3024,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,121,0,16,1,970,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,315,0,11,2,5303,unemployed,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,141,2,12,1,4229,admin.,married,secondary,no,yes,no,unknown,jun,unknown,1,unpref
0,168,0,6,1,998,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,95,0,21,1,756,unemployed,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,159,2,16,1,-2704,technician,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
1,53,177,6,3,8449,technician,single,tertiary,no,no,no,cellular,feb,other,1,unpref
0,134,0,17,3,1851,blue-collar,married,secondary,no,yes,yes,unknown,jun,unknown,1,unpref
0,124,0,9,1,1489,admin.,married,secondary,no,no,no,telephone,jul,unknown,1,unpref
0,236,0,25,1,474,management,married,tertiary,no,no,yes,cellular,mar,unknown,1,unpref
0,1322,0,7,1,30554,management,married,tertiary,no,no,no,cellular,nov,unknown,1,unpref
0,116,0,19,1,-511,management,married,tertiary,no,no,yes,cellular,jul,unknown,1,unpref
0,110,0,22,1,3419,unemployed,married,primary,no,yes,no,cellular,may,unknown,1,unpref
0,197,4,12,2,-168,management,single,tertiary,no,yes,no,cellular,may,unknown,1,yes
0,1,0,7,2,-807,management,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
0,482,0,15,1,-184,services,married,unknown,no,no,no,cellular,may,unknown,1,unpref
0,280,0,13,1,-330,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,240,0,19,3,3225,admin.,married,secondary,no,no,no,unknown,jun,unknown,unpriv,unpref
0,216,0,29,12,1032,technician,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,884,92,5,1,18890,retired,divorced,primary,no,yes,no,cellular,jan,success,unpriv,yes
0,158,0,12,1,24,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
5,329,130,10,1,3314,unemployed,single,tertiary,no,no,no,cellular,feb,success,1,yes
0,34,0,13,3,4439,blue-collar,married,primary,no,yes,no,unknown,jun,unknown,1,unpref
0,161,0,27,1,-378,services,divorced,secondary,no,yes,yes,unknown,jun,unknown,1,unpref
0,81,0,25,2,1139,blue-collar,single,primary,no,no,no,cellular,aug,unknown,1,unpref
0,113,0,11,2,-82,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,119,0,4,1,784,technician,married,secondary,no,yes,no,cellular,aug,unknown,1,unpref
0,543,0,23,1,2928,management,married,tertiary,no,no,no,cellular,may,unknown,1,yes
0,220,0,10,1,216,management,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
1,54,411,25,1,4626,technician,married,tertiary,no,yes,yes,cellular,jan,other,1,unpref
0,195,0,13,4,549,technician,single,tertiary,no,yes,no,cellular,may,unknown,1,unpref
0,181,1,19,1,2631,management,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,366,0,25,2,1306,blue-collar,married,tertiary,no,no,no,telephone,feb,unknown,1,unpref
0,262,0,22,9,2900,admin.,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,431,0,29,1,5911,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
1,286,399,9,1,1269,technician,single,secondary,no,yes,no,cellular,may,failure,1,unpref
0,188,0,19,1,32,services,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,91,0,14,1,-1219,technician,married,tertiary,no,no,no,cellular,nov,unknown,1,yes
0,494,0,27,1,570,management,single,tertiary,no,no,no,cellular,jan,unknown,1,unpref
2,134,378,12,1,-191,admin.,married,secondary,no,yes,no,cellular,may,failure,1,unpref
0,144,11,12,1,8188,blue-collar,married,primary,no,no,no,telephone,feb,success,1,yes
0,166,174,9,1,1110,blue-collar,married,secondary,no,yes,no,cellular,may,failure,1,unpref
1,73,295,14,1,-2029,blue-collar,married,secondary,no,yes,no,cellular,apr,other,1,unpref
0,203,0,29,7,1571,management,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,10,0,29,9,571,management,single,tertiary,no,yes,no,telephone,jul,unknown,1,unpref
0,230,0,6,13,3604,blue-collar,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
0,935,6,3,3,4722,blue-collar,married,secondary,no,no,yes,cellular,feb,success,1,yes
0,17,764,1,1,20417,unemployed,married,tertiary,no,yes,no,cellular,aug,other,1,yes
0,678,4,26,7,1039,retired,married,secondary,no,yes,no,cellular,apr,unknown,unpriv,unpref
2,472,219,17,1,1490,management,married,secondary,no,no,no,cellular,jul,other,unpriv,yes
0,175,1,8,3,-1505,admin.,married,tertiary,no,no,no,cellular,aug,unknown,1,yes
0,266,256,11,3,2200,admin.,married,primary,no,yes,yes,cellular,may,failure,1,unpref
0,395,2,17,1,410,entrepreneur,married,unknown,no,yes,no,unknown,jun,unknown,1,unpref
0,149,0,16,1,5701,blue-collar,single,primary,no,yes,no,cellular,nov,unknown,1,unpref
0,190,0,11,1,636,technician,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
0,220,0,17,3,2295,management,single,tertiary,no,no,no,cellular,aug,unknown,1,yes
0,279,0,13,1,-327,blue-collar,married,primary,no,yes,yes,cellular,jul,unknown,unpriv,unpref
0,360,0,18,10,1272,entrepreneur,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
3,163,394,13,1,-273,management,married,tertiary,no,no,no,cellular,may,failure,1,unpref
0,443,0,30,2,2107,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,175,0,2,2,3500,blue-collar,married,unknown,no,yes,no,unknown,jun,unknown,1,unpref
0,123,0,16,1,2697,technician,single,tertiary,no,no,no,unknown,nov,unknown,1,unpref
0,663,0,8,1,-786,housemaid,married,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,386,25,26,1,14811,blue-collar,married,primary,no,no,no,telephone,nov,failure,1,unpref
0,657,0,17,1,-2641,technician,married,tertiary,no,no,no,cellular,jul,unknown,1,unpref
0,318,3,15,1,2800,blue-collar,married,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,210,0,17,2,1718,blue-collar,divorced,unknown,no,no,no,unknown,jun,unknown,1,unpref
0,0,0,4,1,2758,technician,divorced,tertiary,no,no,no,cellular,jun,unknown,1,unpref
0,499,0,14,2,5009,management,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,734,0,12,5,113,admin.,married,secondary,no,no,no,unknown,jun,unknown,1,unpref
0,0,0,15,5,3498,management,married,secondary,no,no,yes,cellular,aug,unknown,1,unpref
1,1066,81,10,1,1532,blue-collar,single,secondary,no,no,yes,cellular,aug,success,1,yes
0,214,0,11,4,2059,admin.,single,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,270,0,30,3,4035,blue-collar,single,secondary,no,yes,yes,unknown,jan,unknown,unpriv,unpref
0,517,1,26,1,2451,technician,married,secondary,no,no,yes,telephone,jul,unknown,1,unpref
0,1418,0,21,19,932,blue-collar,married,primary,no,no,no,unknown,may,unknown,1,yes
0,334,0,15,2,-393,blue-collar,married,secondary,no,yes,no,cellular,may,unknown,unpriv,unpref
1,276,149,10,1,4336,admin.,married,secondary,no,yes,no,cellular,feb,failure,unpriv,yes
0,8,0,27,1,-4189,self-employed,single,tertiary,no,no,no,cellular,jun,unknown,1,yes
0,191,0,1,3,6785,technician,married,tertiary,no,yes,no,unknown,jun,unknown,1,unpref
0,172,0,29,2,-998,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,83,0,29,6,-657,technician,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,90,0,23,1,4407,blue-collar,married,primary,no,no,no,cellular,nov,unknown,1,unpref
0,75,0,27,1,-4402,technician,married,tertiary,no,no,yes,cellular,jun,unknown,1,yes
0,263,259,11,1,399,management,divorced,tertiary,no,yes,no,cellular,may,failure,1,unpref
0,242,0,15,1,3077,technician,single,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,163,2,27,8,-1352,services,married,secondary,no,no,yes,cellular,jul,unknown,1,unpref
0,178,0,30,1,4251,blue-collar,single,secondary,no,yes,no,unknown,jan,unknown,unpriv,unpref
0,106,126,25,13,-4587,retired,married,tertiary,no,no,no,cellular,jun,failure,1,unpref
0,135,0,20,1,725,management,married,tertiary,no,yes,no,cellular,nov,unknown,1,unpref
0,85,2,18,1,-265,blue-collar,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,199,0,5,1,5125,unemployed,married,secondary,no,yes,yes,unknown,oct,unknown,1,yes
