previous,duration,pdays,day,campaign,balance,job,marital,education,default,housing,loan,contact,month,poutcome,age,y
0,1474,0,11,1,809,technician,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,169,0,14,3,549,management,married,primary,no,no,no,unknown,may,unknown,1,unpref
0,80,8,5,1,1290,housemaid,married,primary,no,no,yes,unknown,jun,unknown,1,unpref
3,271,191,15,1,3202,blue-collar,married,secondary,no,yes,no,cellular,feb,failure,1,unpref
0,621,0,16,1,2805,services,married,tertiary,no,no,no,unknown,may,unknown,1,unpref
0,227,0,4,1,-689,admin.,divorced,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,153,0,4,1,3808,blue-collar,married,secondary,no,no,yes,unknown,jun,unknown,1,unpref
0,178,0,12,1,5031,unemployed,single,unknown,no,no,no,cellular,apr,unknown,1,unpref
0,205,0,28,3,1005,admin.,married,secondary,no,yes,no,unknown,may,unknown,1,unpref
0,352,0,3,1,-24,admin.,married,primary,no,no,no,telephone,aug,unknown,1,unpref
0,331,0,21,1,461,technician,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,594,1,23,1,5092,unemployed,single,secondary,no,yes,no,telephone,jul,unknown,1,yes
1,378,219,28,1,-1667,blue-collar,single,secondary,no,yes,no,cellular,jan,success,1,yes
0,39,0,9,10,834,technician,married,secondary,no,no,no,cellular,aug,unknown,1,unpref
0,573,0,8,1,-1196,management,married,primary,no,yes,no,cellular,jul,unknown,1,yes
0,300,29,27,4,4773,services,married,secondary,no,no,no,cellular,jul,unknown,1,unpref
0,182,0,6,1,907,technician,single,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,0,154,10,1,35809,technician,divorced,secondary,no,no,no,cellular,feb,failure,1,yes
0,103,0,17,1,789,management,single,tertiary,no,yes,no,unknown,may,unknown,1,unpref
0,611,0,26,1,785,retired,married,tertiary,no,no,no,cellular,apr,unknown,1,unpref
0,293,0,2,1,42,housemaid,single,secondary,no,yes,no,cellular,apr,unknown,unpriv,unpref
0,12,0,11,1,-3280,admin.,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
2,77,284,1,1,911,management,single,tertiary,no,no,no,cellular,aug,success,unpriv,yes
0,732,0,21,6,734,blue-collar,married,primary,no,yes,no,cellular,jul,unknown,1,unpref
0,488,0,28,7,1262,admin.,married,secondary,no,yes,no,cellular,jul,unknown,1,unpref
0,50,0,10,5,3007,technician,single,secondary,no,yes,no,cellular,may,unknown,1,unpref
0,568,0,17,1,3636,services,married,secondary,yes,yes,no,unknown,may,unknown,1,unpref
0,1,0,17,2,1311,blue-collar,married,secondary,no,yes,yes,unknown,may,unknown,1,unpref
0,163,0,18,8,3273,technician,single,secondary,no,yes,no,cellular,nov,unknown,1,unpref
0,101,0,5,12,2495,management,single,tertiary,no,no,no,telephone,jul,unknown,1,unpref
0,337,0,26,2,-103,management,married,tertiary,no,no,no,cellular,aug,unknown,1,unpref
0,17,0,2,4,-1468,blue-collar,single,secondary,no,no,no,cellular,feb,unknown,1,unpref
0,104,0,22,8,-1230,management,married,tertiary,no,no,no,cellular,feb,unknown,1,unpref
0,770,3,27,1,2508,management,married,tertiary,no,yes,no,cellular,apr,unknown,unpriv,yes
0,0,41,27,1,-3911,unemployed,single,tertiary,no,no,no,cellular,jan,success,unpriv,unpref
