age,juv_fel_count,decile_score,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,jail_days,offense_to_jail_days,c_days_from_compas,sex,age_cat,c_charge_degree,race,two_year_recid
28,0,4,0,0,0,2.00238037109375,53.212852478027344,-25.78964233398437,0.8849388360977173,Male,25 - 45,F,unpriv,0
36,0,8,0,0,11,2.378875732421875,0.5925840139389038,53.50924682617188,6.013051509857178,Male,25 - 45,F,unpriv,unpref
50,0,8,0,0,2,20.2169189453125,6.841460704803467,71.40606689453125,9.814096450805664,Female,Greater than 45,M,unpriv,unpref
21,0,5,0,0,0,1.482177734375,4.438200950622559,-69.28549194335938,0.9832905530929564,Male,Less than 25,F,unpriv,unpref
68,0,1,0,0,0,-2.1358642578125,-0.8567476868629456,-2.4773254394531246,0.4301187992095947,Male,Greater than 45,M,Caucasian,0
22,0,5,0,0,0,-2.4658203125,0.0713413953781127,12.668731689453121,6.100978851318359,Female,Less than 25,F,unpriv,0
49,0,1,0,0,0,-0.98370361328125,-0.9983012676239014,13.17724609375,0.6048403978347777,Male,25 - 45,M,Caucasian,unpref
57,0,1,0,0,0,-2.084259033203125,10.474468231201172,-7.574859619140625,0.0043057203292846,Male,Greater than 45,M,Caucasian,0
24,0,5,0,0,0,-0.602264404296875,19.14765930175781,26.55523681640625,1.0970522165298462,Male,Less than 25,F,unpriv,0
22,0,3,0,0,0,1.74835205078125,-0.9050945043563844,-2.117919921875,8.747410774230957,Male,Less than 25,M,unpriv,0
35,0,4,0,0,2,-0.49725341796875,9.38330078125,10.388824462890623,5.754708290100098,Male,25 - 45,M,Caucasian,unpref
22,0,8,0,0,1,2.565185546875,-0.2532730102539062,4.064666748046875,2.29086971282959,Male,Less than 25,F,unpriv,unpref
30,0,1,0,0,2,-0.615814208984375,-0.7957944869995117,21.18661499023437,1.8124816417694087,Male,25 - 45,M,unpriv,unpref
41,0,6,0,0,13,21.3607177734375,2.952056169509888,33.6971435546875,7.215254306793214,Male,25 - 45,F,Caucasian,unpref
23,0,8,0,0,4,-6.283843994140625,-0.9496415257453918,7.756561279296875,1.4000389575958252,Male,Less than 25,F,unpriv,unpref
55,0,2,0,0,0,4.475250244140625,9.869450569152832,240.07269287109372,758.8972778320312,Male,Greater than 45,M,Caucasian,unpref
30,4,9,0,0,12,138.6641845703125,80.33450317382812,-23.220977783203125,0.0,Male,25 - 45,F,unpriv,unpref
38,0,1,0,0,0,11.104156494140623,-0.4070753455162048,10.247985839843752,2.4252536296844474,Female,25 - 45,M,Caucasian,0
22,0,6,0,0,3,-18.494903564453125,-0.4918555021286011,-138.21763610839844,0.0,Male,Less than 25,F,unpriv,0
29,0,4,0,2,1,12.901275634765623,0.1074171066284179,-45.69102478027344,2.788067102432251,Male,25 - 45,M,unpriv,0
46,0,1,0,0,0,3.14324951171875,24.883272171020504,-0.962188720703125,0.0593736171722412,Male,Greater than 45,M,unpriv,0
43,0,9,0,0,7,-75.11483764648438,86.93228912353516,-66.82351684570312,2.0404582023620605,Male,25 - 45,F,unpriv,unpref
27,0,8,0,0,4,-2.41259765625,-0.8762160539627075,23.058349609375,0.0018129348754881997,Male,25 - 45,F,unpriv,unpref
57,0,4,0,0,5,-34.2769775390625,222.70790100097656,253.29376220703125,192.01835632324222,Male,Greater than 45,F,unpriv,0
23,0,6,0,0,2,4.86279296875,48.61393737792969,-9.420684814453123,0.1747215986251831,Male,Less than 25,M,unpriv,unpref
62,0,1,0,0,0,6.42840576171875,-0.7334107756614685,159.25131225585938,0.7244940996170044,Male,Greater than 45,M,Caucasian,unpref
23,0,8,0,0,2,9.1370849609375,74.02513885498047,41.56634521484375,119.7536392211914,Male,Less than 25,M,unpriv,unpref
29,0,1,0,0,0,12.319427490234377,-0.9516978859901428,26.3731689453125,0.8996689319610596,Male,25 - 45,M,Caucasian,0
52,0,4,0,0,0,-231.7075958251953,0.0156631469726562,94.63311767578124,2.6933412551879883,Male,Greater than 45,F,Caucasian,unpref
24,0,1,0,0,0,-82.29421997070312,4.755685329437256,30.609588623046875,16.923521041870117,Male,Less than 25,M,unpriv,unpref
22,0,6,0,0,0,-5.038360595703125,6.354929924011231,0.48040771484375,0.264688491821289,Male,Less than 25,M,Caucasian,unpref
