age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
36,431738,9,0,0,39,Private,Some-college,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
51,79798,14,0,0,60,Local-gov,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
33,258956,10,0,0,40,Private,Some-college,Married-civ-spouse,Adm-clerical,Unmarried,Black,United-States,unpriv,unpref
25,113185,9,0,0,47,Private,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,unpriv,unpref
29,111541,10,0,0,21,Private,Some-college,Married-civ-spouse,Other-service,Husband,White,United-States,Male,unpref
20,137490,10,0,0,39,Private,Some-college,Never-married,Adm-clerical,Not-in-family,White,United-States,Male,unpref
17,224377,9,0,0,40,Private,HS-grad,Married-civ-spouse,Handlers-cleaners,Own-child,White,United-States,Male,unpref
36,62653,9,4236,0,50,Self-emp-not-inc,Bachelors,Married-civ-spouse,Machine-op-inspct,Husband,White,Mexico,Male,>50K
36,347289,4,0,0,30,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,unpriv,unpref
59,231482,9,0,0,39,Private,Bachelors,Divorced,Sales,Not-in-family,White,Mexico,unpriv,unpref
32,209425,8,0,0,49,Private,HS-grad,Married-civ-spouse,Machine-op-inspct,Husband,White,United-States,Male,unpref
51,259986,12,0,0,13,Private,Bachelors,Married-civ-spouse,Prof-specialty,Wife,White,United-States,unpriv,>50K
51,441042,12,14648,1927,39,Self-emp-inc,HS-grad,Widowed,Exec-managerial,Own-child,Black,Mexico,unpriv,>50K
38,36247,13,0,0,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
42,169692,12,0,0,51,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
17,199121,4,0,0,24,Private,Some-college,Never-married,Other-service,Own-child,White,United-States,Male,unpref
19,216303,9,0,0,40,Private,Some-college,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male,unpref
30,20506,8,0,0,16,Private,10th,Married-civ-spouse,Other-service,Husband,White,United-States,unpriv,unpref
50,210342,9,0,0,47,Private,Some-college,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
24,103972,7,0,0,42,Private,11th,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
56,148296,9,0,0,35,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
45,277940,12,0,0,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,unpref
18,180112,13,0,0,45,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,United-States,unpriv,unpref
45,333071,10,0,0,50,Private,Some-college,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
45,42774,8,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
27,125649,10,0,0,22,Private,Some-college,Never-married,Sales,Own-child,White,United-States,unpriv,unpref
39,241591,10,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
56,153734,8,0,0,38,Self-emp-not-inc,HS-grad,Widowed,Other-service,Not-in-family,White,United-States,Male,unpref
36,147818,8,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
58,205986,8,0,0,18,Self-emp-not-inc,HS-grad,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
54,161460,9,0,0,39,Private,HS-grad,Divorced,Machine-op-inspct,Unmarried,White,United-States,unpriv,unpref
39,128446,10,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
38,180469,10,0,0,40,Local-gov,Some-college,Married-civ-spouse,Adm-clerical,Wife,Black,United-States,unpriv,>50K
25,393404,16,0,0,39,Self-emp-not-inc,Bachelors,Married-civ-spouse,Prof-specialty,Husband,Black,Portugal,Male,>50K
40,211112,10,0,0,35,Private,Some-college,Never-married,Sales,Own-child,White,United-States,unpriv,unpref
25,335792,8,0,0,39,Private,11th,Never-married,Other-service,Own-child,White,United-States,Male,unpref
38,118907,10,0,0,35,Private,Some-college,Divorced,Adm-clerical,Not-in-family,White,Mexico,unpriv,unpref
28,137046,8,0,0,39,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
20,424649,8,0,0,16,Private,HS-grad,Never-married,Other-service,Unmarried,White,United-States,unpriv,unpref
32,235986,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
48,303274,12,6240,1938,53,Self-emp-inc,Bachelors,Never-married,Adm-clerical,Husband,Black,Mexico,unpriv,>50K
32,361159,9,0,0,39,Private,HS-grad,Married-civ-spouse,Adm-clerical,Husband,White,United-States,Male,unpref
51,250157,9,0,0,33,Private,HS-grad,Widowed,Other-service,Not-in-family,White,United-States,unpriv,unpref
32,241357,6,0,0,39,Private,Masters,Married-civ-spouse,Prof-specialty,Husband,White,United-States,unpriv,unpref
37,183660,9,0,0,40,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
22,216507,5,0,0,40,Private,Masters,Never-married,Prof-specialty,Not-in-family,White,United-States,unpriv,unpref
35,191437,12,0,0,39,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
39,220281,9,4061,1922,44,Self-emp-not-inc,Assoc-voc,Married-civ-spouse,Exec-managerial,Husband,White,Germany,Male,>50K
27,375242,9,0,0,40,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,Philippines,Male,unpref
18,154074,7,0,0,12,Private,11th,Never-married,Other-service,Own-child,White,United-States,unpriv,unpref
