age,fnlwgt,education-num,capital-gain,capital-loss,hours-per-week,workclass,education,marital-status,occupation,relationship,race,native-country,sex,income
47,93832,6,0,0,39,Private,Bachelors,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,>50K
51,266550,8,0,0,53,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,>50K
25,401521,9,0,0,46,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Mexico,Male,unpref
29,214134,13,0,0,38,Private,Bachelors,Married-civ-spouse,Exec-managerial,Wife,White,United-States,unpriv,>50K
18,392514,9,0,0,40,Private,HS-grad,Never-married,Machine-op-inspct,Not-in-family,Black,United-States,Male,unpref
47,56241,10,0,0,34,Self-emp-not-inc,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
34,400561,9,0,0,40,Private,HS-grad,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
20,106586,12,0,0,35,Private,HS-grad,Married-civ-spouse,Sales,Other-relative,White,United-States,unpriv,unpref
28,400816,12,0,0,40,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,United-States,Male,>50K
38,98461,13,0,0,49,Private,Masters,Married-civ-spouse,Prof-specialty,Not-in-family,White,United-States,unpriv,>50K
35,124820,10,0,0,36,Private,Some-college,Never-married,Sales,Unmarried,White,United-States,unpriv,unpref
21,146402,13,0,0,39,Private,Bachelors,Never-married,Prof-specialty,Not-in-family,White,United-States,Male,unpref
48,83879,10,0,0,50,Private,Some-college,Married-civ-spouse,Craft-repair,Husband,White,United-States,Male,unpref
40,278608,2,0,0,39,Private,11th,Never-married,Machine-op-inspct,Not-in-family,White,Mexico,Male,unpref
37,168603,8,0,0,40,Private,Some-college,Never-married,Adm-clerical,Not-in-family,Black,United-States,unpriv,unpref
17,80570,10,0,0,26,Private,Assoc-voc,Never-married,Other-service,Not-in-family,White,United-States,Male,unpref
39,242202,10,0,0,39,Private,Some-college,Never-married,Other-service,Not-in-family,Black,United-States,unpriv,unpref
39,112448,9,0,0,34,Private,HS-grad,Married-civ-spouse,Other-service,Wife,White,United-States,unpriv,unpref
27,175790,8,0,0,17,Private,HS-grad,Never-married,Craft-repair,Own-child,White,United-States,Male,unpref
20,138830,8,0,0,39,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,United-States,Male,unpref
38,213737,9,6719,0,25,Private,HS-grad,Married-civ-spouse,Prof-specialty,Husband,White,United-States,Male,>50K
