,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.654,-0.537,-0.037,-0.012,0.092,0.802,0.701,0.883,0.822
1,sample_data_adult_tab_split_60_0_7.csv,0.392,-0.314,0.058,0.154,0.135,0.634,0.597,0.815,0.742
2,sample_data_adult_tab_split_60_0_8.csv,0.232,-0.21,0.095,0.202,0.137,0.55,0.62,0.78,0.727
3,sample_data_adult_tab_split_60_0_9.csv,0.145,-0.108,0.123,0.222,0.145,0.595,0.572,0.798,0.722
4,sample_data_FAIRGAN_gender_0_3_0.csv,0.661,-0.718,-0.229,-0.305,0.157,0.486,0.561,0.745,0.683
5,sample_data_FAIRGAN_gender_0_6_0.csv,0.586,-0.158,-0.052,-0.041,0.286,0.2,0.061,0.707,0.49
6,sample_data_FAIRGAN_gender_1_3_0.csv,0.046,0.116,0.034,0.048,0.105,0.231,0.753,0.317,0.463
7,sample_data_FAIRGAN_gender_1_6_0.csv,0.041,0.085,-0.033,-0.091,0.158,0.217,0.579,0.38,0.446
8,sample_data_FAIRGAN_gender_2_3_0.csv,0.27,-0.576,-0.108,-0.092,0.071,0.361,0.949,0.572,0.699
9,sample_data_FAIRGAN_gender_2_6_0.csv,0.174,-0.244,-0.085,-0.123,0.183,0.305,0.524,0.588,0.567
10,sample_data_FAIRGAN_gender_3_3_0.csv,0.28,0.378,0.074,-0.007,0.23,0.245,0.362,0.566,0.498
11,sample_data_FAIRGAN_gender_4_3_0.csv,0.096,-0.238,-0.062,-0.073,0.077,0.28,0.899,0.402,0.568
12,sample_data_FAIRGAN_gender_5_3_0.csv,0.189,-0.493,-0.124,-0.097,0.068,0.28,0.925,0.393,0.572
13,sample_data_FAIRGAN_gender_6_3_0.csv,0.267,-0.256,-0.085,-0.147,0.187,0.397,0.469,0.692,0.617
14,sample_data_adult_tab_split_60_0_0.csv,0.154,-0.119,0.098,0.169,0.149,0.576,0.569,0.79,0.716
15,sample_data_adult_tab_split_60_0_1.csv,0.356,-0.268,0.056,0.137,0.142,0.623,0.56,0.807,0.724
16,sample_data_adult_tab_split_60_0_2.csv,0.29,-0.209,0.097,0.205,0.144,0.636,0.56,0.812,0.727
17,sample_data_adult_tab_split_60_0_3.csv,0.284,-0.255,0.073,0.155,0.127,0.59,0.647,0.801,0.75
18,sample_data_adult_tab_split_60_0_4.csv,0.304,-0.219,0.071,0.145,0.143,0.641,0.561,0.813,0.729
19,sample_data_adult_tab_split_60_0_5.csv,0.235,-0.175,0.113,0.227,0.141,0.619,0.574,0.807,0.729
20,sample_data_adult_tab_split_60_0_6.csv,0.298,-0.247,0.062,0.127,0.131,0.617,0.624,0.811,0.748
21,sample_data_0_90_0.csv,0.624,-0.560683314,-0.089277486,-0.079022837,0.136160881,0.62,0.601,0.81,0.74
22,sample_data_0_91_0.csv,0.603,-0.514486386,-0.079315966,-0.071021701,0.141222365,0.618,0.574,0.806,0.728
23,sample_data_0_92_0.csv,0.583,-0.48712051,-0.064522679,-0.053053637,0.13733061,0.635,0.581,0.813,0.736
24,sample_data_0_93_0.csv,0.569,-0.487191929,-0.064451674,-0.052839855,0.136692491,0.623,0.588,0.81,0.736
25,sample_data_0_94_0.csv,0.543,-0.414932427,-0.042688418,-0.025467523,0.149327741,0.633,0.538,0.808,0.718
26,sample_data_0_95_0.csv,0.519,-0.418907181,-0.024941923,0.010778106,0.141155192,0.633,0.575,0.812,0.732
27,sample_data_0_96_0.csv,0.589,-0.491839734,-0.053978703,-0.02451828,0.139650953,0.634,0.579,0.813,0.734
28,sample_data_0_97_0.csv,0.557,-0.463955896,-0.042689602,-0.00855446,0.139840356,0.623,0.575,0.809,0.73
29,sample_data_0_98_0.csv,0.539,-0.408616323,-0.02107072,0.020216975,0.14531225,0.646,0.546,0.813,0.724
30,sample_data_0_99_0.csv,0.524,-0.399739871,-0.02202439,0.017608442,0.150323496,0.629,0.538,0.807,0.717
31,sample_data_1_90_0.csv,0.608,-0.465651017,-0.06283079,-0.060594163,0.136589,0.677,0.563,0.825,0.737
32,sample_data_1_91_0.csv,0.622,-0.41181904,-0.057700277,-0.055170707,0.157021716,0.676,0.484,0.815,0.704
33,sample_data_1_92_0.csv,0.7,-0.503350396,-0.10960443,-0.149151169,0.144799702,0.702,0.528,0.827,0.727
34,sample_data_1_93_0.csv,0.612,-0.466958396,-0.067004215,-0.06635635,0.141402111,0.668,0.552,0.821,0.731
35,sample_data_1_94_0.csv,0.691,-0.532036768,-0.116181463,-0.15039009,0.144478099,0.669,0.541,0.82,0.726
36,sample_data_1_95_0.csv,0.692,-0.512548558,-0.105378509,-0.134168162,0.145054228,0.687,0.533,0.824,0.727
37,sample_data_1_96_0.csv,0.642,-0.471332247,-0.080539995,-0.093413922,0.144783238,0.678,0.533,0.822,0.725
38,sample_data_1_97_0.csv,0.732,-0.551658259,-0.122844419,-0.156044468,0.145733734,0.683,0.531,0.823,0.725
39,sample_data_1_98_0.csv,0.675,-0.580241886,-0.116624871,-0.134518797,0.13439247,0.642,0.583,0.816,0.738
40,sample_data_1_99_0.csv,0.706,-0.531424885,-0.11254094,-0.144765329,0.142461218,0.691,0.542,0.826,0.731
41,sample_data_2_90_0.csv,0.5,-0.320994416,-0.028812347,-0.025168167,0.162323595,0.651,0.473,0.807,0.695
42,sample_data_2_91_0.csv,0.659,-0.572130476,-0.110460821,-0.121487986,0.137826078,0.63,0.582,0.812,0.735
43,sample_data_2_92_0.csv,0.486,-0.338245853,-0.002698658,0.042064182,0.158022695,0.633,0.501,0.805,0.703
44,sample_data_2_93_0.csv,0.369,-0.275698582,0.022416937,0.062752155,0.147268955,0.618,0.548,0.804,0.718
45,sample_data_2_94_0.csv,0.514,-0.358870519,-0.028126445,-0.009419419,0.156078636,0.636,0.5,0.805,0.703
46,sample_data_2_95_0.csv,0.508,-0.382799128,-0.026257761,-0.006788753,0.141374869,0.648,0.551,0.815,0.726
47,sample_data_2_96_0.csv,0.505,-0.392367795,-0.010901075,0.034133039,0.141301418,0.639,0.56,0.813,0.728
48,sample_data_2_97_0.csv,0.569,-0.471095713,-0.039652491,0.00875294,0.144752765,0.61,0.556,0.802,0.719
49,sample_data_2_98_0.csv,0.434,-0.321474774,0.02849895,0.098326137,0.144991726,0.636,0.546,0.81,0.721
50,sample_data_2_99_0.csv,0.489,-0.348468349,-0.034373863,-0.032679973,0.15501819,0.634,0.514,0.806,0.708
51,sample_data_naive2_adult-VGAN-norm_sex_1.csv,0.597,-0.256,0.02,0.083,0.183,0.752,0.352,0.811,0.657
52,sample_data_naive2_adult-VGAN-norm_sex_2.csv,0.7,-0.404,-0.055,-0.051,0.161,0.744,0.45,0.825,0.699
53,sample_data_naive2_adult-VGAN-norm_sex_3.csv,0.648,-0.297,-0.019,0.005,0.181,0.76,0.372,0.815,0.667
54,sample_data_naive2_adult-VGAN-norm_sex_4.csv,0.703,-0.368,-0.048,-0.04,0.171,0.75,0.409,0.82,0.682
55,sample_data_naive2_adult-VGAN-norm_sex_5.csv,0.691,-0.377,-0.049,-0.039,0.17,0.725,0.415,0.816,0.682
56,sample_data_naive2_adult-VGAN-norm_sex_6.csv,0.712,-0.351,-0.055,-0.06,0.177,0.748,0.384,0.815,0.67
57,Base,0.021,-0.017,0.15,0.227,0.119,0.521,0.709,0.766,0.747
58,Base,0.068,0.076,0.157,0.194,0.113,0.512,0.74,0.761,0.754
59,Base,0.047,0.051,0.161,0.219,0.117,0.514,0.722,0.762,0.749
60,Base,0.041,0.05,0.136,0.158,0.109,0.485,0.769,0.741,0.75
61,Base,0.046,0.053,0.157,0.204,0.112,0.503,0.754,0.754,0.754
62,Base,0.063,0.066,0.175,0.245,0.12,0.525,0.711,0.769,0.75
63,sample_data_adult-VGAN-gmm-FAIR-SWAP-0.csv,0.698,-0.629,-0.121,-0.114,0.14,0.61,0.576,0.804,0.727
64,sample_data_adult-VGAN-gmm-FAIR-SWAP-1.csv,0.678,-0.605,-0.104,-0.088,0.138,0.618,0.581,0.807,0.732
65,sample_data_adult-VGAN-gmm-FAIR-SWAP-2.csv,0.71,-0.654,-0.132,-0.133,0.137,0.615,0.59,0.807,0.734
66,sample_data_adult-VGAN-gmm-nofair-FAIR-SWAP-1.csv,0.569,-0.426,-0.046,-0.033,0.143,0.664,0.547,0.819,0.728
67,sample_data_adult-VGAN-gmm-nofair-FAIR-SWAP-2.csv,0.628,-0.506,-0.073,-0.062,0.141,0.648,0.563,0.816,0.731
