,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.648,-0.527,-0.034,-0.011,0.092,0.808,0.702,0.885,0.823
1,sample_data_parallel_adult-fairgan_sex_1.csv,0.176,-0.386,-0.053,-0.023,0.079,0.328,0.913,0.515,0.648
2,sample_data_parallel_adult-fairgan_sex_2.csv,0.751,-1.583,-0.482,-0.504,0.097,0.394,0.849,0.639,0.709
3,sample_data_parallel_adult-fairgan_sex_3.csv,0.416,-0.726,-0.179,-0.188,0.111,0.393,0.79,0.644,0.693
4,sample_data_parallel_adult-fairgan_sex_4.csv,0.477,-0.815,-0.167,-0.098,0.127,0.376,0.736,0.631,0.666
5,sample_data_parallel_adult-fairgan_sex_5.csv,0.613,-1.013,-0.229,-0.171,0.119,0.418,0.748,0.679,0.702
6,sample_data_parallel_adult-fairgan_sex_6.csv,0.268,-0.561,-0.118,-0.092,0.093,0.333,0.858,0.538,0.646
7,sample_data_parallel_adult-tabfairgan_sex_1.csv,0.055,0.065,0.155,0.19,0.108,0.5,0.771,0.753,0.759
8,sample_data_parallel_adult-tabfairgan_sex_2.csv,0.036,0.042,0.154,0.205,0.115,0.497,0.746,0.75,0.749
9,sample_data_parallel_adult-tabfairgan_sex_3.csv,0.065,0.092,0.139,0.145,0.099,0.454,0.827,0.711,0.75
10,sample_data_parallel_adult-tabfairgan_sex_4.csv,0.084,0.11,0.16,0.188,0.106,0.469,0.786,0.727,0.747
11,sample_data_parallel_adult-tabfairgan_sex_5.csv,0.076,0.097,0.155,0.184,0.11,0.474,0.771,0.732,0.745
12,sample_data_parallel_adult-tabfairgan_sex_6.csv,0.084,0.105,0.164,0.202,0.112,0.478,0.758,0.735,0.743
13,sample_data_parallel_adult-VGAN-gmm_sex_1.csv,0.004,-0.004,0.134,0.18,0.116,0.521,0.719,0.767,0.751
14,sample_data_parallel_adult-VGAN-norm_sex_1.csv,0.028,-0.022,0.177,0.301,0.135,0.593,0.607,0.8,0.735
15,sample_data_parallel_adult-VGAN-norm_sex_2.csv,0.025,-0.02,0.16,0.254,0.13,0.581,0.636,0.796,0.742
16,sample_data_parallel_adult-VGAN-norm_sex_3.csv,0.099,-0.096,0.132,0.217,0.12,0.55,0.697,0.784,0.754
17,sample_data_parallel_adult-VGAN-norm_sex_4.csv,0.09,-0.082,0.139,0.231,0.124,0.566,0.67,0.791,0.75
18,sample_data_parallel_adult-VGAN-norm_sex_5.csv,0.064,-0.055,0.139,0.219,0.128,0.575,0.648,0.794,0.745
19,sample_data_parallel_adult-VGAN-norm_sex_6.csv,0.036,-0.03,0.152,0.236,0.125,0.583,0.653,0.798,0.749
20,sample_data_parallel_adult-WGAN-gmm_sex_1.csv,0.039,0.041,0.161,0.228,0.122,0.513,0.7,0.761,0.741
21,sample_data_parallel_adult-WGAN-gmm_sex_2.csv,0.017,0.017,0.145,0.198,0.121,0.523,0.699,0.767,0.744
22,sample_data_parallel_adult-WGAN-gmm_sex_3.csv,0.011,-0.002,0.137,0.18,0.113,0.518,0.742,0.765,0.757
23,sample_data_parallel_adult-WGAN-gmm_sex_4.csv,0.026,0.026,0.152,0.21,0.123,0.523,0.7,0.767,0.745
24,sample_data_parallel_adult-WGAN-gmm_sex_5.csv,0.039,0.044,0.145,0.189,0.118,0.489,0.726,0.744,0.738
25,sample_data_parallel_adult-WGAN-gmm_sex_6.csv,0.046,0.049,0.156,0.209,0.117,0.511,0.72,0.76,0.747
26,sample_data_parallel_adult-WGAN-norm_sex_1.csv,0.204,-0.237,0.068,0.126,0.109,0.523,0.762,0.769,0.767
27,sample_data_parallel_adult-VGAN-gmm_sex_2.csv,0.009,-0.005,0.144,0.202,0.121,0.56,0.688,0.789,0.755
28,sample_data_parallel_adult-VGAN-gmm_sex_3.csv,0.017,-0.017,0.135,0.182,0.117,0.549,0.712,0.784,0.76
29,sample_data_parallel_adult-WGAN-norm_sex_2.csv,0.325,-0.362,0.04,0.122,0.114,0.542,0.73,0.78,0.763
30,sample_data_parallel_adult-WGAN-norm_sex_3.csv,0.224,-0.224,0.088,0.174,0.121,0.555,0.692,0.786,0.755
31,sample_data_parallel_adult-VGAN-ordi-gmm_sex_1.csv,0.115,-0.107,0.073,0.081,0.121,0.566,0.681,0.792,0.755
32,sample_data_parallel_adult-VGAN-ordi-gmm_sex_2.csv,0.017,-0.018,0.092,0.087,0.119,0.517,0.709,0.764,0.746
33,sample_data_parallel_adult-VGAN-ordi-gmm_sex_3.csv,0.013,-0.016,0.083,0.062,0.105,0.479,0.783,0.736,0.752
34,sample_data_parallel_adult-VGAN-ordi-norm_sex_1.csv,0.856,-1.348,-0.426,-0.522,0.101,0.512,0.789,0.762,0.771
35,sample_data_parallel_adult-VGAN-ordi-norm_sex_2.csv,0.821,-1.141,-0.359,-0.46,0.11,0.539,0.744,0.779,0.767
36,sample_data_parallel_adult-VGAN-ordi-norm_sex_3.csv,0.842,-1.202,-0.385,-0.488,0.114,0.523,0.735,0.768,0.757
