,FAIRGAN,Original,TABFAIRGAN,VGAN-gmm,VGAN-norm,VGAN-ordi-gmm,VGAN-ordi-norm,WGAN-gmm,WGAN-norm
DI,0.2834,0.65,0.2716,0.7241904761904762,0.6988,0.7401666666666666,0.8161666666666667,0.5787666666666667,0.7122666666666666
Stat Par,0.3295422594,0.532130861,0.2145478029,0.5808875266933453,0.3368324802,0.47891868469348053,0.41091309202441845,0.4485546876,0.17591184523530518
Avg Odds,0.0852244901,0.034008214,0.0848560709,0.17850168036299546,0.08355313473333334,0.15006930549890365,0.13150461851390707,0.05961369393333334,0.051759524845997114
Eq Opp,0.09475946040000001,0.008541284,0.1753694041,0.2441064147888489,0.10322671259999999,0.2264766166590535,0.19668144509520735,0.06497425746666667,0.07492268292842962
Theil,0.1547416563,0.09094325,0.1386106796,0.16837555022362583,0.20767232733333335,0.17615753961178804,0.19503745607117132,0.14475635926666666,0.24641697357490724
prec,0.3009,0.805,0.6094,0.5894285714285714,0.6628000000000001,0.6511666666666667,0.7053333333333334,0.6467333333333334,0.40647058823529414
rec,0.5991,0.703,0.5896,0.4727619047619048,0.29313333333333336,0.41850000000000004,0.3348333333333333,0.5472,0.1428235294117647
acc,0.5402,0.884,0.8041,0.7855238095238095,0.7757333333333334,0.7988333333333334,0.7933333333333333,0.8133,0.7655882352941177
bal_acc,0.5599000000000001,0.823,0.7323,0.6804285714285714,0.6138,0.6711666666666667,0.6396666666666667,0.7240666666666666,0.5568823529411765
var,1.0792105417,0.807264651,0.7780172397,0.8296662501580995,0.8313787039333334,0.46611630013387284,0.5431909690478518,0.8195253438000001,1.0122180401252847
all var,0.6974566885529129,0.0,0.7763949582330083,0.7609387525808718,0.7853170919086848,0.40452894793360733,0.49035702444847157,0.8091403235847905,0.6808786840670239
DI_sem,0.0765904258594593,,0.021962695645116062,0.04459439528352132,0.03202368171332257,0.08253379779083099,0.018803220764302873,0.015852530407052166,0.06388408153065889
Stat Par_sem,0.06501350417055013,,0.017866860235164986,0.0505325458937393,0.07699571079504955,0.10272910146870948,0.09349825528013585,0.014978620832047634,0.05393986085418637
Avg Odds_sem,0.01784439566704493,,0.007200243940575849,0.018759307569752696,0.024810813168113614,0.038414020842546026,0.028283706313617932,0.00669604762012258,0.01990698390584529
Eq Opp_sem,0.02365453511726454,,0.01136913451360345,0.029068361570739287,0.025425427955257478,0.055717063221014884,0.03963099133798609,0.00907994425203541,0.03272827333816052
Theil_sem,0.02310380657753423,,0.0019043546963975558,0.005338431136811744,0.0075717796555139945,0.014340904648807409,0.013456755154053984,0.0012954420150849196,0.012899018316252968
prec_sem,0.028786358652049836,,0.008559854619741571,0.017880765327789604,0.03348179320452351,0.020058940926956016,0.04120652591250297,0.004604578763998903,0.0716177104722512
rec_sem,0.08911259419658056,,0.010001333244456302,0.0205117741753022,0.033738471281971924,0.05919276419743662,0.061242913422243764,0.005696823071102729,0.04890561402380081
acc_sem,0.04821359881932803,,0.003267516896156258,0.006447080936959751,0.01186570354572035,0.00785458111196545,0.008845588982337145,0.001316692128373033,0.007509826319528368
bal_acc_sem,0.027625853430758983,,0.0034255575377512603,0.009354797961365024,0.010918398626695617,0.024174941112188448,0.022938565294668683,0.0021231798605644706,0.02114530999886492
var_sem,0.17060224543829366,,0.0024861513085367615,0.013928659617022525,0.01589122028490687,0.012535271058513184,0.015394478293216215,0.007363697349438821,0.045398662704882006
