,FAIRGAN,Original,TABFAIRGAN,VGAN-gmm,VGAN-norm,WGAN-gmm,WGAN-norm
DI,0.2834,0.65,0.2716,0.735,0.6947,0.6065555555555555,0.7343333333333333
Stat Par,0.32954225930852626,0.5321308614080138,0.21454780291853792,0.6046454651310429,0.39837079829517846,0.3704018540395555,0.13925547465526994
Avg Odds,0.08522449009383008,0.0340082143879804,0.08485607078209273,0.20005916630228393,0.09842750252197702,0.05741068862119693,0.04066783248796338
Eq Opp,0.09475946033065163,0.0085412835688074,0.17536940413808705,0.2725972858090543,0.11261200636804443,0.0754875141206281,0.05810643391706673
Theil,0.15474165620509572,0.0909432497121226,0.13861067954763379,0.17085489627150158,0.2012604719974401,0.1697060653187631,0.25585686362607096
prec,0.3009,0.805,0.6094,0.5710000000000001,0.638,0.6537777777777778,0.4025
rec,0.5991,0.703,0.5896,0.46977777777777774,0.3268,0.4451111111111111,0.1086
acc,0.5402,0.884,0.8041,0.7773333333333334,0.7704,0.8025555555555556,0.7595
bal_acc,0.5599000000000001,0.823,0.7323,0.6739999999999999,0.6214999999999999,0.6826666666666666,0.5414
var,1.079210541760616,0.8072646511225379,0.7780172396534029,0.8288998408417987,0.8213853352744154,0.8600794228703518,0.9886348631810222
all var,0.6974566885529129,0.0,0.7763949582330083,0.7671802104373275,0.7866628766106581,0.818599737039943,0.6632008989820489
DI_sem,0.0765904258594593,,0.021962695645116062,0.09058697478114612,0.028035711353755793,0.03933196011413306,0.0729181428422005
Stat Par_sem,0.06501350419741635,,0.017866860241259854,0.0887816731262851,0.11090985275033537,0.046040207664983596,0.05817156640899211
Avg Odds_sem,0.017844395660111406,,0.007200243958954712,0.02465362305764408,0.03604010493795091,0.01332173290280437,0.0208748699445968
Eq Opp_sem,0.02365453511260181,,0.011369134543180278,0.04078153191863904,0.036026668144411196,0.017483296500720228,0.03426028948763497
Theil_sem,0.023103806526317335,,0.001904354700167302,0.008443842981965958,0.010101508645977033,0.013518251448459535,0.014729480050932393
prec_sem,0.028786358652049836,,0.008559854619741571,0.029758752213984604,0.047916594202843756,0.018029125955410303,0.09636657442633657
rec_sem,0.08911259419658056,,0.010001333244456302,0.032935871097304704,0.04498834416947473,0.05485421194312463,0.054999838383600924
acc_sem,0.04821359881932803,,0.003267516896156258,0.011472188592902022,0.017627755891711727,0.006362020798612287,0.009096091956927932
bal_acc_sem,0.027625853430758983,,0.0034255575377512603,0.014891272611835427,0.01438305329970735,0.022337064364961762,0.02403663870011779
var_sem,0.17060224548791453,,0.0024861512605829487,0.024501859981273338,0.020190909047816175,0.029019807001693307,0.06013754406980914
