,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.653,0.531,0.031,0.002,0.092,0.807,0.7,0.884,0.822,Original
Base,Base,0.017,0.011,0.18,0.305,0.136,0.595,0.599,0.8,0.733,Base
Base,Base,0.028,0.023,0.156,0.245,0.128,0.586,0.641,0.799,0.746,Base
Base,Base,0.104,0.101,0.13,0.214,0.119,0.556,0.698,0.787,0.757,Base
.1,sample_data_parallel_adult-VGAN-norm-n-.1_sex_1.csv,0.355,0.258,0.066,0.15,0.139,0.655,0.567,0.819,0.734,sample_data_parallel_adult-VGAN-norm-n-.1_sex
.1,sample_data_parallel_adult-VGAN-norm-n-.1_sex_2.csv,0.536,0.425,0.007,0.08,0.129,0.678,0.6,0.83,0.753,sample_data_parallel_adult-VGAN-norm-n-.1_sex
.1,sample_data_parallel_adult-VGAN-norm-n-.1_sex_3.csv,0.558,0.448,0.006,0.061,0.13,0.671,0.596,0.827,0.75,sample_data_parallel_adult-VGAN-norm-n-.1_sex
.25,sample_data_parallel_adult-VGAN-norm-n-.25_sex_1.csv,0.114,0.087,0.153,0.272,0.133,0.619,0.61,0.81,0.743,sample_data_parallel_adult-VGAN-norm-n-.25_sex
.25,sample_data_parallel_adult-VGAN-norm-n-.25_sex_2.csv,0.156,0.119,0.133,0.242,0.136,0.615,0.6,0.808,0.738,sample_data_parallel_adult-VGAN-norm-n-.25_sex
.25,sample_data_parallel_adult-VGAN-norm-n-.25_sex_3.csv,0.156,0.114,0.125,0.219,0.136,0.633,0.592,0.814,0.74,sample_data_parallel_adult-VGAN-norm-n-.25_sex
.5,sample_data_parallel_adult-VGAN-norm-n-.5_sex_1.csv,0.051,0.041,0.155,0.252,0.128,0.595,0.636,0.803,0.747,sample_data_parallel_adult-VGAN-norm-n-.5_sex
.5,sample_data_parallel_adult-VGAN-norm-n-.5_sex_2.csv,0.068,0.07,0.13,0.2,0.116,0.529,0.715,0.772,0.753,sample_data_parallel_adult-VGAN-norm-n-.5_sex
.5,sample_data_parallel_adult-VGAN-norm-n-.5_sex_3.csv,0.058,0.052,0.142,0.224,0.124,0.563,0.673,0.789,0.75,sample_data_parallel_adult-VGAN-norm-n-.5_sex
