,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.656,0.535,0.034,0.009,0.091,0.809,0.703,0.885,0.824,Original
Base,Base,0.015,0.011,0.181,0.308,0.136,0.592,0.6,0.798,0.732,Base
Base,Base,0.043,0.036,0.154,0.246,0.128,0.581,0.641,0.797,0.744,Base
Base,Base,0.089,0.086,0.136,0.221,0.119,0.557,0.696,0.787,0.757,Base
0,sample_data_parallel_adult-VGAN-norm-b-0_sex_1.csv,0.04,0.009,0.191,0.326,0.145,0.622,0.556,0.806,0.722,sample_data_parallel_adult-VGAN-norm-b-0_sex
0,sample_data_parallel_adult-VGAN-norm-b-0_sex_2.csv,0.031,0.021,0.192,0.327,0.146,0.619,0.547,0.804,0.718,sample_data_parallel_adult-VGAN-norm-b-0_sex
0,sample_data_parallel_adult-VGAN-norm-b-0_sex_3.csv,0.064,0.038,0.157,0.275,0.153,0.65,0.512,0.811,0.711,sample_data_parallel_adult-VGAN-norm-b-0_sex
100,sample_data_parallel_adult-VGAN-norm-b-100_sex_1.csv,0.613,0.777,0.113,0.063,0.097,0.572,0.785,0.801,0.796,sample_data_parallel_adult-VGAN-norm-b-100_sex
100,sample_data_parallel_adult-VGAN-norm-b-100_sex_2.csv,0.474,0.433,0.01,0.083,0.118,0.633,0.66,0.821,0.767,sample_data_parallel_adult-VGAN-norm-b-100_sex
100,sample_data_parallel_adult-VGAN-norm-b-100_sex_3.csv,0.525,0.548,0.026,0.047,0.111,0.599,0.701,0.81,0.773,sample_data_parallel_adult-VGAN-norm-b-100_sex
1,sample_data_parallel_adult-VGAN-norm-b-1_sex_1.csv,0.02,0.009,0.181,0.299,0.138,0.603,0.59,0.802,0.731,sample_data_parallel_adult-VGAN-norm-b-1_sex
1,sample_data_parallel_adult-VGAN-norm-b-1_sex_2.csv,0.024,0.016,0.173,0.279,0.145,0.628,0.56,0.809,0.725,sample_data_parallel_adult-VGAN-norm-b-1_sex
1,sample_data_parallel_adult-VGAN-norm-b-1_sex_3.csv,0.03,0.021,0.171,0.29,0.142,0.606,0.579,0.803,0.728,sample_data_parallel_adult-VGAN-norm-b-1_sex
25,sample_data_parallel_adult-VGAN-norm-b-25_sex_1.csv,0.334,0.31,0.066,0.16,0.12,0.598,0.667,0.807,0.76,sample_data_parallel_adult-VGAN-norm-b-25_sex
25,sample_data_parallel_adult-VGAN-norm-b-25_sex_2.csv,0.311,0.261,0.076,0.164,0.126,0.621,0.631,0.813,0.752,sample_data_parallel_adult-VGAN-norm-b-25_sex
25,sample_data_parallel_adult-VGAN-norm-b-25_sex_3.csv,0.301,0.274,0.07,0.152,0.121,0.602,0.667,0.808,0.761,sample_data_parallel_adult-VGAN-norm-b-25_sex
50,sample_data_parallel_adult-VGAN-norm-b-50_sex_1.csv,0.299,0.303,0.073,0.169,0.114,0.572,0.705,0.796,0.766,sample_data_parallel_adult-VGAN-norm-b-50_sex
50,sample_data_parallel_adult-VGAN-norm-b-50_sex_2.csv,0.508,0.511,0.016,0.052,0.113,0.612,0.695,0.816,0.775,sample_data_parallel_adult-VGAN-norm-b-50_sex
50,sample_data_parallel_adult-VGAN-norm-b-50_sex_3.csv,0.397,0.437,0.028,0.125,0.112,0.562,0.728,0.792,0.77,sample_data_parallel_adult-VGAN-norm-b-50_sex
