,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.652,-0.529,-0.032,-0.004,0.091,0.809,0.7,0.885,0.823
1,Base,0.019,-0.015,0.177,0.298,0.135,0.594,0.604,0.8,0.734
2,Base,0.036,-0.03,0.159,0.255,0.128,0.585,0.638,0.798,0.745
3,Base,0.115,-0.112,0.126,0.208,0.118,0.558,0.704,0.789,0.76
4,sample_data_parallel_adult-VGAN-norm-p-.20_sex_1.csv,0.541,-0.322,0.027,0.104,0.156,0.715,0.474,0.823,0.706
5,sample_data_parallel_adult-VGAN-norm-p-.20_sex_2.csv,0.55,-0.348,0.017,0.092,0.155,0.694,0.488,0.82,0.709
6,sample_data_parallel_adult-VGAN-norm-p-.20_sex_3.csv,0.523,-0.338,0.029,0.109,0.146,0.708,0.512,0.827,0.721
7,sample_data_parallel_adult-VGAN-norm-p-.5_sex_1.csv,0.088,-0.063,0.159,0.282,0.141,0.618,0.577,0.807,0.73
8,sample_data_parallel_adult-VGAN-norm-p-.5_sex_2.csv,0.14,-0.116,0.137,0.243,0.129,0.6,0.636,0.805,0.748
9,sample_data_parallel_adult-VGAN-norm-p-.5_sex_3.csv,0.266,-0.205,0.116,0.244,0.137,0.624,0.592,0.811,0.737
10,sample_data_parallel_adult-VGAN-norm-p-.7_sex_1.csv,0.066,-0.053,0.166,0.289,0.135,0.586,0.615,0.797,0.736
11,sample_data_parallel_adult-VGAN-norm-p-.7_sex_2.csv,0.034,-0.031,0.146,0.222,0.124,0.558,0.676,0.787,0.75
12,sample_data_parallel_adult-VGAN-norm-p-.7_sex_3.csv,0.018,0.005,0.166,0.259,0.129,0.569,0.636,0.791,0.739
13,sample_data_parallel_adult-VGAN-norm-p-.9_sex_1.csv,0.088,-0.063,0.162,0.285,0.139,0.627,0.586,0.811,0.736
14,sample_data_parallel_adult-VGAN-norm-p-.9_sex_2.csv,0.021,-0.021,0.148,0.219,0.117,0.536,0.706,0.776,0.752
15,sample_data_parallel_adult-VGAN-norm-p-.9_sex_3.csv,0.09,0.095,0.176,0.232,0.119,0.533,0.704,0.774,0.75
16,sample_data_parallel_adult-VGAN-norm-p-0_sex_1.csv,0.756,-0.366,-0.087,-0.125,0.181,0.748,0.37,0.813,0.665
17,sample_data_parallel_adult-VGAN-norm-p-0_sex_2.csv,0.712,-0.291,-0.054,-0.071,0.193,0.752,0.32,0.805,0.642
18,sample_data_parallel_adult-VGAN-norm-p-0_sex_3.csv,0.704,-0.378,-0.052,-0.045,0.171,0.735,0.413,0.818,0.682
19,sample_data_parallel_adult-VGAN-norm-p-1_sex_1.csv,0.095,-0.09,0.133,0.217,0.118,0.558,0.692,0.788,0.756
20,sample_data_parallel_adult-VGAN-norm-p-1_sex_2.csv,0.085,-0.071,0.151,0.255,0.128,0.589,0.645,0.8,0.748
21,sample_data_parallel_adult-VGAN-norm-p-1_sex_3.csv,0.038,0.037,0.165,0.237,0.123,0.544,0.68,0.779,0.746
22,sample_data_parallel_adult-VGAN-norm-p-.75_sex_4.csv,0.365,0.66,0.214,0.151,0.177,0.303,0.545,0.576,0.566
23,sample_data_parallel_adult-VGAN-norm-p-.75_sex_5.csv,0.187,0.242,0.127,0.096,0.157,0.407,0.596,0.684,0.655
24,sample_data_parallel_adult-VGAN-norm-p-.75_sex_6.csv,0.04,0.031,0.071,0.065,0.177,0.474,0.487,0.739,0.655
