,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.653,-0.532,-0.033,-0.006,0.091,0.808,0.701,0.885,0.823
1,Base,0.019,-0.012,0.18,0.304,0.135,0.593,0.604,0.8,0.734
2,Base,0.027,-0.021,0.159,0.251,0.128,0.584,0.638,0.798,0.744
3,Base,0.111,-0.108,0.127,0.208,0.118,0.555,0.705,0.787,0.759
4,sample_data_parallel_adult-VGAN-norm-t-100_sex_1.csv,0.03,0.029,0.173,0.259,0.123,0.539,0.689,0.777,0.747
5,sample_data_parallel_adult-VGAN-norm-t-100_sex_2.csv,0.055,-0.051,0.141,0.226,0.129,0.544,0.656,0.779,0.738
6,sample_data_parallel_adult-VGAN-norm-t-100_sex_3.csv,0.035,-0.032,0.148,0.225,0.122,0.567,0.682,0.792,0.755
7,sample_data_parallel_adult-VGAN-norm-t-15_sex_1.csv,0.018,0.008,0.17,0.263,0.124,0.563,0.667,0.789,0.748
8,sample_data_parallel_adult-VGAN-norm-t-15_sex_2.csv,0.095,-0.091,0.131,0.212,0.117,0.557,0.699,0.788,0.758
9,sample_data_parallel_adult-VGAN-norm-t-15_sex_3.csv,0.038,0.036,0.165,0.235,0.124,0.556,0.675,0.786,0.749
10,sample_data_parallel_adult-VGAN-norm-t-1_sex_1.csv,0.528,-0.422,0.003,0.068,0.127,0.672,0.601,0.828,0.752
11,sample_data_parallel_adult-VGAN-norm-t-1_sex_2.csv,0.023,-0.011,0.191,0.36,0.169,0.669,0.438,0.807,0.683
12,sample_data_parallel_adult-VGAN-norm-t-1_sex_3.csv,0.662,-0.493,-0.057,-0.034,0.138,0.7,0.554,0.831,0.738
13,sample_data_parallel_adult-VGAN-norm-t-2_sex_1.csv,0.284,-0.237,0.091,0.186,0.124,0.63,0.645,0.818,0.76
14,sample_data_parallel_adult-VGAN-norm-t-2_sex_2.csv,0.401,-0.337,0.04,0.114,0.124,0.638,0.63,0.82,0.756
15,sample_data_parallel_adult-VGAN-norm-t-2_sex_3.csv,0.588,-0.52,-0.026,0.04,0.121,0.658,0.636,0.828,0.764
