,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.648,-0.53,-0.032,-0.005,0.091,0.806,0.704,0.885,0.824,Original
Base,Base,0.009,-0.009,0.15,0.225,0.121,0.517,0.702,0.764,0.743,Base
Base,Base,0.061,0.069,0.154,0.188,0.113,0.512,0.742,0.761,0.754,Base
Base,Base,0.046,0.05,0.159,0.216,0.117,0.512,0.721,0.761,0.747,Base
Base,Base,0.036,0.044,0.135,0.156,0.109,0.487,0.771,0.742,0.752,Base
Base,Base,0.048,0.056,0.155,0.198,0.111,0.504,0.756,0.756,0.756,Base
Base,Base,0.053,0.055,0.172,0.243,0.12,0.524,0.712,0.769,0.75,Base
.1,sample_data_parallel_adult-WGAN-gmm-n-.1_sex_1.csv,0.044,0.037,0.17,0.262,0.139,0.555,0.61,0.782,0.724,sample_data_parallel_adult-WGAN-gmm-n-.1_sex
.1,sample_data_parallel_adult-WGAN-gmm-n-.1_sex_2.csv,0.011,-0.011,0.129,0.172,0.124,0.538,0.687,0.777,0.747,sample_data_parallel_adult-WGAN-gmm-n-.1_sex
.1,sample_data_parallel_adult-WGAN-gmm-n-.1_sex_3.csv,0.025,0.024,0.184,0.288,0.123,0.542,0.68,0.778,0.745,sample_data_parallel_adult-WGAN-gmm-n-.1_sex
.25,sample_data_parallel_adult-WGAN-gmm-n-.25_sex_1.csv,0.034,0.034,0.161,0.228,0.123,0.527,0.696,0.77,0.745,sample_data_parallel_adult-WGAN-gmm-n-.25_sex
.25,sample_data_parallel_adult-WGAN-gmm-n-.25_sex_2.csv,0.012,0.006,0.145,0.203,0.117,0.516,0.722,0.764,0.75,sample_data_parallel_adult-WGAN-gmm-n-.25_sex
.25,sample_data_parallel_adult-WGAN-gmm-n-.25_sex_3.csv,0.057,0.062,0.159,0.203,0.116,0.521,0.732,0.767,0.755,sample_data_parallel_adult-WGAN-gmm-n-.25_sex
.5,sample_data_parallel_adult-WGAN-gmm-n-.5_sex_1.csv,0.03,-0.036,0.125,0.17,0.107,0.484,0.783,0.74,0.754,sample_data_parallel_adult-WGAN-gmm-n-.5_sex
.5,sample_data_parallel_adult-WGAN-gmm-n-.5_sex_2.csv,0.04,0.048,0.145,0.181,0.11,0.488,0.765,0.743,0.75,sample_data_parallel_adult-WGAN-gmm-n-.5_sex
.5,sample_data_parallel_adult-WGAN-gmm-n-.5_sex_3.csv,0.04,0.05,0.147,0.176,0.104,0.488,0.797,0.743,0.761,sample_data_parallel_adult-WGAN-gmm-n-.5_sex
.75,sample_data_parallel_adult-WGAN-gmm-n-.75_sex_1.csv,0.05,0.062,0.139,0.159,0.108,0.484,0.774,0.74,0.751,sample_data_parallel_adult-WGAN-gmm-n-.75_sex
.75,sample_data_parallel_adult-WGAN-gmm-n-.75_sex_2.csv,0.023,-0.024,0.136,0.195,0.116,0.514,0.723,0.762,0.749,sample_data_parallel_adult-WGAN-gmm-n-.75_sex
.75,sample_data_parallel_adult-WGAN-gmm-n-.75_sex_3.csv,0.035,-0.036,0.137,0.201,0.117,0.525,0.724,0.769,0.754,sample_data_parallel_adult-WGAN-gmm-n-.75_sex
.1,sample_data_parallel_adult-VGAN-norm-n-.1_sex_1.csv,0.336,-0.24,0.073,0.16,0.14,0.656,0.562,0.819,0.733,sample_data_parallel_adult-VGAN-norm-n-.1_sex
.1,sample_data_parallel_adult-VGAN-norm-n-.1_sex_2.csv,0.545,-0.433,-0.001,0.063,0.129,0.679,0.599,0.83,0.753,sample_data_parallel_adult-VGAN-norm-n-.1_sex
.1,sample_data_parallel_adult-VGAN-norm-n-.1_sex_3.csv,0.572,-0.466,-0.014,0.049,0.13,0.672,0.603,0.829,0.753,sample_data_parallel_adult-VGAN-norm-n-.1_sex
.25,sample_data_parallel_adult-VGAN-norm-n-.25_sex_1.csv,0.092,-0.069,0.156,0.272,0.135,0.616,0.605,0.809,0.74,sample_data_parallel_adult-VGAN-norm-n-.25_sex
.25,sample_data_parallel_adult-VGAN-norm-n-.25_sex_2.csv,0.129,-0.097,0.142,0.253,0.136,0.616,0.597,0.808,0.737,sample_data_parallel_adult-VGAN-norm-n-.25_sex
.25,sample_data_parallel_adult-VGAN-norm-n-.25_sex_3.csv,0.132,-0.096,0.133,0.229,0.137,0.631,0.591,0.813,0.739,sample_data_parallel_adult-VGAN-norm-n-.25_sex
.5,sample_data_parallel_adult-VGAN-norm-n-.5_sex_1.csv,0.035,-0.029,0.158,0.252,0.129,0.596,0.637,0.803,0.747,sample_data_parallel_adult-VGAN-norm-n-.5_sex
.5,sample_data_parallel_adult-VGAN-norm-n-.5_sex_2.csv,0.05,-0.05,0.141,0.219,0.117,0.531,0.71,0.773,0.752,sample_data_parallel_adult-VGAN-norm-n-.5_sex
.5,sample_data_parallel_adult-VGAN-norm-n-.5_sex_3.csv,0.06,-0.054,0.143,0.223,0.123,0.567,0.675,0.792,0.753,sample_data_parallel_adult-VGAN-norm-n-.5_sex
.75,sample_data_parallel_adult-VGAN-norm-n-.75_sex_1.csv,0.026,-0.024,0.151,0.23,0.121,0.553,0.689,0.785,0.753,sample_data_parallel_adult-VGAN-norm-n-.75_sex
.75,sample_data_parallel_adult-VGAN-norm-n-.75_sex_2.csv,0.064,-0.054,0.154,0.255,0.127,0.585,0.647,0.799,0.748,sample_data_parallel_adult-VGAN-norm-n-.75_sex
.75,sample_data_parallel_adult-VGAN-norm-n-.75_sex_3.csv,0.007,0.006,0.169,0.256,0.121,0.578,0.677,0.797,0.757,sample_data_parallel_adult-VGAN-norm-n-.75_sex
