,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.648,-0.53,-0.032,-0.005,0.091,0.806,0.704,0.885,0.824
1,Base,0.009,-0.009,0.15,0.225,0.121,0.517,0.702,0.764,0.743
2,Base,0.061,0.069,0.154,0.188,0.113,0.512,0.742,0.761,0.754
3,Base,0.046,0.05,0.159,0.216,0.117,0.512,0.721,0.761,0.747
4,Base,0.036,0.044,0.135,0.156,0.109,0.487,0.771,0.742,0.752
5,Base,0.048,0.056,0.155,0.198,0.111,0.504,0.756,0.756,0.756
6,Base,0.053,0.055,0.172,0.243,0.12,0.524,0.712,0.769,0.75
7,sample_data_parallel_adult-VGAN-norm-n-.1_sex_1.csv,0.336,-0.24,0.073,0.16,0.14,0.656,0.562,0.819,0.733
8,sample_data_parallel_adult-VGAN-norm-n-.1_sex_2.csv,0.545,-0.433,-0.001,0.063,0.129,0.679,0.599,0.83,0.753
9,sample_data_parallel_adult-VGAN-norm-n-.1_sex_3.csv,0.572,-0.466,-0.014,0.049,0.13,0.672,0.603,0.829,0.753
10,sample_data_parallel_adult-VGAN-norm-n-.25_sex_1.csv,0.092,-0.069,0.156,0.272,0.135,0.616,0.605,0.809,0.74
11,sample_data_parallel_adult-VGAN-norm-n-.25_sex_2.csv,0.129,-0.097,0.142,0.253,0.136,0.616,0.597,0.808,0.737
12,sample_data_parallel_adult-VGAN-norm-n-.25_sex_3.csv,0.132,-0.096,0.133,0.229,0.137,0.631,0.591,0.813,0.739
13,sample_data_parallel_adult-VGAN-norm-n-.5_sex_1.csv,0.035,-0.029,0.158,0.252,0.129,0.596,0.637,0.803,0.747
14,sample_data_parallel_adult-VGAN-norm-n-.5_sex_2.csv,0.05,-0.05,0.141,0.219,0.117,0.531,0.71,0.773,0.752
15,sample_data_parallel_adult-VGAN-norm-n-.5_sex_3.csv,0.06,-0.054,0.143,0.223,0.123,0.567,0.675,0.792,0.753
16,sample_data_parallel_adult-VGAN-norm-n-.75_sex_1.csv,0.026,-0.024,0.151,0.23,0.121,0.553,0.689,0.785,0.753
17,sample_data_parallel_adult-VGAN-norm-n-.75_sex_2.csv,0.064,-0.054,0.154,0.255,0.127,0.585,0.647,0.799,0.748
18,sample_data_parallel_adult-VGAN-norm-n-.75_sex_3.csv,0.007,0.006,0.169,0.256,0.121,0.578,0.677,0.797,0.757
