,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc
0,Original,0.649,-0.529,-0.033,-0.008,0.092,0.804,0.701,0.884,0.822
1,Base,0.023,-0.024,0.146,0.221,0.12,0.522,0.703,0.767,0.745
2,Base,0.066,0.074,0.156,0.19,0.113,0.514,0.742,0.762,0.755
3,Base,0.052,0.056,0.16,0.215,0.117,0.513,0.72,0.761,0.748
4,Base,0.054,0.066,0.142,0.163,0.109,0.485,0.77,0.741,0.751
5,Base,0.046,0.053,0.158,0.206,0.111,0.505,0.755,0.756,0.756
6,Base,0.052,0.055,0.175,0.249,0.119,0.526,0.716,0.77,0.752
7,sample_data_parallel_adult-WGAN-gmm-p-.20_sex_1.csv,0.035,0.032,0.164,0.243,0.132,0.545,0.646,0.779,0.734
8,sample_data_parallel_adult-WGAN-gmm-p-.20_sex_2.csv,0.009,-0.005,0.16,0.246,0.129,0.565,0.649,0.789,0.742
9,sample_data_parallel_adult-WGAN-gmm-p-.20_sex_3.csv,0.005,-0.004,0.146,0.213,0.129,0.541,0.664,0.777,0.739
10,sample_data_parallel_adult-WGAN-gmm-p-.5_sex_1.csv,0.038,0.038,0.162,0.231,0.124,0.517,0.693,0.764,0.74
11,sample_data_parallel_adult-WGAN-gmm-p-.5_sex_2.csv,0.022,0.022,0.149,0.2,0.116,0.525,0.724,0.769,0.754
12,sample_data_parallel_adult-WGAN-gmm-p-.5_sex_3.csv,0.057,0.067,0.151,0.187,0.115,0.494,0.744,0.748,0.746
13,sample_data_parallel_adult-WGAN-gmm-p-0_sex_1.csv,0.627,-0.502,-0.081,-0.083,0.14,0.65,0.56,0.816,0.73
14,sample_data_parallel_adult-WGAN-gmm-p-0_sex_2.csv,0.648,-0.513,-0.081,-0.077,0.141,0.66,0.558,0.819,0.732
15,sample_data_parallel_adult-WGAN-gmm-p-0_sex_3.csv,0.599,-0.465,-0.062,-0.059,0.138,0.671,0.567,0.824,0.738
16,sample_data_parallel_adult-WGAN-gmm-p-1_sex_1.csv,0.049,0.057,0.153,0.192,0.11,0.497,0.759,0.75,0.753
17,sample_data_parallel_adult-WGAN-gmm-p-1_sex_2.csv,0.024,0.024,0.154,0.216,0.12,0.528,0.699,0.771,0.747
18,sample_data_parallel_adult-WGAN-gmm-p-1_sex_3.csv,0.072,0.088,0.151,0.176,0.112,0.486,0.759,0.741,0.747
