,file,DI,Stat Par,Avg Odds,Eq Opp,Theil,prec,rec,acc,bal_acc,config
Original,Original,0.694,0.47,0.072,0.063,0.079,0.652,0.435,0.907,0.702,Original
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_0_3_0.csv,0.509,0.034,0.002,-0.005,0.122,0.395,0.039,0.881,0.515,sample_data_FAIRGAN_age
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_1_3_0.csv,0.578,-0.004,-0.001,-0.001,0.125,0.025,0.001,0.881,0.499,sample_data_FAIRGAN_age
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_2_3_0.csv,0.082,-0.086,-0.064,-0.084,0.093,0.14,0.687,0.47,0.564,sample_data_FAIRGAN_age
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_3_3_0.csv,0.336,-0.468,-0.135,-0.154,0.141,0.082,0.32,0.5,0.422,sample_data_FAIRGAN_age
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_4_3_0.csv,0.153,-0.209,-0.049,-0.05,0.137,0.091,0.353,0.513,0.444,sample_data_FAIRGAN_age
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_5_3_0.csv,0.094,-0.19,-0.045,-0.036,0.096,0.105,0.599,0.356,0.461,sample_data_FAIRGAN_age
sample_data_FAIRGAN_age,sample_data_FAIRGAN_age_6_3_0.csv,0.19,-0.458,-0.126,-0.12,0.074,0.1,0.676,0.247,0.433,sample_data_FAIRGAN_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_0.csv,0.46,0.098,-0.02,-0.049,0.103,0.613,0.211,0.892,0.597,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_1.csv,0.129,-0.016,-0.081,-0.166,0.104,0.594,0.204,0.891,0.593,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_10.csv,0.351,0.076,-0.029,-0.056,0.103,0.564,0.232,0.889,0.604,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_11.csv,0.225,-0.021,-0.063,-0.122,0.108,0.622,0.162,0.89,0.575,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_12.csv,0.484,0.127,-0.012,-0.029,0.099,0.623,0.254,0.895,0.617,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_13.csv,0.249,0.041,-0.05,-0.102,0.103,0.614,0.217,0.892,0.6,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_14.csv,0.28,0.035,-0.037,-0.073,0.106,0.677,0.17,0.893,0.58,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_15.csv,0.025,0.001,-0.068,-0.123,0.102,0.57,0.237,0.89,0.607,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_2.csv,0.076,-0.006,-0.056,-0.102,0.107,0.573,0.179,0.888,0.58,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_3.csv,0.796,-0.073,-0.082,-0.149,0.11,0.585,0.146,0.888,0.566,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_4.csv,0.13,-0.014,-0.074,-0.151,0.106,0.61,0.187,0.891,0.586,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_7.csv,0.468,0.083,-0.02,-0.05,0.105,0.657,0.186,0.893,0.586,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_8.csv,0.964,-0.101,-0.104,-0.193,0.108,0.598,0.168,0.889,0.576,sample_data_bank_tab_split_age
sample_data_bank_tab_split_age,sample_data_bank_tab_split_age_60_0_9.csv,0.3,0.047,-0.042,-0.088,0.103,0.646,0.201,0.894,0.593,sample_data_bank_tab_split_age
